"","mydata[, 2]"
"2015-05-21",1182.71205604332
"2015-05-22",1192.29754060712
"2015-05-26",1190.16130680876
"2015-05-27",1185.35633776992
"2015-05-28",1178.34246930845
"2015-05-29",1183.76242467298
"2015-06-01",1177.15474816005
"2015-06-02",1171.96257368129
"2015-06-03",1171.24374465334
"2015-06-04",1174.44489011163
"2015-06-05",1180.19385446587
"2015-06-08",1185.1340692806
"2015-06-09",1170.94727813152
"2015-06-10",1169.64395756533
"2015-06-11",1166.40457469157
"2015-06-12",1170.6152329874
"2015-06-15",1175.18139417454
"2015-06-16",1168.10412271176
"2015-06-17",1169.08383542198
"2015-06-18",1162.70714685598
"2015-06-22",1158.29074477498
"2015-06-23",1154.80715671877
"2015-06-24",1156.6647412681
"2015-06-25",1156.95614011565
"2015-06-26",1155.06464790644
"2015-06-29",1154.25612624366
"2015-06-30",1157.85302906304
"2015-07-02",1155.59386738115
"2015-07-06",1155.27128065373
"2015-07-07",1135.32851478959
"2015-07-08",1136.78026421862
"2015-07-09",1143.09508214504
"2015-07-13",1138.52212189242
"2015-07-14",1135.02051018421
"2015-07-15",1133.37402072104
"2015-07-16",1130.34380017044
"2015-07-17",1137.5242926801
"2015-07-21",1134.83370714183
"2015-07-22",1131.3106436196
"2015-07-23",1139.91503315749
"2015-07-24",1139.03383371476
"2015-07-27",1132.31637129433
"2015-07-28",1127.72287151396
"2015-07-29",1124.14991386329
"2015-07-30",1122.12424752337
"2015-07-31",1112.29910945991
"2015-08-03",1114.10129379216
"2015-08-04",1109.11106735672
"2015-08-05",1116.91396256524
"2015-08-06",1121.88371003589
"2015-08-07",1129.54380068336
"2015-08-10",1153.21216864024
"2015-08-11",1155.33390170404
"2015-08-12",1157.23286332216
"2015-08-13",1153.56136282476
"2015-08-17",1159.28394547882
"2015-08-18",1147.89667771906
"2015-08-19",1151.7344804289
"2015-08-20",1157.18248056613
"2015-08-21",1153.6507741374
"2015-08-24",1160.11084324274
"2015-08-25",1146.06094881232
"2015-08-26",1131.76815560049
"2015-08-27",1147.90952534475
"2015-08-28",1150.88192634695
"2015-08-31",1153.08175758448
"2015-09-01",1162.069991943
"2015-09-02",1145.37740902607
"2015-09-04",1150.10210599299
"2015-09-08",1149.78798570827
"2015-09-09",1147.91180144071
"2015-09-10",1147.63969018388
"2015-09-11",1144.12589798035
"2015-09-14",1142.09172198711
"2015-09-15",1134.30866680778
"2015-09-16",1129.40534802379
"2015-09-17",1124.88335026476
"2015-09-18",1133.90100588291
"2015-09-24",1127.90204149544
"2015-09-25",1123.26087399665
"2015-09-30",1123.50938962754
"2015-10-02",1128.53241382099
"2015-10-05",1134.8497527651
"2015-10-06",1138.18244820956
"2015-10-07",1146.66125760265
"2015-10-08",1140.55475438678
"2015-10-13",1142.93639369601
"2015-10-14",1145.1804997902
"2015-10-15",1144.50883566759
"2015-10-16",1146.33836354173
"2015-10-19",1137.98134210528
"2015-10-20",1135.52933116406
"2015-10-22",1132.2643225419
"2015-10-23",1124.83275880026
"2015-10-26",1133.28424615733
"2015-10-27",1135.85535225953
"2015-10-28",1133.04184279485
"2015-10-29",1135.0271319883
"2015-10-30",1135.73209617245
"2015-11-02",1127.67590261877
"2015-11-04",1143.23527375373
"2015-11-05",1133.87973946903
"2015-11-06",1139.31748530272
"2015-11-09",1140.93951202777
"2015-11-10",1133.27292650756
"2015-11-11",1132.79280738016
"2015-11-12",1135.35960958176
"2015-11-13",1131.58084476776
"2015-11-16",1135.62297423749
"2015-11-17",1137.73717111445
"2015-11-18",1132.84616913588
"2015-11-19",1129.99324386153
"2015-11-20",1131.18974833726
"2015-11-24",1126.383062419
"2015-11-25",1130.57299320509
"2015-11-27",1136.4826296347
"2015-11-30",1142.45018967762
"2015-12-01",1135.81518268211
"2015-12-02",1139.17465788813
"2015-12-03",1140.16223977025
"2015-12-04",1134.47534589631
"2015-12-07",1129.43375100632
"2015-12-08",1128.7963664324
"2015-12-09",1131.23928437145
"2015-12-10",1119.92754447657
"2015-12-11",1124.35703923804
"2015-12-14",1126.31420575955
"2015-12-15",1118.06785322836
"2015-12-16",1133.49956991323
"2015-12-17",1138.97210337109
"2015-12-18",1133.11640422363
"2015-12-21",1138.86764954365
"2015-12-22",1136.86635538508
"2015-12-24",1140.88299066188
"2015-12-28",1143.11192445101
"2015-12-29",1146.29754048908
"2015-12-30",1150.79882351211
"2016-01-04",1150.56428832278
"2016-01-05",1147.27321494725
"2016-01-06",1143.30042120272
"2016-01-07",1140.47800807095
"2016-01-08",1143.28537270955
"2016-01-12",1143.98646701049
"2016-01-13",1152.60188649655
"2016-01-14",1142.78673093244
"2016-01-15",1148.89151711434
"2016-01-19",1159.19979899622
"2016-01-20",1160.70576188771
"2016-01-21",1155.72825297319
"2016-01-22",1158.84371961208
"2016-01-25",1168.34869110253
"2016-01-26",1161.3318877282
"2016-01-27",1166.3254259859
"2016-01-28",1159.31133771908
"2016-01-29",1163.58515409565
"2016-02-01",1161.30735903496
"2016-02-02",1172.71939522255
"2016-02-03",1173.54651078543
"2016-02-16",1199.05064567337
"2016-02-17",1208.91774782368
"2016-02-18",1208.10653934329
"2016-02-19",1204.17082967326
"2016-02-22",1202.45293231084
"2016-02-23",1220.10889781172
"2016-02-24",1238.46845390423
"2016-02-25",1241.96943666288
"2016-02-26",1253.63220881059
"2016-03-02",1248.16949525717
"2016-03-03",1248.70430648137
"2016-03-04",1249.54831020946
"2016-03-07",1238.03751874768
"2016-03-08",1243.47596126455
"2016-03-09",1233.73331532897
"2016-03-10",1226.71675398169
"2016-03-11",1223.60152308212
"2016-03-14",1226.24248050381
"2016-03-15",1225.67993600198
"2016-03-16",1220.71509422812
