,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
7/27/2012,2.6942,3/7/2011,1.17,3/7/2011,1.48725,,,,,3/7/2011,0.8883,3/7/2011,2.79983,,,5/6/2013,0.96135,3/7/2011,1.1816,3/7/2011,0.20549,8/5/2011,0.2754
7/30/2012,2.8496,3/8/2011,1.17,3/8/2011,1.44833,,,,,3/8/2011,0.8817,3/8/2011,2.70919,,,5/7/2013,0.96124,3/8/2011,1.1556,3/8/2011,0.20544,8/8/2011,0.27542
7/31/2012,2.9403,3/9/2011,1.2,3/9/2011,1.42039,,,,,3/9/2011,0.8926,3/9/2011,2.70978,,,5/8/2013,0.96136,3/9/2011,1.1558,3/9/2011,0.20548,8/9/2011,0.27532
8/1/2012,2.9659,3/10/2011,1.19,3/10/2011,1.42507,,,,,3/10/2011,0.9030,3/10/2011,2.70891,,,5/9/2013,0.96149,3/10/2011,1.1786,3/10/2011,0.21697,8/10/2011,0.27542
8/2/2012,2.921,3/11/2011,1.19,3/11/2011,1.38932,,,,,3/11/2011,0.9202,3/11/2011,2.65152,,,5/10/2013,0.96127,3/11/2011,1.1582,3/11/2011,0.21443,8/11/2011,0.28231
8/3/2012,2.9077,3/14/2011,1.19,3/14/2011,1.37081,,,,,3/14/2011,0.9926,3/14/2011,2.70184,,,5/13/2013,0.96118,3/14/2011,1.1295,3/14/2011,0.21307,8/12/2011,0.2823
8/6/2012,2.9785,3/15/2011,1.15,3/15/2011,1.34137,,,,,3/15/2011,1.0174,3/15/2011,2.70582,,,5/14/2013,0.96113,3/15/2011,1.0939,3/15/2011,0.20262,8/15/2011,0.28229
8/7/2012,3.0302,3/16/2011,1.21,3/16/2011,1.36691,,,,,3/16/2011,1.0558,3/16/2011,2.8082,,,5/15/2013,0.9611,3/16/2011,1.1797,3/16/2011,0.20388,8/16/2011,0.28239
8/8/2012,3.133,3/17/2011,1.26,3/17/2011,1.30721,,,,,3/17/2011,1.0253,3/17/2011,2.72975,,,5/16/2013,0.96086,3/17/2011,1.1765,3/17/2011,0.19864,8/17/2011,0.28244
8/9/2012,3.0686,3/18/2011,1.28,3/18/2011,1.30246,,,,,3/18/2011,1.0234,3/18/2011,2.92926,,,5/20/2013,0.96112,3/18/2011,1.1858,3/18/2011,0.20768,8/18/2011,0.28221
8/10/2012,2.9713,3/21/2011,1.3,3/21/2011,1.28751,,,,,3/21/2011,0.9832,3/21/2011,2.92383,,,5/21/2013,0.96123,3/21/2011,1.1785,3/21/2011,0.20775,8/19/2011,0.28219
8/13/2012,3.0031,3/22/2011,1.28,3/22/2011,1.33429,,,,,3/22/2011,0.9943,3/22/2011,3.00216,,,5/22/2013,0.96113,3/22/2011,1.1945,3/22/2011,0.19629,8/22/2011,0.28208
8/14/2012,3.094,3/23/2011,1.26,3/23/2011,1.29853,,,,,3/23/2011,1.0629,3/23/2011,3.04745,,,5/23/2013,0.96098,3/23/2011,1.2421,3/23/2011,0.19632,8/23/2011,0.28217
8/15/2012,3.1195,3/24/2011,1.31,3/24/2011,1.32423,,,,,3/24/2011,1.0565,3/24/2011,2.77165,,,5/24/2013,0.96087,3/24/2011,1.2960,3/24/2011,0.21301,8/24/2011,0.28223
8/16/2012,3.0748,3/25/2011,1.38,3/25/2011,1.34977,,,,,3/25/2011,1.0649,3/25/2011,2.72008,,,5/27/2013,0.96087,3/25/2011,1.2985,3/25/2011,0.2194,8/25/2011,0.28219
8/17/2012,3.1457,3/28/2011,1.36,3/28/2011,1.29749,,,,,3/28/2011,1.0834,3/28/2011,2.62831,,,5/28/2013,0.96086,3/28/2011,1.3001,3/28/2011,0.21283,8/26/2011,0.28223
8/20/2012,3.1003,3/29/2011,1.42,3/29/2011,1.25898,,,,,3/29/2011,1.1101,3/29/2011,2.68866,,,5/29/2013,0.96086,3/29/2011,1.3116,3/29/2011,0.22202,8/29/2011,0.28225
8/21/2012,3.0941,3/30/2011,1.47,3/30/2011,1.27955,,,,,3/30/2011,1.1541,3/30/2011,2.55653,,,5/30/2013,0.96087,3/30/2011,1.2783,3/30/2011,0.22225,8/30/2011,0.28228
