,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
2/8/2013,3.0495,9/21/2011,1.16,9/21/2011,0.67018,,,,,9/21/2011,0.9758,9/21/2011,1.32496,,,,,9/21/2011,0.7793,9/21/2011,0.21312,2/22/2012,0.31722
2/14/2013,3.1015,9/22/2011,1.12,9/22/2011,0.6256,,,,,9/22/2011,0.8910,9/22/2011,1.173,,,,,9/22/2011,0.7474,9/22/2011,0.21152,2/23/2012,0.31717
2/15/2013,3.0821,9/23/2011,1.1,9/23/2011,0.6204,,,,,9/23/2011,0.8652,9/23/2011,1.15364,,,,,9/23/2011,0.7063,9/23/2011,0.20253,2/24/2012,0.31725
2/18/2013,3.0049,9/26/2011,1.08,9/26/2011,0.59229,,,,,9/26/2011,0.8590,9/26/2011,1.12818,,,,,9/26/2011,0.6667,9/26/2011,0.20256,2/27/2012,0.31721
2/19/2013,3.0047,9/27/2011,1.12,9/27/2011,0.61823,,,,,9/27/2011,0.8825,9/27/2011,1.19541,,,,,9/27/2011,0.6670,9/27/2011,0.20266,2/28/2012,0.31721
2/20/2013,3.0755,9/28/2011,1.15,9/28/2011,0.62485,,,,,9/28/2011,0.8763,9/28/2011,1.22917,,,,,9/28/2011,0.6672,9/28/2011,0.19118,2/29/2012,0.3159
2/21/2013,3.1202,9/30/2011,1.13,9/30/2011,0.62035,,,,,9/30/2011,0.9376,9/30/2011,1.23814,,,,,9/30/2011,0.6435,9/30/2011,0.17981,3/1/2012,0.31721
2/22/2013,3.1846,10/3/2011,1.1,10/3/2011,0.54831,,,,,10/3/2011,0.8462,10/3/2011,1.15697,,,,,10/3/2011,0.6228,10/3/2011,0.17977,3/2/2012,0.31577
2/25/2013,3.1587,10/4/2011,1,10/4/2011,0.53952,,,,,10/4/2011,0.8478,10/4/2011,1.15611,,,,,10/4/2011,0.6127,10/4/2011,0.17856,3/5/2012,0.31301
2/26/2013,3.1516,10/6/2011,1.02,10/6/2011,0.57956,,,,,10/6/2011,0.8481,10/6/2011,1.18996,,,,,10/6/2011,0.6541,10/6/2011,0.18633,3/6/2012,0.30659
2/27/2013,3.1583,10/7/2011,1.09,10/7/2011,0.60015,,,,,10/7/2011,0.8854,10/7/2011,1.22857,,,,,10/7/2011,0.6503,10/7/2011,0.18634,3/7/2012,0.30268
2/28/2013,3.1595,10/10/2011,1.09,10/10/2011,0.59375,,,,,10/10/2011,0.8932,10/10/2011,1.2389,,,,,10/10/2011,0.6426,10/10/2011,0.18635,3/8/2012,0.30301
3/1/2013,3.0883,10/11/2011,1.18,10/11/2011,0.59891,,,,,10/11/2011,0.9228,10/11/2011,1.32891,,,,,10/11/2011,0.6619,10/11/2011,0.19792,3/9/2012,0.29138
3/4/2013,3.1265,10/12/2011,1.14,10/12/2011,0.6736,,,,,10/12/2011,0.9384,10/12/2011,1.40633,,,,,10/12/2011,0.7160,10/12/2011,0.19797,3/12/2012,0.2939
3/5/2013,3.2363,10/13/2011,1.19,10/13/2011,0.71229,,,,,10/13/2011,0.9566,10/13/2011,1.47859,,,,,10/13/2011,0.8229,10/13/2011,0.198,3/13/2012,0.29383
3/6/2013,3.2814,10/14/2011,1.14,10/14/2011,0.69817,,,,,10/14/2011,0.9103,10/14/2011,1.44262,,,,,10/14/2011,0.8293,10/14/2011,0.19801,3/14/2012,0.2886
3/7/2013,3.3392,10/17/2011,1.15,10/17/2011,0.71994,,,,,10/17/2011,0.9385,10/17/2011,1.42189,,,,,10/17/2011,0.8472,10/17/2011,0.19798,3/15/2012,0.2886
3/8/2013,3.4809,10/18/2011,1.14,10/18/2011,0.65697,,,,,10/18/2011,0.9051,10/18/2011,1.28566,,,,,10/18/2011,0.7843,10/18/2011,0.19799,3/16/2012,0.28856
3/11/2013,3.5386,10/19/2011,1.09,10/19/2011,0.65581,,,,,10/19/2011,0.9323,10/19/2011,1.34506,,,,,10/19/2011,0.7883,10/19/2011,0.20446,3/19/2012,0.28857
3/12/2013,3.3584,10/20/2011,0.99,10/20/2011,0.63113,,,,,10/20/2011,0.9101,10/20/2011,1.25969,,,,,10/20/2011,0.7584,10/20/2011,0.19924,3/20/2012,0.29112
3/13/2013,3.3382,10/21/2011,1,10/21/2011,0.66052,,,,,10/21/2011,0.9471,10/21/2011,1.32362,,,,,10/21/2011,0.7479,10/21/2011,0.19919,3/21/2012,0.29106
3/14/2013,3.4737,10/24/2011,1.03,10/24/2011,0.69812,,,,,10/24/2011,0.9643,10/24/2011,1.34482,,,,,10/24/2011,0.8074,10/24/2011,0.19928,3/22/2012,0.27556
3/15/2013,3.3438,10/25/2011,1.02,10/25/2011,0.71004,,,,,10/25/2011,0.9596,10/25/2011,1.38407,,,,,10/25/2011,0.8490,10/25/2011,0.19938,3/23/2012,0.27677
3/18/2013,3.3176,10/26/2011,1.07,10/26/2011,0.74612,,,,,10/26/2011,1.0098,10/26/2011,1.36874,,,,,10/26/2011,0.8400,10/26/2011,0.19939,3/26/2012,0.27677
3/19/2013,3.3692,10/27/2011,1.09,10/27/2011,0.78248,,,,,10/27/2011,1.0334,10/27/2011,1.41566,,,,,10/27/2011,0.8623,10/27/2011,0.19819,3/27/2012,0.27689
3/20/2013,3.3625,10/28/2011,1.04,10/28/2011,0.7419,,,,,10/28/2011,1.0291,10/28/2011,1.49154,,,,,10/28/2011,0.8913,10/28/2011,0.19964,3/28/2012,0.28336
3/21/2013,3.3558,10/31/2011,1.05,10/31/2011,0.71313,,,,,10/31/2011,1.0298,10/31/2011,1.41596,,,,,10/31/2011,0.8779,10/31/2011,0.19952,3/29/2012,0.28335
3/22/2013,3.5165,11/1/2011,1.02,11/1/2011,0.69743,,,,,11/1/2011,1.0166,11/1/2011,1.3614,,,,,11/1/2011,0.8454,11/1/2011,0.19945,3/30/2012,0.28335
3/25/2013,3.4401,11/2/2011,0.99,11/2/2011,0.71801,,,,,11/2/2011,1.0616,11/2/2011,1.30734,,,,,11/2/2011,0.8390,11/2/2011,0.19945,4/2/2012,0.28845
3/26/2013,3.3569,11/3/2011,1.05,11/3/2011,0.75305,,,,,11/3/2011,1.0607,11/3/2011,1.31559,,,,,11/3/2011,0.8367,11/3/2011,0.19953,4/3/2012,0.28849
3/27/2013,3.478,11/4/2011,1.07,11/4/2011,0.78146,,,,,11/4/2011,1.0853,11/4/2011,1.38268,,,,,11/4/2011,0.8497,11/4/2011,0.20212,4/5/2012,0.2885
3/28/2013,3.2269,11/7/2011,1.04,11/7/2011,0.78132,,,,,11/7/2011,1.0581,11/7/2011,1.37471,,,,,11/7/2011,0.8392,11/7/2011,0.20209,4/10/2012,0.28719
4/2/2013,3.2077,11/8/2011,0.97,11/8/2011,0.78131,,,,,11/8/2011,1.0426,11/8/2011,1.32321,,,,,11/8/2011,0.8264,11/8/2011,0.20209,4/11/2012,0.28591
4/3/2013,3.2273,11/9/2011,0.96,11/9/2011,0.78107,,,,,11/9/2011,1.0745,11/9/2011,1.33824,,,,,11/9/2011,0.8493,11/9/2011,0.20202,4/12/2012,0.2872
4/5/2013,3.1807,11/10/2011,0.91,11/10/2011,0.78017,,,,,11/10/2011,1.0282,11/10/2011,1.28143,,,,,11/10/2011,0.7956,11/10/2011,0.20179,4/13/2012,0.28739
4/8/2013,3.149,11/11/2011,0.96,11/11/2011,0.78038,,,,,11/11/2011,1.0311,11/11/2011,1.27149,,,,,11/11/2011,0.7958,11/11/2011,0.20184,4/16/2012,0.28744
4/9/2013,3.1813,11/14/2011,0.98,11/14/2011,0.78002,,,,,11/14/2011,1.0447,11/14/2011,1.36728,,,,,11/14/2011,0.7890,11/14/2011,0.20047,4/17/2012,0.28869
4/10/2013,3.1946,11/15/2011,0.95,11/15/2011,0.77997,,,,,11/15/2011,1.0537,11/15/2011,1.38004,,,,,11/15/2011,0.7928,11/15/2011,0.1966,4/18/2012,0.30152
4/11/2013,3.1695,11/16/2011,0.86,11/16/2011,0.77999,,,,,11/16/2011,1.0370,11/16/2011,1.29526,,,,,11/16/2011,0.7993,11/16/2011,0.1966,4/19/2012,0.30916
4/12/2013,3.2403,11/17/2011,0.82,11/17/2011,0.77956,,,,,11/17/2011,1.0274,11/17/2011,1.28686,,,,,11/17/2011,0.7834,11/17/2011,0.20035,4/20/2012,0.31567
4/15/2013,3.2657,11/18/2011,0.77,11/18/2011,0.77932,,,,,11/18/2011,1.0246,11/18/2011,1.2916,,,,,11/18/2011,0.7691,11/18/2011,0.20029,4/23/2012,0.31566
4/16/2013,3.1884,11/21/2011,0.77,11/21/2011,0.77921,,,,,11/21/2011,1.0398,11/21/2011,1.29398,,,,,11/21/2011,0.7677,11/21/2011,0.20026,4/24/2012,0.31573
4/17/2013,3.1431,11/22/2011,0.81,11/22/2011,0.77903,,,,,11/22/2011,1.0190,11/22/2011,1.30909,,,,,11/22/2011,0.7534,11/22/2011,0.20021,4/25/2012,0.31571
4/18/2013,3.1363,11/23/2011,0.82,11/23/2011,0.77882,,,,,11/23/2011,1.0303,11/23/2011,1.29334,,,,,11/23/2011,0.7403,11/23/2011,0.20016,4/26/2012,0.31575
4/19/2013,3.1621,11/24/2011,0.79,11/24/2011,0.77862,,,,,11/24/2011,1.0339,11/24/2011,1.28787,,,,,11/24/2011,0.7414,11/24/2011,0.20011,4/27/2012,0.31575
4/22/2013,3.175,11/25/2011,0.8,11/25/2011,0.77856,,,,,11/25/2011,1.0261,11/25/2011,1.29547,,,,,11/25/2011,0.7414,11/25/2011,0.19368,4/30/2012,0.31579
4/23/2013,3.0073,11/28/2011,0.84,11/28/2011,0.77866,,,,,11/28/2011,1.0493,11/28/2011,1.33412,,,,,11/28/2011,0.7248,11/28/2011,0.19242,5/2/2012,0.31581
4/24/2013,3.0846,11/29/2011,0.84,11/29/2011,0.77921,,,,,11/29/2011,1.0629,11/29/2011,1.43262,,,,,11/29/2011,0.7446,11/29/2011,0.19256,5/3/2012,0.31575
4/25/2013,3.0265,11/30/2011,0.84,11/30/2011,0.78122,,,,,11/30/2011,1.0940,11/30/2011,1.38998,,,,,11/30/2011,0.7375,11/30/2011,0.19305,5/4/2012,0.31566
4/26/2013,2.9432,12/1/2011,0.85,12/1/2011,0.78128,,,,,12/1/2011,1.1095,12/1/2011,1.43642,,,,,12/1/2011,0.7658,12/1/2011,0.19307,5/7/2012,0.31565
4/29/2013,2.9506,12/2/2011,0.82,12/2/2011,0.78147,,,,,12/2/2011,1.0943,12/2/2011,1.47282,,,,,12/2/2011,0.7982,12/2/2011,0.18668,5/8/2012,0.31565
4/30/2013,2.9702,12/5/2011,0.8,12/5/2011,0.78124,,,,,12/5/2011,1.0850,12/5/2011,1.50585,,,,,12/5/2011,0.7954,12/5/2011,0.18662,5/9/2012,0.31558
5/2/2013,2.9838,12/6/2011,0.77,12/6/2011,0.78097,,,,,12/6/2011,1.0434,12/6/2011,1.44872,,,,,12/6/2011,0.7642,12/6/2011,0.20714,5/10/2012,0.30784
5/3/2013,2.9964,12/7/2011,0.82,12/7/2011,0.78097,,,,,12/7/2011,1.0422,12/7/2011,1.49761,,,,,12/7/2011,0.7514,12/7/2011,0.20586,5/11/2012,0.31551
5/6/2013,2.9704,12/8/2011,0.8,12/8/2011,0.78062,,,,,12/8/2011,1.0545,12/8/2011,1.44549,,,,,12/8/2011,0.7613,12/8/2011,0.20576,5/14/2012,0.31549
5/7/2013,2.9378,12/9/2011,0.81,12/9/2011,0.77997,,,,,12/9/2011,1.0421,12/9/2011,1.42116,,,,,12/9/2011,0.7376,12/9/2011,0.20559,5/15/2012,0.3154
5/8/2013,3.0091,12/12/2011,0.8,12/12/2011,0.77991,,,,,12/12/2011,1.0523,12/12/2011,1.40051,,,,,12/12/2011,0.7388,12/12/2011,0.20558,5/16/2012,0.3154
5/9/2013,3.0353,12/13/2011,0.81,12/13/2011,0.78038,,,,,12/13/2011,1.0336,12/13/2011,1.39876,,,,,12/13/2011,0.7444,12/13/2011,0.20441,5/17/2012,0.31535
5/10/2013,3.099,12/14/2011,0.81,12/14/2011,0.77972,,,,,12/14/2011,1.0289,12/14/2011,1.38475,,,,,12/14/2011,0.7335,12/14/2011,0.20424,5/18/2012,0.31547
5/13/2013,3.0278,12/15/2011,0.81,12/15/2011,0.78008,,,,,12/15/2011,1.0191,12/15/2011,1.38537,,,,,12/15/2011,0.7441,12/15/2011,0.18634,5/21/2012,0.3155
5/14/2013,3.0277,12/16/2011,0.88,12/16/2011,0.7798,,,,,12/16/2011,1.0162,12/16/2011,1.39003,,,,,12/16/2011,0.7117,12/16/2011,0.17986,5/22/2012,0.31411
5/15/2013,2.9825,12/19/2011,0.86,12/19/2011,0.77969,,,,,12/19/2011,1.0135,12/19/2011,1.4258,,,,,12/19/2011,0.6924,12/19/2011,0.17983,5/23/2012,0.31411
5/16/2013,3.0075,12/20/2011,0.88,12/20/2011,0.77996,,,,,12/20/2011,1.0125,12/20/2011,1.43399,,,,,12/20/2011,0.6810,12/20/2011,0.17989,5/24/2012,0.31415
5/20/2013,2.8988,12/21/2011,0.94,12/21/2011,0.78004,,,,,12/21/2011,1.0152,12/21/2011,1.45212,,,,,12/21/2011,0.6862,12/21/2011,0.17991,5/25/2012,0.31419
5/21/2013,2.8605,12/22/2011,0.96,12/22/2011,0.78001,,,,,12/22/2011,1.0152,12/22/2011,1.40581,,,,,12/22/2011,0.6798,12/22/2011,0.1799,5/28/2012,0.31419
5/22/2013,2.9117,12/23/2011,0.95,12/23/2011,0.78056,,,,,12/23/2011,1.0352,12/23/2011,1.42223,,,,,12/23/2011,0.6880,12/23/2011,0.18003,5/29/2012,0.31414
5/23/2013,2.834,12/28/2011,0.92,12/28/2011,0.78061,,,,,12/28/2011,1.0352,12/28/2011,1.41975,,,,,12/28/2011,0.6854,12/28/2011,0.18004,5/30/2012,0.31412
5/24/2013,2.8337,12/29/2011,0.93,12/29/2011,0.78095,,,,,12/29/2011,1.0344,12/29/2011,1.4178,,,,,12/29/2011,0.6819,12/29/2011,0.18012,5/31/2012,0.31424
5/27/2013,2.6984,12/30/2011,0.9,12/30/2011,0.78155,,,,,12/30/2011,1.0944,12/30/2011,1.4189,,,,,12/30/2011,0.6760,12/30/2011,0.18026,6/1/2012,0.31427
5/28/2013,2.7886,1/3/2012,0.92,1/3/2012,0.78142,,,,,1/3/2012,1.0724,1/3/2012,1.44698,,,,,1/3/2012,0.6823,1/3/2012,0.18023,6/4/2012,0.31436
5/29/2013,2.6855,1/4/2012,0.89,1/4/2012,0.78144,,,,,1/4/2012,1.0544,1/4/2012,1.42899,,,,,1/4/2012,0.6810,1/4/2012,0.18023,6/5/2012,0.31434
5/30/2013,2.7757,1/5/2012,0.92,1/5/2012,0.78171,,,,,1/5/2012,1.0599,1/5/2012,1.46813,,,,,1/5/2012,0.6748,1/5/2012,0.1803,6/6/2012,0.31438
5/31/2013,2.7052,1/6/2012,0.89,1/6/2012,0.78165,,,,,1/6/2012,1.0495,1/6/2012,1.47316,,,,,1/6/2012,0.6542,1/6/2012,0.18028,6/7/2012,0.31438
6/3/2013,2.6731,1/9/2012,0.88,1/9/2012,0.78158,,,,,1/9/2012,1.0752,1/9/2012,1.46273,,,,,1/9/2012,0.6503,1/9/2012,0.18027,6/8/2012,0.31438
6/4/2013,2.6865,1/10/2012,0.87,1/10/2012,0.78164,,,,,1/10/2012,1.0752,1/10/2012,1.43966,,,,,1/10/2012,0.6529,1/10/2012,0.18028,6/11/2012,0.3143
6/5/2013,2.7058,1/11/2012,0.85,1/11/2012,0.78157,,,,,1/11/2012,1.0739,1/11/2012,1.42923,,,,,1/11/2012,0.6412,1/11/2012,0.18026,6/12/2012,0.31432
6/6/2013,2.6862,1/12/2012,0.83,1/12/2012,0.78149,,,,,1/12/2012,1.0712,1/12/2012,1.40591,,,,,1/12/2012,0.6386,1/12/2012,0.18025,6/13/2012,0.31439
6/7/2013,2.7117,1/13/2012,0.8,1/13/2012,0.78154,,,,,1/13/2012,1.0635,1/13/2012,1.38798,,,,,1/13/2012,0.6567,1/13/2012,0.18026,6/14/2012,0.31436
6/10/2013,2.6082,1/16/2012,0.83,1/16/2012,0.78141,,,,,1/16/2012,1.0427,1/16/2012,1.3826,,,,,1/16/2012,0.6385,1/16/2012,0.18023,6/15/2012,0.31437
6/11/2013,2.5629,1/17/2012,0.83,1/17/2012,0.78172,,,,,1/17/2012,1.0754,1/17/2012,1.39087,,,,,1/17/2012,0.6504,1/17/2012,0.1803,6/18/2012,0.31433
6/13/2013,2.5954,1/18/2012,0.83,1/18/2012,0.7821,,,,,1/18/2012,1.0707,1/18/2012,1.38896,,,,,1/18/2012,0.6442,1/18/2012,0.18038,6/19/2012,0.31435
6/14/2013,2.6673,1/19/2012,0.89,1/19/2012,0.78226,,,,,1/19/2012,1.0735,1/19/2012,1.41502,,,,,1/19/2012,0.6701,1/19/2012,0.18042,6/20/2012,0.31436
6/17/2013,2.6353,1/20/2012,0.91,1/20/2012,0.78219,,,,,1/20/2012,1.0631,1/20/2012,1.42778,,,,,1/20/2012,0.6765,1/20/2012,0.18041,6/21/2012,0.31432
6/18/2013,2.6551,1/26/2012,0.89,1/26/2012,0.78255,,,,,1/26/2012,1.0804,1/26/2012,1.48259,,,,,1/26/2012,0.7284,1/26/2012,0.18178,6/22/2012,0.31427
6/19/2013,2.6622,1/27/2012,0.9,1/27/2012,0.78269,,,,,1/27/2012,1.0754,1/27/2012,1.46996,,,,,1/27/2012,0.7040,1/27/2012,0.18181,6/25/2012,0.32086
6/20/2013,2.5717,1/30/2012,0.89,1/30/2012,0.78265,,,,,1/30/2012,1.0766,1/30/2012,1.4441,,,,,1/30/2012,0.7388,1/30/2012,0.1818,6/26/2012,0.3209
6/21/2013,2.4954,1/31/2012,0.92,1/31/2012,0.78261,,,,,1/31/2012,1.1037,1/31/2012,1.44145,,,,,1/31/2012,0.7375,1/31/2012,0.18179,6/27/2012,0.32094
6/24/2013,2.3975,2/1/2012,0.93,2/1/2012,0.78279,,,,,2/1/2012,1.1284,2/1/2012,1.45468,,,,,2/1/2012,0.7454,2/1/2012,0.20376,6/28/2012,0.32091
6/25/2013,2.3667,2/2/2012,0.96,2/2/2012,0.78266,,,,,2/2/2012,1.1798,2/2/2012,1.51117,,,,,2/2/2012,0.7440,2/2/2012,0.20372,6/29/2012,0.32097
6/26/2013,2.4718,2/3/2012,0.97,2/3/2012,0.78281,,,,,2/3/2012,1.2123,2/3/2012,1.67137,,,,,2/3/2012,0.7686,2/3/2012,0.20634,7/3/2012,0.3211
6/27/2013,2.5135,2/6/2012,0.98,2/6/2012,0.78283,,,,,2/6/2012,1.2046,2/6/2012,1.73848,,,,,2/6/2012,0.8061,2/6/2012,0.20635,7/4/2012,0.31977
6/28/2013,2.5116,2/7/2012,0.97,2/7/2012,0.78288,,,,,2/7/2012,1.2072,2/7/2012,1.70764,,,,,2/7/2012,0.7906,2/7/2012,0.20636,7/5/2012,0.31979
7/2/2013,2.4505,2/8/2012,0.98,2/8/2012,0.78284,,,,,2/8/2012,1.1943,2/8/2012,1.73076,,,,,2/8/2012,0.8125,2/8/2012,0.2128,7/6/2012,0.31988
7/3/2013,2.4504,2/9/2012,1,2/9/2012,0.78266,,,,,2/9/2012,1.2030,2/9/2012,1.80515,,,,,2/9/2012,0.8175,2/9/2012,0.2192,7/9/2012,0.31978
7/4/2013,2.4427,2/10/2012,0.95,2/10/2012,0.78274,,,,,2/10/2012,1.1928,2/10/2012,1.81049,,,,,2/10/2012,0.8047,2/10/2012,0.22954,7/10/2012,0.30949
7/5/2013,2.414,2/13/2012,0.97,2/13/2012,0.78283,,,,,2/13/2012,1.1826,2/13/2012,1.80812,,,,,2/13/2012,0.8022,2/13/2012,0.23859,7/11/2012,0.30949
7/8/2013,2.3775,2/14/2012,0.93,2/14/2012,0.78284,,,,,2/14/2012,1.1917,2/14/2012,1.73334,,,,,2/14/2012,0.7919,2/14/2012,0.23214,7/12/2012,0.30937
7/9/2013,2.385,2/15/2012,0.95,2/15/2012,0.78286,,,,,2/15/2012,1.1917,2/15/2012,1.78498,,,,,2/15/2012,0.7906,2/15/2012,0.23215,7/13/2012,0.30938
,,2/16/2012,0.94,2/16/2012,0.78282,,,,,2/16/2012,1.1852,2/16/2012,1.69203,,,,,2/16/2012,0.8060,2/16/2012,0.23214,7/16/2012,0.30937
,,2/17/2012,0.94,2/17/2012,0.78281,,,,,2/17/2012,1.1865,2/17/2012,1.67911,,,,,2/17/2012,0.8254,2/17/2012,0.23214,7/17/2012,0.31584
,,2/20/2012,0.93,2/20/2012,0.78279,,,,,2/20/2012,1.1942,2/20/2012,1.68939,,,,,2/20/2012,0.8254,2/20/2012,0.23729,7/18/2012,0.31588
,,2/21/2012,0.91,2/21/2012,0.78281,,,,,2/21/2012,1.2123,2/21/2012,1.67911,,,,,2/21/2012,0.7931,2/21/2012,0.23729,7/19/2012,0.3159
,,2/22/2012,0.95,2/22/2012,0.78273,,,,,2/22/2012,1.1992,2/22/2012,1.72536,,,,,2/22/2012,0.7995,2/22/2012,0.23727,7/20/2012,0.3094
,,2/23/2012,0.99,2/23/2012,0.78261,,,,,2/23/2012,1.2029,2/23/2012,1.71478,,,,,2/23/2012,0.7878,2/23/2012,0.23723,7/23/2012,0.31585
,,2/24/2012,1,2/24/2012,0.78281,,,,,2/24/2012,1.1865,2/24/2012,1.7797,,,,,2/24/2012,0.7957,2/24/2012,0.23858,7/24/2012,0.3158
,,2/27/2012,0.99,2/27/2012,0.78271,,,,,2/27/2012,1.1708,2/27/2012,1.77174,,,,,2/27/2012,0.7995,2/27/2012,0.23726,7/25/2012,0.31578
,,2/28/2012,0.96,2/28/2012,0.7827,,,,,2/28/2012,1.1940,2/28/2012,1.92903,,,,,2/28/2012,0.8472,2/28/2012,0.23726,7/26/2012,0.31578
,,2/29/2012,1,2/29/2012,0.78266,,,,,2/29/2012,1.1785,2/29/2012,1.87477,,,,,2/29/2012,0.8523,2/29/2012,0.23596,7/27/2012,0.31583
,,3/1/2012,0.95,3/1/2012,0.7827,,,,,3/1/2012,1.2044,3/1/2012,1.7975,,,,,3/1/2012,0.8639,3/1/2012,0.22694,7/30/2012,0.3159
,,3/2/2012,1.01,3/2/2012,0.78234,,,,,3/2/2012,1.2038,3/2/2012,1.77863,,,,,3/2/2012,0.8764,3/2/2012,0.22684,7/31/2012,0.3095
,,3/5/2012,0.98,3/5/2012,0.78188,,,,,3/5/2012,1.2340,3/5/2012,1.76214,,,,,3/5/2012,0.8746,3/5/2012,0.23186,8/1/2012,0.30691
,,3/6/2012,0.96,3/6/2012,0.78192,,,,,3/6/2012,1.1826,3/6/2012,1.69009,,,,,3/6/2012,0.8476,3/6/2012,0.23187,8/2/2012,0.30435
,,3/7/2012,0.95,3/7/2012,0.78182,,,,,3/7/2012,1.1914,3/7/2012,1.6976,,,,,3/7/2012,0.8462,3/7/2012,0.23184,8/3/2012,0.3043
,,3/8/2012,0.98,3/8/2012,0.78268,,,,,3/8/2012,1.2288,3/8/2012,1.73041,,,,,3/8/2012,0.8497,3/8/2012,0.2321,8/6/2012,0.3043
,,3/9/2012,0.97,3/9/2012,0.78259,,,,,3/9/2012,1.2764,3/9/2012,1.77404,,,,,3/9/2012,0.8703,3/9/2012,0.27075,8/7/2012,0.30688
,,3/12/2012,0.94,3/12/2012,0.78244,,,,,3/12/2012,1.2697,3/12/2012,1.7969,,,,,3/12/2012,0.8881,3/12/2012,0.25781,8/8/2012,0.30686
,,3/13/2012,0.96,3/13/2012,0.78226,,,,,3/13/2012,1.2913,3/13/2012,1.78102,,,,,3/13/2012,0.8763,3/13/2012,0.27836,8/9/2012,0.30943
,,3/14/2012,0.96,3/14/2012,0.78206,,,,,3/14/2012,1.2588,3/14/2012,1.7651,,,,,3/14/2012,0.8722,3/14/2012,0.277,8/10/2012,0.30808
,,3/15/2012,0.95,3/15/2012,0.78205,,,,,3/15/2012,1.2845,3/15/2012,1.7625,,,,,3/15/2012,0.8761,3/15/2012,0.28344,8/13/2012,0.30933
,,3/16/2012,1.02,3/16/2012,0.78195,,,,,3/16/2012,1.2934,3/16/2012,1.73911,,,,,3/16/2012,0.8760,3/16/2012,0.28341,8/14/2012,0.3094
,,3/19/2012,1.01,3/19/2012,0.78196,,,,,3/19/2012,1.2573,3/19/2012,1.65668,,,,,3/19/2012,0.8567,3/19/2012,0.28857,8/15/2012,0.30937
,,3/20/2012,1.03,3/20/2012,0.78189,,,,,3/20/2012,1.2469,3/20/2012,1.59986,,,,,3/20/2012,0.8373,3/20/2012,0.28081,8/16/2012,0.30941
,,3/21/2012,1.07,3/21/2012,0.78174,,,,,3/21/2012,1.2853,3/21/2012,1.65621,,,,,3/21/2012,0.8346,3/21/2012,0.28076,8/17/2012,0.30941
,,3/22/2012,1.13,3/22/2012,0.78162,,,,,3/22/2012,1.2606,3/22/2012,1.64566,,,,,3/22/2012,0.8061,3/22/2012,0.28329,8/20/2012,0.30939
,,3/23/2012,1.14,3/23/2012,0.7814,,,,,3/23/2012,1.2590,3/23/2012,1.5628,,,,,3/23/2012,0.8059,3/23/2012,0.28321,8/21/2012,0.30941
,,3/26/2012,1.16,3/26/2012,0.78138,,,,,3/26/2012,1.2834,3/26/2012,1.57306,,,,,3/26/2012,0.8033,3/26/2012,0.2832,8/22/2012,0.30942
,,3/27/2012,1.17,3/27/2012,0.78173,,,,,3/27/2012,1.2827,3/27/2012,1.65362,,,,,3/27/2012,0.8178,3/27/2012,0.28075,8/23/2012,0.30944
,,3/28/2012,1.15,3/28/2012,0.85651,,,,,3/28/2012,1.3215,3/28/2012,1.55073,,,,,3/28/2012,0.8179,3/28/2012,0.26404,8/24/2012,0.30941
,,3/29/2012,1.12,3/29/2012,0.92733,,,,,3/29/2012,1.3266,3/29/2012,1.49404,,,,,3/29/2012,0.8114,3/29/2012,0.25888,8/27/2012,0.30945
,,3/30/2012,1.14,3/30/2012,0.90415,,,,,3/30/2012,1.3266,3/30/2012,1.51464,,,,,3/30/2012,0.8114,3/30/2012,0.25888,8/28/2012,0.30943
,,4/2/2012,1.1,4/2/2012,0.93359,,,,,4/2/2012,1.3753,4/2/2012,1.5195,,,,,4/2/2012,0.8538,4/2/2012,0.27042,8/29/2012,0.30945
,,4/3/2012,1.08,4/3/2012,0.97624,,,,,4/3/2012,1.4167,4/3/2012,1.52231,,,,,4/3/2012,0.8861,4/3/2012,0.28334,8/30/2012,0.30943
,,4/5/2012,1.09,4/5/2012,0.94922,,,,,4/5/2012,1.4116,4/5/2012,1.47856,,,,,4/5/2012,0.8591,4/5/2012,0.28335,8/31/2012,0.30942
,,4/10/2012,1.06,4/10/2012,0.90793,,,,,4/10/2012,1.4269,4/10/2012,1.46815,,,,,4/10/2012,0.8526,4/10/2012,0.28204,9/3/2012,0.30939
,,4/11/2012,1.07,4/11/2012,0.89895,,,,,4/11/2012,1.4296,4/11/2012,1.44502,,,,,4/11/2012,0.8513,4/11/2012,0.27303,9/4/2012,0.30943
,,4/12/2012,1.06,4/12/2012,0.88222,,,,,4/12/2012,1.4425,4/12/2012,1.46049,,,,,4/12/2012,0.8565,4/12/2012,0.27304,9/5/2012,0.31197
,,4/13/2012,1.05,4/13/2012,0.88793,,,,,4/13/2012,1.4434,4/13/2012,1.45626,,,,,4/13/2012,0.8995,4/13/2012,0.27321,9/6/2012,0.31199
,,4/16/2012,1.05,4/16/2012,0.91,,,,,4/16/2012,1.4282,4/16/2012,1.46684,,,,,4/16/2012,0.8842,4/16/2012,0.26037,9/7/2012,0.31202
,,4/17/2012,1.08,4/17/2012,0.89314,,,,,4/17/2012,1.4100,4/17/2012,1.50275,,,,,4/17/2012,0.8777,4/17/2012,0.26034,9/10/2012,0.31591
