"","ann.ret.60","ann.std.60","downrisk.60","drawdown.60","sharpe.60","sortino.60","omega.60","wl.60","skewness.60","kurtosis.60"
"GRCAPNR.US.Equity",0.0747838087665493,0.177257646973026,0.0342357399493686,-0.546853846670701,0.0457335258972159,0.214401056288032,1.45895417940657,0.602649006622517,-0.355964545374134,0.689748579964494
"GREASHI.KY.Equity",0.0301149419067883,0.142063658202212,0.0244913225992851,-0.382225486032376,-0.041739529162372,0.134261906122013,1.26605061180399,0.536423841059603,1.09826364559625,5.29380598166589
"GRECVPD.MV.Equity",0.0674166842461674,0.206557319093713,0.042945888884573,-0.600859547793664,0.0382985126312581,0.169600919688312,1.40200029167722,0.622516556291391,-0.871484949464066,2.9067148336444
"GREYOLP.US.Equity",0.0993706547576447,0.129739822392899,0.0243242986350294,-0.409658770802704,0.0970280935399047,0.354952074649622,2.06379447511107,0.695364238410596,-0.682827461694309,8.31854894922656
"GRNITLP.US.Equity",0.138640444344042,0.110387792183041,0.0170163710183976,-0.194518669882999,0.200144942678421,0.668642033889066,2.51116625091916,0.629139072847682,-0.0093570064377318,0.551846760664231
"GRNITLT.KY.Equity",0.138644342743706,0.110387353580306,0.0170163244566283,-0.194519497714965,0.200154674319839,0.668660598495592,2.51121470665846,0.629139072847682,-0.00940193847482268,0.551847383144268
"GRTHCLP.US.Equity",0.0716902249546034,0.131747174396353,0.0238983627716537,-0.289114574956775,0.039577546994788,0.272203523111731,1.57089653296571,0.582781456953642,-0.18413826114735,0.744722287128434
"HA4EAG1.US.Equity",0.0739315419601418,0.171290311446922,0.0292404730325206,-0.233629398451184,0.0434777291610407,0.244519105305987,1.56287850981832,0.615894039735099,0.817109416264767,8.26028133163397
"HADREUA.KY.Equity",0.070017138058917,0.0872588009782091,0.017112597358021,-0.23453201106971,0.0387958126818181,0.349289176158342,1.95068881869095,0.655629139072848,-1.40454456860264,8.18399350065255
"HAJUPTR.US.Equity",0.150618162350528,0.161560802074613,0.0277210800320928,-0.319826232245287,0.168052587434536,0.463103713292391,2.14785528185694,0.655629139072848,-0.16865826114986,2.09467099140034
"HALCYON.KY.Equity",0.0408781573281651,0.355335899594615,0.0717230526846885,-0.896406694716917,0.0370722005731921,0.122732390665986,1.2689610265575,0.576158940397351,-0.42687628889027,1.65219460573154
"HANOVER.US.Equity",0.0618450585078589,0.0982466549768672,0.0182251961773251,-0.193716578192652,0.0146377184461634,0.297124137522398,1.80020962165347,0.609271523178808,-0.46538739173284,4.34576377071211
"HARBOUR.BH.Equity",0.0749823894531585,0.168988379939309,0.0340173703324897,-0.490546188006052,0.0461487966290218,0.213163593475556,1.49152268465752,0.629139072847682,-0.712274719287773,2.40033882410474
"HARGLMA.KY.Equity",0.00399127007017941,0.123801336060111,0.0257007152077924,-0.370654821305787,-0.112747287362883,0.0377653313786296,1.07120145162348,0.556291390728477,-0.251078096468341,0.069595706086282
"HAVININ.KY.Equity",0.0668351624064321,0.0550604803468654,0.00976730341225355,-0.111811604501404,0.0334563383983989,0.566356403702706,2.62130193593969,0.728476821192053,-0.710088571980424,4.97512168478375
"HAVPALP.US.Equity",0.0578036764666399,0.0509699426414956,0.0100203345583993,-0.105162478243877,-0.0134135873343513,0.479288963217671,2.40596742923614,0.728476821192053,-1.57288976743493,6.11838501579745
"HAWKGDP.US.Equity",0.0492212408992183,0.272420792952354,0.0444316591014033,-0.470081958259358,0.0248563187865632,0.156526418717539,1.27763548610876,0.450331125827815,0.87872544140171,1.26847332032211
"HDGERSL.IM.Equity",0.0385069901516191,0.0627252316691801,0.011765958147377,-0.206465307906289,-0.0929610063752677,0.281892478095984,1.83750054347644,0.66887417218543,-0.218598154119655,11.0586885689942
