Date,1171 HK equity,386 HK equity,857 HK equity,883 HK equity,005490 KS equity,2600 HK equity,5406 jp equity,6502 JP equity,1138 HK equity,6305 jp equity,6752 jp equity,105560 KS equity,2628 HK equity,8306 JP equity,8316 JP equity,8591 JP equity,8604 JP equity,055550 KS equity,2601 HK equity,1336 HK equity,8411 jp equity,8630 jp equity,8766 jp equity,2409 TT equity,FENG equity,IBM equity,762 HK equity,9984 jp equity,015760 KS equity,902 HK equity,8801 jp equity,esm7 index,nhm7 index
7/27/2016,-2.5157,0.8741,1.7045,0.5165,0.3569,-0.7692,1.4018,0.2177,-0.2283,3.0582,0.8668,-0.4116,1.6854,-0.4713,-0.0561,1.8725,1.2305,1.0125,0.1795,-0.8834,-0.2252,0.8536,0.4268,1.7015,-2.5575,-0.1789,1.2165,0.0713,-0.6673,2.1882,1.2001,-0.12,0.41
7/28/2016,0.0116,-1.7217,-0.1746,-1.7358,1.4362,-1.539,0.7915,-1.1368,1.8425,2.2254,-2.196,-0.5358,-0.6515,-1.7825,-1.4868,-0.6597,-0.662,0.6168,0.1908,-0.5232,0.0323,-0.0141,-0.3888,2.3209,3.6745,-0.2842,0.0116,-0.2495,0.6654,4.0806,-1.0582,0.19,0.64
7/29/2016,2.5449,-2.8557,-1.8998,-2.9626,0.218,-1.6091,2.4524,3.4515,-1.3826,0.8955,5.114,-0.5916,-1.7027,10.3593,10.3949,4.3411,15.305,0.4742,-2.0019,-1.6471,8.2846,6.8019,6.6222,0.7597,-1.519,-0.4648,-0.6356,8.8867,0.6105,-2.2974,0.381,0.16,0.91
8/1/2016,2.6989,1.4258,0.9246,-0.2412,1.1729,4.3731,-3.2293,-1.5286,5.4398,-2.0312,-6.8534,1.7922,0.5397,4.4418,3.9206,-0.4053,-5.4824,2.2684,0.704,2.7058,2.444,-2.3028,-1.5526,0.5009,1.7995,0.5167,-0.0258,4.0922,0.3434,2.4999,0.4852,-0.19,0.92
8/3/2016,-2.4251,-1.5859,-1.8592,-4.4042,-2.4743,5.3898,-4.0911,-3.3891,-1.9198,-4.3303,-1.0687,-0.2236,-2.5633,-4.4634,-4.843,-4.7437,-6.5432,-2.966,-1.4251,-1.9263,-3.8801,-2.2694,-4.3251,-0.1705,0,0.056,-1.4269,-3.0102,-0.3479,-3.0563,-6.3527,0.21,-0.8
8/4/2016,0.4495,0.3947,0.4149,3.0827,-1.9742,0.3947,2.6517,4.6141,-0.6301,5.099,2.907,0.8422,0.1465,3.2202,2.4352,1.1352,7.4073,0.9095,0.7665,1.1163,1.7705,3.7316,1.0132,-0.2603,-1.0025,0.5477,-0.8282,-0.9788,-2.2766,-2.5122,1.3086,0.11,1.23
8/5/2016,1.2696,0.9253,0.7843,1.3354,1.4232,0.7441,2.9201,-2.9833,1.35,-1.6025,0.5193,1.7889,2.2112,-1.1972,-0.9376,0.1366,1.1383,0.8264,1.4795,1.4507,-0.873,-2.194,-2.1609,3.0311,-1.7722,1.2071,0.8858,-1.3263,-0.5051,0.2368,1.6248,0.82,0.56
8/8/2016,3.6783,-0.204,0.7343,0.1919,-2.8851,1.414,1.501,1.9719,2.8194,5.4175,0.823,3.8505,2.3451,4.5727,4.4454,3.0126,4.3322,2.5238,1.414,1.5624,2.5803,3.9211,3.7203,2.0669,1.8041,-0.037,2.4289,2.6237,0.6829,1.7104,4.9271,-0.06,0.61
8/9/2016,-0.3904,0.546,0.3831,0.9784,3.9731,-0.7028,2.869,0.6081,-1.2702,4.8245,2.6967,2.2951,-0.4346,1.479,1.5314,2.372,1.8941,0.5568,0.1838,-1.0353,0.4883,1.1507,1.2577,-1.368,-0.5063,-0.1666,-0.2331,3.9785,0.6799,1.4991,0.6521,0.13,0.89
8/10/2016,-1.7966,-0.1828,-0.3791,0.1031,0.235,-0.361,-0.5036,-0.4916,-1.0814,3.5244,0.3025,0.198,0.1069,0.6207,0.3068,0.9139,-2.5511,-0.2755,0.3501,-0.1793,-0.2379,-2.3957,-0.7146,-1.9862,-7.1247,0.1916,-0.9642,3.2464,2.7605,1.2566,-1.0455,-0.23,0.6
