,992 HK Equity,,2018 HK Equity,,2038 HK Equity,,981 HK Equity,,3888 HK Equity,,696 HK Equity,,285 HK Equity,,2369 HK Equity,,354 HK Equity,,268 HK Equity,,1900 HK Equity,,161 HK Equity,,74 HK Equity,,1075 HK Equity,,877 HK Equity
2/9/2012,0.83681,2/9/2012,2.72706,2/9/2012,0.75429,2/9/2012,0.05673,2/9/2012,0.44613,2/9/2012,0.56604,2/9/2012,0.35974,2/9/2012,0.20759,2/9/2012,0.31848,2/9/2012,0.29269,,,2/9/2012,0.44355,2/9/2012,0.25143,2/9/2012,0.04706,,
2/10/2012,0.86656,2/10/2012,2.70155,2/10/2012,0.73632,2/10/2012,0.05674,2/10/2012,0.42683,2/10/2012,0.56352,2/10/2012,0.36107,2/10/2012,0.19859,2/10/2012,0.31206,2/10/2012,0.27983,,,2/10/2012,0.42941,2/10/2012,0.24888,2/10/2012,0.04642,,
2/13/2012,0.87698,2/13/2012,2.62449,2/13/2012,0.72996,2/13/2012,0.0561,2/13/2012,0.43204,2/13/2012,0.55327,2/13/2012,0.36627,2/13/2012,0.19861,2/13/2012,0.30823,2/13/2012,0.27986,,,2/13/2012,0.43204,2/13/2012,0.25278,2/13/2012,0.04643,,
2/14/2012,0.8512,2/14/2012,2.68256,2/14/2012,0.73125,2/14/2012,0.05546,2/14/2012,0.42044,2/14/2012,0.54554,2/14/2012,0.3624,2/14/2012,0.19345,2/14/2012,0.30695,2/14/2012,0.24117,,,2/14/2012,0.43849,2/14/2012,0.2502,2/14/2012,0.04643,,
2/15/2012,0.8783,2/15/2012,2.77291,2/15/2012,0.74288,2/15/2012,0.05739,2/15/2012,0.42948,2/15/2012,0.55071,2/15/2012,0.37144,2/15/2012,0.2012,2/15/2012,0.31727,2/15/2012,0.25021,,,2/15/2012,0.43851,2/15/2012,0.25537,2/15/2012,0.0445,,
2/16/2012,0.88599,2/16/2012,2.77276,2/16/2012,0.75703,2/16/2012,0.05674,2/16/2012,0.41914,2/16/2012,0.5481,2/16/2012,0.37916,2/16/2012,0.1999,2/16/2012,0.31983,2/16/2012,0.25793,,,2/16/2012,0.43332,2/16/2012,0.25277,2/16/2012,0.04385,,
2/17/2012,0.90146,2/17/2012,2.66956,2/17/2012,0.76218,2/17/2012,0.05674,2/17/2012,0.42558,2/17/2012,0.55583,2/17/2012,0.40882,2/17/2012,0.1986,2/17/2012,0.31983,2/17/2012,0.25148,,,2/17/2012,0.4359,2/17/2012,0.25406,2/17/2012,0.04385,,
2/20/2012,0.89112,2/20/2012,2.65659,2/20/2012,0.72476,2/20/2012,0.05545,2/20/2012,0.42428,2/20/2012,0.55453,2/20/2012,0.40623,2/20/2012,0.19602,2/20/2012,0.30822,2/20/2012,0.24503,,,2/20/2012,0.43073,2/20/2012,0.25792,2/20/2012,0.04449,,
2/21/2012,0.92596,2/21/2012,2.5767,2/21/2012,0.72478,2/21/2012,0.05545,2/21/2012,0.42042,2/21/2012,0.56486,2/21/2012,0.39592,2/21/2012,0.19603,2/21/2012,0.30951,2/21/2012,0.25406,,,2/21/2012,0.43074,2/21/2012,0.25406,2/21/2012,0.0432,,
2/22/2012,0.91684,2/22/2012,2.55322,2/22/2012,0.7492,2/22/2012,0.05609,2/22/2012,0.45262,2/22/2012,0.56609,2/22/2012,0.41264,2/22/2012,0.20116,2/22/2012,0.31077,2/22/2012,0.27982,,,2/22/2012,0.43198,2/22/2012,0.2708,2/22/2012,0.04578,,
2/23/2012,0.89091,2/23/2012,2.52704,2/23/2012,0.73233,2/23/2012,0.05544,2/23/2012,0.44739,2/23/2012,0.56085,2/23/2012,0.40226,2/23/2012,0.20758,2/23/2012,0.3017,2/23/2012,0.26947,,,2/23/2012,0.43192,2/23/2012,0.28107,2/23/2012,0.04642,,
2/24/2012,0.88856,2/24/2012,2.56896,2/24/2012,0.71188,2/24/2012,0.05545,2/24/2012,0.47717,2/24/2012,0.53649,2/24/2012,0.39979,2/24/2012,0.21279,2/24/2012,0.29791,2/24/2012,0.27856,,,2/24/2012,0.42558,2/24/2012,0.27727,2/24/2012,0.04578,,
2/27/2012,0.87942,2/27/2012,2.55574,2/27/2012,0.69245,2/27/2012,0.05416,2/27/2012,0.47195,2/27/2012,0.52224,2/27/2012,0.38555,2/27/2012,0.20632,2/27/2012,0.29529,2/27/2012,0.26434,,,2/27/2012,0.42553,2/27/2012,0.26821,2/27/2012,0.04578,,
2/28/2012,0.88199,2/28/2012,2.56602,2/28/2012,0.70018,2/28/2012,0.05416,2/28/2012,0.47581,2/28/2012,0.53384,2/28/2012,0.39328,2/28/2012,0.20889,2/28/2012,0.30302,2/28/2012,0.2695,,,2/28/2012,0.42552,2/28/2012,0.27723,2/28/2012,0.04513,,
2/29/2012,0.88581,2/29/2012,2.57105,2/29/2012,0.70272,2/29/2012,0.05287,2/29/2012,0.48223,2/29/2012,0.54412,2/29/2012,0.40745,2/29/2012,0.21146,2/29/2012,0.30301,2/29/2012,0.26948,,,2/29/2012,0.42292,2/29/2012,0.27335,2/29/2012,0.04577,,
3/1/2012,0.87038,3/1/2012,2.7272,3/1/2012,0.69373,3/1/2012,0.05351,3/1/2012,0.46549,3/1/2012,0.53641,3/1/2012,0.40618,3/1/2012,0.21276,3/1/2012,0.294,3/1/2012,0.26176,,,3/1/2012,0.42165,3/1/2012,0.2695,3/1/2012,0.04449,,
3/2/2012,0.87127,3/2/2012,2.85482,3/2/2012,0.70243,3/2/2012,0.0522,3/2/2012,0.47817,3/2/2012,0.53617,3/2/2012,0.41115,3/2/2012,0.22555,3/2/2012,0.3003,3/2/2012,0.26808,,,3/2/2012,0.40599,3/2/2012,0.28999,3/2/2012,0.04575,,
3/5/2012,0.85917,3/5/2012,2.7952,3/5/2012,0.68656,3/5/2012,0.05346,3/5/2012,0.47145,3/5/2012,0.52555,3/5/2012,0.40962,3/5/2012,0.22156,3/5/2012,0.29627,3/5/2012,0.26535,,,3/5/2012,0.41091,3/5/2012,0.27952,3/5/2012,0.04573,,
3/6/2012,0.86952,3/6/2012,2.80179,3/6/2012,0.6969,3/6/2012,0.05282,3/6/2012,0.45473,3/6/2012,0.51785,3/6/2012,0.37486,3/6/2012,0.20224,3/6/2012,0.29628,3/6/2012,0.25506,,,3/6/2012,0.40835,3/6/2012,0.26794,3/6/2012,0.04509,,
3/7/2012,0.85524,3/7/2012,2.84007,3/7/2012,0.6981,3/7/2012,0.05152,3/7/2012,0.4508,3/7/2012,0.51392,3/7/2012,0.36451,3/7/2012,0.20737,3/7/2012,0.29624,3/7/2012,0.25116,,,3/7/2012,0.40959,3/7/2012,0.26275,3/7/2012,0.04315,,
3/8/2012,0.88068,3/8/2012,2.83029,3/8/2012,0.73497,3/8/2012,0.05351,3/8/2012,0.48224,3/8/2012,0.52093,3/8/2012,0.37264,3/8/2012,0.21404,3/8/2012,0.29786,3/8/2012,0.25144,,,3/8/2012,0.40875,3/8/2012,0.27336,3/8/2012,0.0432,,
3/9/2012,0.8651,3/9/2012,2.96533,3/9/2012,0.74778,3/9/2012,0.0535,3/9/2012,0.50282,3/9/2012,0.52602,3/9/2012,0.3726,3/9/2012,0.22433,3/9/2012,0.30943,3/9/2012,0.25657,,,3/9/2012,0.41257,3/9/2012,0.27977,3/9/2012,0.04448,,
3/12/2012,0.85849,3/12/2012,2.93898,3/12/2012,0.72057,3/12/2012,0.05285,3/12/2012,0.49627,3/12/2012,0.53366,3/12/2012,0.3764,3/12/2012,0.22816,3/12/2012,0.3055,3/12/2012,0.25394,,,3/12/2012,0.40346,3/12/2012,0.27972,3/12/2012,0.04512,,
3/13/2012,0.86731,3/13/2012,2.92541,3/13/2012,0.73457,3/13/2012,0.05155,3/13/2012,0.48972,3/13/2012,0.53096,3/13/2012,0.37889,3/13/2012,0.22939,3/13/2012,0.29512,3/13/2012,0.26548,,,3/13/2012,0.40981,3/13/2012,0.28223,3/13/2012,0.04511,,
3/14/2012,0.8774,3/14/2012,2.86024,3/14/2012,0.73438,3/14/2012,0.05089,3/14/2012,0.48057,3/14/2012,0.52695,3/14/2012,0.38008,3/14/2012,0.2216,3/14/2012,0.29633,3/14/2012,0.25897,,,3/14/2012,0.42259,3/14/2012,0.27443,3/14/2012,0.04574,,
3/15/2012,0.87996,3/15/2012,2.95038,3/15/2012,0.72536,3/15/2012,0.05218,3/15/2012,0.4767,3/15/2012,0.52566,3/15/2012,0.38007,3/15/2012,0.21902,3/15/2012,0.29504,3/15/2012,0.25252,,,3/15/2012,0.41743,3/15/2012,0.27958,3/15/2012,0.04509,,
3/16/2012,0.87857,3/16/2012,2.80834,3/16/2012,0.74588,3/16/2012,0.05089,3/16/2012,0.47536,3/16/2012,0.53075,3/16/2012,0.37487,3/16/2012,0.21642,3/16/2012,0.30145,3/16/2012,0.25765,,,3/16/2012,0.4045,3/16/2012,0.27568,3/16/2012,0.04509,,
3/19/2012,0.86312,3/19/2012,2.78261,3/19/2012,0.74203,3/19/2012,0.05024,3/19/2012,0.46634,3/19/2012,0.52045,3/19/2012,0.36457,3/19/2012,0.20483,3/19/2012,0.29501,3/19/2012,0.24477,,,3/19/2012,0.40451,3/19/2012,0.27568,3/19/2012,0.04509,,
3/20/2012,0.86047,3/20/2012,2.84032,3/20/2012,0.73166,3/20/2012,0.05088,3/20/2012,0.46115,3/20/2012,0.52813,3/20/2012,0.37227,3/20/2012,0.20739,3/20/2012,0.29369,3/20/2012,0.24088,,,3/20/2012,0.40447,3/20/2012,0.27566,3/20/2012,0.04508,,
3/21/2012,0.85386,3/21/2012,2.78182,3/21/2012,0.70576,3/21/2012,0.05023,3/21/2012,0.4353,3/21/2012,0.5203,3/21/2012,0.34773,3/21/2012,0.18674,3/21/2012,0.28591,3/21/2012,0.22667,,,3/21/2012,0.39924,3/21/2012,0.25242,3/21/2012,0.04508,,
3/22/2012,0.86661,3/22/2012,2.93591,3/22/2012,0.73398,3/22/2012,0.04893,3/22/2012,0.44425,3/22/2012,0.51507,3/22/2012,0.33995,3/22/2012,0.17641,3/22/2012,0.29102,3/22/2012,0.22019,,,3/22/2012,0.39274,3/22/2012,0.25239,3/22/2012,0.04507,,
3/23/2012,0.86121,3/23/2012,2.85141,3/23/2012,0.70802,3/23/2012,0.05021,3/23/2012,0.43125,3/23/2012,0.51235,3/23/2012,0.3347,3/23/2012,0.1725,3/23/2012,0.29222,3/23/2012,0.21627,,,3/23/2012,0.40293,3/23/2012,0.24588,3/23/2012,0.04506,,
3/26/2012,0.89337,3/26/2012,2.81271,3/26/2012,0.72345,3/26/2012,0.04956,3/26/2012,0.43896,3/26/2012,0.53422,3/26/2012,0.30509,3/26/2012,0.16735,3/26/2012,0.29608,3/26/2012,0.2124,,,3/26/2012,0.39906,3/26/2012,0.25231,3/26/2012,0.04055,,
3/27/2012,0.90794,3/27/2012,2.84618,3/27/2012,0.73279,3/27/2012,0.05023,3/27/2012,0.44818,3/27/2012,0.52802,3/27/2012,0.29492,3/27/2012,0.17386,3/27/2012,0.31038,3/27/2012,0.22022,,,3/27/2012,0.40053,3/27/2012,0.24212,3/27/2012,0.04121,,
3/28/2012,0.94151,3/28/2012,2.83999,3/28/2012,0.73672,3/28/2012,0.04959,3/28/2012,0.41602,3/28/2012,0.52807,3/28/2012,0.29237,3/28/2012,0.16744,3/28/2012,0.31427,3/28/2012,0.2254,,,3/28/2012,0.40056,3/28/2012,0.23441,3/28/2012,0.0425,,
3/29/2012,0.93764,3/29/2012,2.73692,3/29/2012,0.7174,3/29/2012,0.04959,3/29/2012,0.43276,3/29/2012,0.52806,3/29/2012,0.30267,3/29/2012,0.16744,3/29/2012,0.31169,3/29/2012,0.23956,,,3/29/2012,0.39798,3/29/2012,0.23827,3/29/2012,0.04057,,
3/30/2012,0.90029,3/30/2012,2.7176,3/30/2012,0.71224,3/30/2012,0.04959,3/30/2012,0.44435,3/30/2012,0.5242,3/30/2012,0.30138,3/30/2012,0.16615,3/30/2012,0.30654,3/30/2012,0.24085,,,3/30/2012,0.40442,3/30/2012,0.23183,3/30/2012,0.04057,,
4/2/2012,0.9117,4/2/2012,2.91023,4/2/2012,0.7237,4/2/2012,0.04958,4/2/2012,0.43782,4/2/2012,0.54342,4/2/2012,0.30133,4/2/2012,0.16483,4/2/2012,0.30519,4/2/2012,0.24724,,,4/2/2012,0.40434,4/2/2012,0.2305,4/2/2012,0.04056,,
4/3/2012,0.93116,4/3/2012,2.89136,4/3/2012,0.71994,4/3/2012,0.05023,4/3/2012,0.44819,4/3/2012,0.56668,4/3/2012,0.3091,4/3/2012,0.17129,4/3/2012,0.30652,4/3/2012,0.2447,,,4/3/2012,0.40827,4/3/2012,0.22925,4/3/2012,0.04057,,
4/5/2012,0.97111,4/5/2012,3.02023,4/5/2012,0.71996,4/5/2012,0.05023,4/5/2012,0.44177,4/5/2012,0.57185,4/5/2012,0.31426,4/5/2012,0.16872,4/5/2012,0.30396,4/5/2012,0.25244,,,4/5/2012,0.42245,4/5/2012,0.23441,4/5/2012,0.04057,,
4/10/2012,0.9427,4/10/2012,3.04576,4/10/2012,0.70188,4/10/2012,0.05151,4/10/2012,0.44044,4/10/2012,0.57567,4/10/2012,0.31166,4/10/2012,0.16227,4/10/2012,0.27946,4/10/2012,0.24727,,,4/10/2012,0.42241,4/10/2012,0.23181,4/10/2012,0.04186,,
4/11/2012,0.9466,4/11/2012,3.05231,4/11/2012,0.69933,4/11/2012,0.0528,4/11/2012,0.44304,4/11/2012,0.56023,4/11/2012,0.3091,4/11/2012,0.1597,4/11/2012,0.27175,4/11/2012,0.24212,,,4/11/2012,0.41599,4/11/2012,0.22281,4/11/2012,0.04186,,
4/12/2012,0.94146,4/12/2012,3.08455,4/12/2012,0.64782,4/12/2012,0.05345,4/12/2012,0.45077,4/12/2012,0.57312,4/12/2012,0.30266,4/12/2012,0.1597,4/12/2012,0.27304,4/12/2012,0.24342,,,4/12/2012,0.43274,4/12/2012,0.22796,4/12/2012,0.04186,,
4/13/2012,0.95237,4/13/2012,3.2347,4/13/2012,0.65854,4/13/2012,0.05284,4/13/2012,0.47554,4/13/2012,0.56704,4/13/2012,0.30285,4/13/2012,0.15336,4/13/2012,0.28996,4/13/2012,0.2513,,,4/13/2012,0.43043,4/13/2012,0.23455,4/13/2012,0.04188,,
4/16/2012,0.9693,4/16/2012,3.09995,4/16/2012,0.61741,4/16/2012,0.05285,4/16/2012,0.47563,4/16/2012,0.55812,4/16/2012,0.30291,4/16/2012,0.14952,4/16/2012,0.2797,4/16/2012,0.24748,,,4/16/2012,0.42793,4/16/2012,0.22557,4/16/2012,0.04125,,
4/17/2012,0.9795,4/17/2012,3.00937,4/17/2012,0.57739,4/17/2012,0.05155,4/17/2012,0.4717,4/17/2012,0.55677,4/17/2012,0.30674,4/17/2012,0.15079,4/17/2012,0.28354,4/17/2012,0.2423,,,4/17/2012,0.42531,4/17/2012,0.22812,4/17/2012,0.04124,,
4/18/2012,0.97413,4/18/2012,3.14401,4/18/2012,0.60432,4/18/2012,0.05154,4/18/2012,0.46645,4/18/2012,0.55922,4/18/2012,0.30538,4/18/2012,0.15333,4/18/2012,0.28348,4/18/2012,0.24095,,,4/18/2012,0.42779,4/18/2012,0.22678,4/18/2012,0.03994,,
4/19/2012,0.9687,4/19/2012,3.20752,4/19/2012,0.5771,4/19/2012,0.05024,4/19/2012,0.46503,4/19/2012,0.56293,4/19/2012,0.30529,4/19/2012,0.15329,4/19/2012,0.28468,4/19/2012,0.24089,,,4/19/2012,0.42896,4/19/2012,0.22414,4/19/2012,0.04315,,
4/20/2012,0.95345,4/20/2012,3.11803,4/20/2012,0.56176,4/20/2012,0.05154,4/20/2012,0.47544,4/20/2012,0.56563,4/20/2012,0.29892,4/20/2012,0.1559,4/20/2012,0.27959,4/20/2012,0.24094,,,4/20/2012,0.42905,4/20/2012,0.22032,4/20/2012,0.04316,,
4/23/2012,0.93926,4/23/2012,2.99559,4/23/2012,0.56691,4/23/2012,0.0496,4/23/2012,0.45739,4/23/2012,0.56433,4/23/2012,0.29505,4/23/2012,0.15203,4/23/2012,0.27701,4/23/2012,0.23321,,,4/23/2012,0.42776,4/23/2012,0.21517,4/23/2012,0.04187,,
4/24/2012,0.94718,4/24/2012,3.06061,4/24/2012,0.57604,4/24/2012,0.05026,4/24/2012,0.44975,4/24/2012,0.55671,4/24/2012,0.2964,4/24/2012,0.15206,4/24/2012,0.27707,4/24/2012,0.2281,,,4/24/2012,0.42269,4/24/2012,0.21521,4/24/2012,0.03995,,
4/25/2012,0.94972,4/25/2012,3.06693,4/25/2012,0.59148,4/25/2012,0.04897,4/25/2012,0.44586,4/25/2012,0.54509,4/25/2012,0.29638,4/25/2012,0.15206,4/25/2012,0.27448,4/25/2012,0.22293,,,4/25/2012,0.42782,4/25/2012,0.23066,4/25/2012,0.04059,,
4/26/2012,0.964,4/26/2012,3.06729,4/26/2012,0.57866,4/26/2012,0.04962,4/26/2012,0.45107,4/26/2012,0.54773,4/26/2012,0.30157,4/26/2012,0.15465,4/26/2012,0.27709,4/26/2012,0.23456,,,4/26/2012,0.42401,4/26/2012,0.22811,4/26/2012,0.03995,,
4/27/2012,0.93951,4/27/2012,2.94482,4/27/2012,0.48715,4/27/2012,0.04962,4/27/2012,0.4588,4/27/2012,0.55159,4/27/2012,0.30028,4/27/2012,0.15336,4/27/2012,0.27322,4/27/2012,0.22296,,,4/27/2012,0.42271,4/27/2012,0.22167,4/27/2012,0.03995,,
4/30/2012,0.96156,4/30/2012,2.95172,4/30/2012,0.47434,4/30/2012,0.04962,4/30/2012,0.46145,4/30/2012,0.55554,4/30/2012,0.30162,4/30/2012,0.1521,4/30/2012,0.2797,4/30/2012,0.22299,,,4/30/2012,0.42536,4/30/2012,0.23201,4/30/2012,0.03996,,
5/2/2012,0.9629,5/2/2012,2.99698,5/2/2012,0.47178,5/2/2012,0.05092,5/2/2012,0.46921,5/2/2012,0.57233,5/2/2012,0.30034,5/2/2012,0.15597,5/2/2012,0.27843,5/2/2012,0.22558,,,5/2/2012,0.42796,5/2/2012,0.22558,5/2/2012,0.04125,,
5/3/2012,0.95369,5/3/2012,2.97707,5/3/2012,0.48587,5/3/2012,0.05026,5/3/2012,0.46525,5/3/2012,0.56706,5/3/2012,0.30028,5/3/2012,0.15465,5/3/2012,0.28095,5/3/2012,0.22554,,,5/3/2012,0.42916,5/3/2012,0.22296,5/3/2012,0.04124,,
5/4/2012,0.98691,5/4/2012,2.90533,5/4/2012,0.47928,5/4/2012,0.05025,5/4/2012,0.46511,5/4/2012,0.56174,5/4/2012,0.29762,5/4/2012,0.15203,5/4/2012,0.27829,5/4/2012,0.2216,,,5/4/2012,0.42775,5/4/2012,0.22547,5/4/2012,0.04123,,
5/7/2012,0.96112,5/7/2012,2.76353,5/7/2012,0.45093,5/7/2012,0.0496,5/7/2012,0.44577,5/7/2012,0.554,5/7/2012,0.28473,5/7/2012,0.14558,5/7/2012,0.26927,5/7/2012,0.21,,,5/7/2012,0.42645,5/7/2012,0.22546,5/7/2012,0.04123,,
5/8/2012,0.92634,5/8/2012,2.92462,5/8/2012,0.45737,5/8/2012,0.0496,5/8/2012,0.43547,5/8/2012,0.554,5/8/2012,0.28215,5/8/2012,0.1443,5/8/2012,0.26025,5/8/2012,0.20614,,,5/8/2012,0.42516,5/8/2012,0.2216,5/8/2012,0.03994,,
5/9/2012,0.89649,5/9/2012,3.05915,5/9/2012,0.44181,5/9/2012,0.04766,5/9/2012,0.42892,5/9/2012,0.54227,5/9/2012,0.27693,5/9/2012,0.13782,5/9/2012,0.26276,5/9/2012,0.1945,,,5/9/2012,0.41476,5/9/2012,0.21897,5/9/2012,0.03993,,
5/10/2012,0.91965,5/10/2012,3.08483,5/10/2012,0.44437,5/10/2012,0.0483,5/10/2012,0.42763,5/10/2012,0.52938,5/10/2012,0.27306,5/10/2012,0.13653,5/10/2012,0.26018,5/10/2012,0.19449,,,5/10/2012,0.40702,5/10/2012,0.21768,5/10/2012,0.03993,,
5/11/2012,0.92849,5/11/2012,3.10355,5/11/2012,0.45587,5/11/2012,0.04894,5/11/2012,0.41467,5/11/2012,0.52541,5/11/2012,0.26142,5/11/2012,0.1365,5/11/2012,0.26399,5/11/2012,0.18158,,,5/11/2012,0.39921,5/11/2012,0.21763,5/11/2012,0.03799,,
5/14/2012,0.88595,5/14/2012,3.02613,5/14/2012,0.44941,5/14/2012,0.04958,5/14/2012,0.39919,5/14/2012,0.52667,5/14/2012,0.26012,5/14/2012,0.13392,5/14/2012,0.26141,5/14/2012,0.1777,,,5/14/2012,0.39919,5/14/2012,0.21376,5/14/2012,0.04185,,
5/15/2012,0.88182,5/15/2012,3.10247,5/15/2012,0.44284,5/15/2012,0.04763,5/15/2012,0.39779,5/15/2012,0.53038,5/15/2012,0.27034,5/15/2012,0.13388,5/15/2012,0.26262,5/15/2012,0.1828,,,5/15/2012,0.40551,5/15/2012,0.2137,5/15/2012,0.03862,,
5/16/2012,0.84193,5/16/2012,2.94159,5/16/2012,0.43255,5/16/2012,0.04248,5/16/2012,0.38878,5/16/2012,0.52266,5/16/2012,0.25618,5/16/2012,0.13131,5/16/2012,0.26004,5/16/2012,0.17122,,,5/16/2012,0.40165,5/16/2012,0.20855,5/16/2012,0.03862,,
5/17/2012,0.8508,5/17/2012,2.93467,5/17/2012,0.43634,5/17/2012,0.04312,5/17/2012,0.39901,5/17/2012,0.52515,5/17/2012,0.25743,5/17/2012,0.13515,5/17/2012,0.26129,5/17/2012,0.17376,,,5/17/2012,0.40159,5/17/2012,0.2098,5/17/2012,0.04054,,
5/18/2012,0.84083,5/18/2012,2.99378,5/18/2012,0.43394,5/18/2012,0.04442,5/18/2012,0.38629,5/18/2012,0.53051,5/18/2012,0.26139,5/18/2012,0.13392,5/18/2012,0.25753,5/18/2012,0.17383,,,5/18/2012,0.39273,5/18/2012,0.20602,5/18/2012,0.04056,,
5/21/2012,0.83832,5/21/2012,2.99401,5/21/2012,0.452,5/21/2012,0.04507,5/21/2012,0.38632,5/21/2012,0.53184,5/21/2012,0.25497,5/21/2012,0.1365,5/21/2012,0.25626,5/21/2012,0.17385,,,5/21/2012,0.40049,5/21/2012,0.20475,5/21/2012,0.04056,,
5/22/2012,0.88605,5/22/2012,3.11663,5/22/2012,0.44946,5/22/2012,0.04379,5/22/2012,0.39537,5/22/2012,0.54605,5/22/2012,0.25371,5/22/2012,0.14424,5/22/2012,0.25371,5/22/2012,0.17773,,,5/22/2012,0.39409,5/22/2012,0.20219,5/22/2012,0.0425,,
5/23/2012,0.87318,5/23/2012,3.15531,5/23/2012,0.44303,5/23/2012,0.04314,5/23/2012,0.39152,5/23/2012,0.5422,5/23/2012,0.25371,5/23/2012,0.1378,5/23/2012,0.25114,5/23/2012,0.17386,,,5/23/2012,0.39152,5/23/2012,0.20349,5/23/2012,0.0425,,
5/24/2012,0.86684,5/24/2012,3.06551,5/24/2012,0.42505,5/24/2012,0.04057,5/24/2012,0.40058,5/24/2012,0.54097,5/24/2012,0.25761,5/24/2012,0.1404,5/24/2012,0.24988,5/24/2012,0.17388,,,5/24/2012,0.39414,5/24/2012,0.20351,5/24/2012,0.04122,,
5/25/2012,0.84891,5/25/2012,3.0401,5/25/2012,0.41351,5/25/2012,0.03929,5/25/2012,0.43927,5/25/2012,0.52815,5/25/2012,0.26279,5/25/2012,0.14041,5/25/2012,0.24733,5/25/2012,0.16746,,,5/25/2012,0.39289,5/25/2012,0.20482,5/25/2012,0.04122,,
5/28/2012,0.82444,5/28/2012,3.07235,5/28/2012,0.42124,5/28/2012,0.03929,5/28/2012,0.44572,5/28/2012,0.52816,5/28/2012,0.26408,5/28/2012,0.15201,5/28/2012,0.2396,5/28/2012,0.16618,,,5/28/2012,0.39934,5/28/2012,0.19967,5/28/2012,0.03929,,
5/29/2012,0.85909,5/29/2012,3.17491,5/29/2012,0.43405,5/29/2012,0.04057,5/29/2012,0.45209,5/29/2012,0.53323,5/29/2012,0.27048,5/29/2012,0.15714,5/29/2012,0.24858,5/29/2012,0.17517,,,5/29/2012,0.39928,5/29/2012,0.20608,5/29/2012,0.03928,,
5/30/2012,0.84616,5/30/2012,3.20046,5/30/2012,0.41728,5/30/2012,0.03864,5/30/2012,0.45077,5/30/2012,0.52804,5/30/2012,0.2666,5/30/2012,0.15584,5/30/2012,0.24986,5/30/2012,0.17,,,5/30/2012,0.39925,5/30/2012,0.20091,5/30/2012,0.03993,,
5/31/2012,0.85034,5/31/2012,3.15657,5/31/2012,0.40842,5/31/2012,0.0335,5/31/2012,0.4664,5/31/2012,0.53984,5/31/2012,0.26412,5/31/2012,0.15718,5/31/2012,0.25768,5/31/2012,0.1662,,,5/31/2012,0.38136,5/31/2012,0.20614,5/31/2012,0.03994,,
6/1/2012,0.86974,6/1/2012,3.06665,6/1/2012,0.40202,6/1/2012,0.03196,6/1/2012,0.46129,6/1/2012,0.52958,6/1/2012,0.26543,6/1/2012,0.15333,6/1/2012,0.2577,6/1/2012,0.15978,,,6/1/2012,0.38526,6/1/2012,0.20101,6/1/2012,0.04059,,
6/4/2012,0.84035,6/4/2012,2.89997,6/4/2012,0.38924,6/4/2012,0.03209,6/4/2012,0.44466,6/4/2012,0.51297,6/4/2012,0.25906,6/4/2012,0.14564,6/4/2012,0.25262,6/4/2012,0.15467,,,6/4/2012,0.37893,6/4/2012,0.19462,6/4/2012,0.03996,,
6/5/2012,0.84158,6/5/2012,2.99644,6/5/2012,0.39308,6/5/2012,0.03183,6/5/2012,0.44721,6/5/2012,0.51294,6/5/2012,0.26807,6/5/2012,0.14821,6/5/2012,0.2526,6/5/2012,0.15466,,,6/5/2012,0.36859,6/5/2012,0.19719,6/5/2012,0.0406,,
6/6/2012,0.86231,6/6/2012,3.00327,6/6/2012,0.39313,6/6/2012,0.03287,6/6/2012,0.44985,6/6/2012,0.52203,6/6/2012,0.26424,6/6/2012,0.15339,6/6/2012,0.25264,6/6/2012,0.15339,,,6/6/2012,0.36864,6/6/2012,0.19205,6/6/2012,0.0406,,
6/7/2012,0.88939,6/7/2012,3.0871,6/7/2012,0.397,6/7/2012,0.03287,6/7/2012,0.45759,6/7/2012,0.5143,6/7/2012,0.26037,6/7/2012,0.15339,6/7/2012,0.25264,6/7/2012,0.15339,,,6/7/2012,0.37896,6/7/2012,0.19335,6/7/2012,0.0406,,
6/8/2012,0.88294,6/8/2012,3.08706,6/8/2012,0.38927,6/8/2012,0.03222,6/8/2012,0.44727,6/8/2012,0.51301,6/8/2012,0.26295,6/8/2012,0.15081,6/8/2012,0.25006,6/8/2012,0.15339,,,6/8/2012,0.38024,6/8/2012,0.19334,6/8/2012,0.04125,,
6/11/2012,0.89946,6/11/2012,3.0927,6/11/2012,0.40334,6/11/2012,0.0335,6/11/2012,0.46777,6/11/2012,0.51158,6/11/2012,0.26675,6/11/2012,0.15335,6/11/2012,0.25257,6/11/2012,0.15721,,,6/11/2012,0.36726,6/11/2012,0.19587,6/11/2012,0.04059,,
6/12/2012,0.92015,6/12/2012,3.09939,6/12/2012,0.41755,6/12/2012,0.03415,6/12/2012,0.45879,6/12/2012,0.5142,6/12/2012,0.2513,6/12/2012,0.15594,6/12/2012,0.2513,6/12/2012,0.16753,,,6/12/2012,0.36213,6/12/2012,0.19331,6/12/2012,0.04059,,
6/13/2012,0.93323,6/13/2012,3.08714,6/13/2012,0.4215,6/13/2012,0.03287,6/13/2012,0.46533,6/13/2012,0.51302,6/13/2012,0.24878,6/13/2012,0.15339,6/13/2012,0.25135,6/13/2012,0.17015,,,6/13/2012,0.36736,6/13/2012,0.19722,6/13/2012,0.04125,,
