,p.zoo,c.zoo,m.zoo,s.zoo
2/21/2012,-0.786078089,0.213408881,-0.220450049,0.393382644
2/22/2012,1.081258672,1.182956845,0.691480252,0.874980871
2/23/2012,0.750198167,-0.667998358,0.2929897,0.452990401
2/24/2012,0.074669256,2.610836573,0.369622499,-0.378894978
2/27/2012,0.435137424,-1.320239715,-0.15148053,-0.47485483
2/28/2012,-0.58181944,-0.368319897,0.660827132,-0.598642976
2/29/2012,0.194941613,1.482635306,-0.036531333,-0.722463828
3/1/2012,-0.345411735,-0.103897725,-0.16680709,0.382072086
3/2/2012,-0.588299094,1.465007161,0.507561536,1.153917957
3/5/2012,-0.533321718,-0.579857634,-0.657256999,0.651419075
3/6/2012,-0.722727005,-1.478893018,-0.526981242,-0.265828641
3/7/2012,0.016551739,0.407318474,-0.534644522,1.194227768
3/8/2012,1.013321986,0.989047252,1.496124634,0.770183213
3/9/2012,1.113308041,1.905710781,1.22024656,-0.426708092
3/12/2012,0.371487279,-0.5269732,-0.350725806,0.389352972
3/13/2012,-0.164081094,1.482635306,0.024774906,-0.706240471
3/14/2012,1.850692732,1.641288609,1.128287202,0.646218443
3/15/2012,0.810558642,-0.368319897,0.507561536,-0.190841403
3/16/2012,-0.101976097,-0.333063607,0.001785067,-0.058287411
3/19/2012,0.178941851,-0.209666594,0.047764746,1.194515602
3/21/2012,-1.500335398,-0.650370213,-0.465675003,-1.653429441
3/22/2012,0.703245593,-1.866712204,0.262336581,-0.015177762
3/23/2012,-1.35155256,-0.438832476,-0.917808513,0.783364691
3/26/2012,1.178353804,0.971419107,0.009448347,-0.37913702
3/27/2012,0.978331852,0.706996935,1.764339428,-1.065764471
3/28/2012,-0.101627192,-0.597485779,-0.588287481,-1.062617925
3/29/2012,-0.93889825,-0.96767682,-0.557634361,-0.776903661
3/30/2012,0.181483869,0.848022094,-0.281756287,-0.442355782
4/2/2012,0.915927794,-1.708058901,0.155050663,0.605365673
4/3/2012,0.065149148,1.535519741,-0.496328123,-0.531335666
4/5/2012,-0.556798004,-0.227294738,-0.450348444,0.617768692
4/10/2012,0.255501462,-1.813827769,-0.113164131,0.767311417
4/11/2012,0.014059564,0.389690329,-0.680246839,-1.287631973
4/12/2012,-0.225338751,0.037127433,0.492234976,0.268181498
4/13/2012,-0.346109544,0.054755578,0.867735688,1.537266744
4/16/2012,-1.254158367,-1.161586412,-1.377605303,-0.772317945
