"","ann.ret.36","ann.std.36","downrisk.36","drawdown.36","sharpe.36","sortino.36","info_ratio.36","omega.36","wl.36","skewness.36","kurtosis.36"
"DORSCAP.US.Equity",0.0974454657925621,0.0450535131551253,0.0067061331795769,-0.038,0.219986831814049,1.17222710921573,1.25098013101111,4.87671232876712,0.694444444444444,-0.905410001617327,2.71532505698113
"DOVDOAD.US.Equity",0.0513433027133277,0.185336304541822,0.0324924692129662,-0.27463514783073,0.0103682554300589,0.170954142814286,-0.092599860200427,1.32336675291074,0.527777777777778,0.307083266111107,0.0215628091096587
"DUNLCAP.US.Equity",0.0246158388129902,0.137591481948418,0.0267794178843048,-0.201259727719141,-0.0554587097233985,0.104454183220377,-0.657718351016519,1.18483847283407,0.583333333333333,-0.145463567481993,-0.757835928059369
"DUNWPAR.US.Equity",0.0345461235707156,0.0552016242214458,0.0108637984507159,-0.119781375396765,-0.128111510250749,0.272326480781226,0.141394388958025,1.64550655773473,0.583333333333333,-0.874027183124805,1.20857087318183
"ECOSTCP.US.Equity",0.0657545332590106,0.0722923267241446,0.0128163740755506,-0.0896035935999999,0.0255549201426508,0.431737207648401,0.546872505855501,2.0364151925078,0.694444444444444,-0.54672238443404,1.14127708201645
"EHPADVA.CN.Equity",0.0673127858924769,0.0867138283041517,0.0156459155142094,-0.0981394865381477,0.0299370851354973,0.367468997494418,0.260129390044432,1.819870708095,0.611111111111111,-0.561533108778749,0.797005983322416
"EINEIAD.US.Equity",0.0390200267415233,0.187687031092543,0.0335197412811548,-0.256831332614657,-0.00726941495743099,0.137415705278087,-0.152941442200016,1.25921682038456,0.5,0.288493006643868,0.179888114892419
"EJFFINS.US.Equity",0.116603874929822,0.131136431681992,0.0218770745048073,-0.129818659549,0.130098861435592,0.453671262024503,0.84349189655975,1.95356285028022,0.638888888888889,-0.0209760771761433,0.718209906858962
"ELIZAPC.US.Equity",0.123959860602985,0.115633613019085,0.0184377075890385,-0.11957030923,0.15944248877849,0.559846050705052,1.10468811850527,2.24323600948815,0.694444444444444,0.0337005882440149,0.374431163496436
"ENGNCAP.US.Equity",0.0912787546201919,0.109386913024321,0.0166774398623143,-0.1323343792,0.0881452970833234,0.466701661234999,0.639770821969166,1.88587697084088,0.611111111111111,0.396011720590135,0.200026302723652
"EXCINVA.US.Equity",0.00635782418909026,0.031802406318061,0.00683290649073373,-0.0676340669550987,-0.482601678076205,0.0833385390560638,-0.299916518940626,1.18585675430644,0.555555555555556,-0.850712265482092,0.941715895808223
"EXCQUAL.US.Equity",-0.000417861205049164,0.0325574349638999,0.00724001227746043,-0.0739620347809701,-0.531111882167698,0.00115101093948095,-0.38258257249833,1.00234009360374,0.527777777777778,-0.816942738990634,0.785172565099926
"FATPITC.US.Equity",-0.00433905758942277,0.171324341592337,0.0358819722644023,-0.323096945572275,-0.0840251610082545,0.0235316248752798,-0.607132400451632,1.04361100310903,0.527777777777778,-0.393362458952957,-0.161291224258586
"FISHENI.US.Equity",-0.00727948734209649,0.0689327355788995,0.0154180731754796,-0.13647686195339,-0.272095424802202,-0.0268822321378903,-0.80531135521958,0.943473352426846,0.694444444444444,-0.596402771320614,0.506258066597546
"FOFIPAR.US.Equity",0.142623206687184,0.151675806109767,0.0190373985734513,-0.1180072,0.161350160504759,0.633737964547696,0.835660149694141,2.16461092937202,0.583333333333333,1.24152846680286,2.58782374177771
"FONTAFE.MV.Equity",0.00358651839266511,0.0263607196411631,0.00494426908989927,-0.0447147840123612,-0.614151628587026,0.0660360498313112,-0.0577725347982175,1.11450113975101,0.5,0.201014925755151,-0.298251630489803
"GASAX.US.Equity",0.00116919901589574,0.0337481326467533,0.00720778030633873,-0.0738599645254844,-0.498481866233441,0.0199321650439764,-0.566597286418828,1.04178516028956,0.527777777777778,-0.50303243705259,0.370543254463386
"GCPGCFF.KY.Equity",0.132852483401991,0.0807704061778405,0.00894713339257018,-0.0424896,0.24471084090004,1.19655953566849,1.51630886225297,4.23469970121194,0.75,1.31220421141814,3.54600260068755
"HA4EAG1.US.Equity",0.048697498484912,0.242662022822102,0.0427352541576234,-0.233629398451184,0.01864131563107,0.147555769999053,0.0802149918762522,1.35089753161417,0.527777777777778,0.781139446665829,6.99686338953841
"HAAHAUS.US.Equity",0.0365579902608517,0.073066370987258,0.0121017675476675,-0.0727491916564702,-0.0848078826201456,0.265349208848701,-0.275231227226262,1.44842125678821,0.555555555555556,0.365607850385079,-0.398143395149029
"HALFMCP.US.Equity",0.0487546559979393,0.0741744415128476,0.0112690851127222,-0.0434030122272113,-0.0375757251105175,0.37229434552147,0.115858285632932,1.70580400953316,0.472222222222222,0.477491086262796,0.130376125041948
"HARBOUR.BH.Equity",0.0353979562316453,0.133518047017408,0.0258794648922869,-0.244185624408943,-0.0355941301344437,0.14019159006702,-0.203885744251662,1.27523011176857,0.611111111111111,-0.23070461917649,-0.0229057312210359
"HARSMCP.US.Equity",0.137539694973087,0.0998953447602134,0.0149968515214213,-0.0977388320047362,0.214902982325137,0.746638199773351,1.70028889937412,2.86275415896488,0.75,-0.0149408417316962,0.59660722252805
"HARVQPL.US.Equity",0.035900833347555,0.0610507925254904,0.0116880431020576,-0.129705322192938,-0.108090609127429,0.264802905905859,0.516681496655512,1.52783146684858,0.638888888888889,-0.493469813303339,-0.71622980674021
"HASMCAP.US.Equity",0.0253479976497948,0.061377996514262,0.0119882875908576,-0.126775741349318,-0.155703726475177,0.18694867198161,0.292325097918746,1.35527051602136,0.611111111111111,-0.398982936526984,-0.868995081725775
"HESTIAC.US.Equity",0.0918511847631918,0.216047520260838,0.0331918160102088,-0.241547872555036,0.0664528300376001,0.275504660461706,0.207013415134657,1.52824623955789,0.527777777777778,1.31457118678071,4.49817822405881
"HILSCPEQ.CN.Equity",0.028774845803792,0.124007889067937,0.0235415931420681,-0.196452857547698,-0.056167020500509,0.126980927556321,-0.352492943556514,1.25350161830594,0.5,-0.0117840879872354,0.676488158017889
