"","ann.ret.incep","ann.std.incep","downrisk.incep","drawdown.incep","sharpe.incep","sortino.incep","omega.incep","wl.incep","skewness.incep","kurtosis.incep"
"X601299.CH.Equity",0.529646186087051,0.555550280536721,0.0303385096042698,-0.605050125060963,0.0738540437857469,0.352350420317754,0.622346666743287,0.476987447698745,4.24185286603814,29.6243596344577
"X601318.CH.Equity",0.13748664973549,0.313946901046853,0.0270089150405665,-0.488113798452211,-0.0363915670782503,0.126463237280376,0.553161213263744,0.480337078651685,0.386759950070345,2.00446669383634
"X601328.CH.Equity",0.0607020900487256,0.291350996713614,0.0234616855920175,-0.419573527592555,-0.0762450755576692,0.0818126016962144,0.536065323968695,0.475274725274725,1.50388512443592,7.54233191131144
"X601336.CH.Equity",0.165267595855181,0.441735440982199,0.0372634701419196,-0.473487649021131,-0.00375329958460475,0.128009590682688,0.553979093320509,0.50709219858156,0.708878471062157,3.02791270530276
"X601390.CH.Equity",0.122928828822574,0.483011063662609,0.0354971346961712,-0.707799900046501,-0.0105861951791452,0.120880739423895,0.554414433362827,0.480662983425414,2.32455111459647,12.7889735197749
"X601398.CH.Equity",0.0972937481846647,0.216599618632879,0.0185148733061074,-0.276174215755826,-0.0922112956882171,0.12045735935536,0.556907236267109,0.505494505494505,0.821867673751157,6.04194665152432
"X601600.CH.Equity",-0.0826340337680297,0.379937895096654,0.0357330886074982,-0.768986651165192,-0.100220936746665,-0.00784794512899937,0.496286967637251,0.491758241758242,0.359402056509656,2.66630760657104
"X601601.CH.Equity",0.0761487230294748,0.330043220841952,0.0291158696792886,-0.411525068122444,-0.0557907301037984,0.0840272847583115,0.535231135389699,0.494505494505495,0.357595682883772,0.857101854251831
"X601618.CH.Equity",0.0495611613459541,0.44757528904773,0.0363637186955968,-0.669414189114161,-0.036051178839582,0.0759656231329763,0.537197979951849,0.461318051575931,1.56217841977246,10.2303368545717
"X601628.CH.Equity",0.0309614018402564,0.369417474513101,0.0304198406841653,-0.511941945133636,-0.0615932524108583,0.0606393744478193,0.52545620877269,0.461538461538462,1.3897324767039,6.89875378732594
"X601633.CH.Equity",0.255330746775084,0.390814539461142,0.0359159370170619,-0.562688140991416,0.015760056838218,0.162995485553929,0.571621702773148,0.535593220338983,-0.151492685419425,1.40161017990401
"X601668.CH.Equity",0.197497959655639,0.361924760951279,0.0290712123924516,-0.520826969027796,-0.0062270049440577,0.161240851247887,0.567335725720254,0.472527472527473,1.10086979834185,5.45670736274167
"X601669.CH.Equity",0.134331774430667,0.514850007357924,0.041475460408553,-0.694838006201577,-0.00253766320715512,0.116184818519482,0.552855875445879,0.514492753623188,1.72017007574913,11.1472128877694
"X601688.CH.Equity",0.0657981576781033,0.463398343409035,0.0364053802919823,-0.585376476075847,-0.0286358798066187,0.0867950598837812,0.536506003036815,0.479338842975207,1.83991302352003,10.1802758080449
"X601727.CH.Equity",0.0225313310562056,0.404551168298112,0.0371274243391534,-0.700507783901463,-0.0536856627586043,0.0535499687678695,0.526820636446653,0.504702194357367,0.448573208923381,5.93992818833064
"X601766.CH.Equity",0.135257209772156,0.515926556832428,0.0350912668734204,-0.749096486587841,-0.00455662063746653,0.13319528748193,0.555856055400395,0.459770114942529,3.73548824693492,29.0826020866378
"X601800.CH.Equity",0.224386190086216,0.538936015982148,0.0387355177688319,-0.530478519595209,0.0194411273934156,0.166590547663361,0.569514762903049,0.483754512635379,2.11567335594623,10.2976547393888
"X601808.CH.Equity",0.00355624158081791,0.385006760134571,0.03487712256383,-0.652153745425681,-0.0660842155790668,0.0421969670380738,0.519175177640874,0.505494505494505,0.503527244051061,2.46812938003348
"X601818.CH.Equity",0.0617289687303824,0.332563850070058,0.0256991833952679,-0.466698841759711,-0.0616145611479277,0.0839886872967154,0.537173034167036,0.443502824858757,2.00963157877985,11.0977524361967
"X601857.CH.Equity",-0.0129536523620059,0.240811836499834,0.0223973833788633,-0.473926702622126,-0.140687050128996,0.0134753770879331,0.507170793604378,0.475274725274725,0.602868218303982,11.2643752496036
"X601888.CH.Equity",0.185212017828157,0.361154176665998,0.0314444474630253,-0.430437689146412,-0.00989409956011311,0.143251780560475,0.562802746531782,0.541076487252125,0.533145611241707,3.32363966988706
"X601898.CH.Equity",-0.0402169139204057,0.362233870048967,0.0347986782649717,-0.663763432889117,-0.0899609773958314,0.0138226009073001,0.507058543983961,0.491758241758242,0.0161088573423025,5.39360174585299
"X601899.CH.Equity",-0.00965035050399499,0.363702773042888,0.0308038451963477,-0.659489373911526,-0.0785575262958818,0.0336916812403792,0.515850728746609,0.441666666666667,1.35679925318094,8.26450388825116
"X601901.CH.Equity",0.0782549713664853,0.495369469147425,0.039147401775428,-0.604607825272494,-0.0196201862160299,0.0932931326205009,0.539752089433894,0.484098939929329,1.77261991663618,8.62128642273776
"X601939.CH.Equity",0.115291136274822,0.243275321283285,0.0199467401020749,-0.351123205259496,-0.0695271794751521,0.133075177416349,0.558741533545819,0.479338842975207,1.15852358737222,6.20224695612153
"X601988.CH.Equity",0.0725898788419268,0.240503522176799,0.0201044988113617,-0.430379959315089,-0.0932579547920749,0.0939926850157492,0.54458785267175,0.472527472527473,1.26990197754606,8.90192493738908
"X601989.CH.Equity",0.0498890231944205,0.445984611783546,0.0397147302688852,-0.677300360767978,-0.0350465894579557,0.071320533676012,0.532801942406774,0.481818181818182,0.451477566903941,5.6153553671195
"X601998.CH.Equity",0.0650585690449574,0.357138630224359,0.0289489003674797,-0.437755806776029,-0.0528099696869347,0.0823700364349825,0.536086341200575,0.480769230769231,1.56408078300396,8.85826741782206
"X603288.CH.Equity",0.22365444733952,0.331108224781262,0.028080690184966,-0.310560975753236,-0.00179564054784681,0.175122140139936,0.578595833646104,0.52247191011236,0.769180503990524,7.18757188031852
"SHCSI100.Index",0.0513028253078702,0.230830238505232,0.0210144430971015,-0.4083690133063,-0.110236341350013,0.0700133333057082,0.531462410189227,0.516483516483517,0.252248778836919,2.42425150437555
