,939 HK Equity,,3988 HK Equity,,2628 HK Equity,,3328 HK Equity,,2318 HK Equity,,998 HK Equity,,2328 HK Equity,,2007 HK Equity,,960 HK Equity,,2777 HK Equity,,410 HK Equity,,3618 HK Equity,,3900 HK Equity,,3377 HK Equity,,272 HK Equity,,1918 HK Equity,,588 HK Equity,,1387 HK Equity,,1638 HK Equity,,337 HK Equity,,1777 HK Equity,,2868 HK Equity,,1238 HK Equity,,832 HK Equity,,3883 HK Equity,,2118 HK Equity,,8207 HK Equity,,733 HK Equity,,
2/15/2012,0.83316,2/15/2012,0.4334,2/15/2012,2.97926,2/15/2012,0.7996,2/15/2012,8.57021,2/15/2012,0.6449,2/15/2012,1.3830,2/15/2012,0.42413,,,2/15/2012,1.1582,2/15/2012,0.68355,,,2/15/2012,0.59585,2/15/2012,0.5585,2/15/2012,0.3459,,,2/15/2012,0.19862,7/31/2012,0.0413,,,2/15/2012,0.20378,,,2/15/2012,0.27729,,,3/19/2012,0.24605,2/15/2012,0.1341,,,,,2/15/2012,0.2386,,
2/16/2012,0.82409,2/16/2012,0.4269,2/16/2012,2.94042,2/16/2012,0.8073,2/16/2012,8.38277,2/16/2012,0.6345,2/16/2012,1.3459,2/16/2012,0.4155,,,2/16/2012,1.1542,2/16/2012,0.67449,,,2/16/2012,0.61904,2/16/2012,0.5507,2/16/2012,0.3495,,,2/16/2012,0.19474,8/1/2012,0.0400,,,2/16/2012,0.19861,,,2/16/2012,0.28501,,,3/20/2012,0.2383,2/16/2012,0.1328,,,,,2/16/2012,0.23214,,
2/17/2012,0.8344,2/17/2012,0.4320,2/17/2012,3.04355,2/17/2012,0.8280,2/17/2012,8.51807,2/17/2012,0.6397,2/17/2012,1.3558,2/17/2012,0.4241,,,2/17/2012,1.1903,2/17/2012,0.70156,,,2/17/2012,0.66159,2/17/2012,0.5726,2/17/2012,0.3542,,,2/17/2012,0.19603,8/2/2012,0.0406,,,2/17/2012,0.20247,,,2/17/2012,0.28759,,,3/21/2012,0.24083,2/17/2012,0.1341,,,,,2/17/2012,0.22956,,
2/20/2012,0.8434,2/20/2012,0.4320,2/20/2012,3.07571,2/20/2012,0.8228,2/20/2012,8.60813,2/20/2012,0.6435,2/20/2012,1.3680,2/20/2012,0.44867,,,2/20/2012,1.2187,2/20/2012,0.70155,,,2/20/2012,0.7067,2/20/2012,0.5777,2/20/2012,0.3578,,,2/20/2012,0.20634,8/3/2012,0.0419,,,2/20/2012,0.20763,,,2/20/2012,0.29274,,,3/22/2012,0.23693,2/20/2012,0.1354,,,,,2/20/2012,0.23987,,
2/21/2012,0.84858,2/21/2012,0.4359,2/21/2012,3.0629,2/21/2012,0.8125,2/21/2012,8.65993,2/21/2012,0.6513,2/21/2012,1.3607,2/21/2012,0.44991,,,2/21/2012,1.2252,2/21/2012,0.69383,,,2/21/2012,0.70027,2/21/2012,0.5803,2/21/2012,0.3530,,,2/21/2012,0.20505,8/6/2012,0.0400,,,2/21/2012,0.21924,,,2/21/2012,0.28888,,,3/23/2012,0.23429,2/21/2012,0.1354,,,,,2/21/2012,0.23729,,
2/22/2012,0.84979,2/22/2012,0.4371,2/22/2012,3.1335,2/22/2012,0.8201,2/22/2012,8.81378,2/22/2012,0.6538,2/22/2012,1.3729,2/22/2012,0.45233,,,2/22/2012,1.2921,2/22/2012,0.73244,,,2/22/2012,0.79821,2/22/2012,0.6074,2/22/2012,0.3874,,,2/22/2012,0.21793,8/7/2012,0.0419,,,2/22/2012,0.25016,,,2/22/2012,0.29788,,,3/26/2012,0.23042,2/22/2012,0.1444,,,,,2/22/2012,0.27853,,
2/23/2012,0.83934,2/23/2012,0.4319,2/23/2012,3.13946,2/23/2012,0.8071,2/23/2012,8.69638,2/23/2012,0.6511,2/23/2012,1.3480,2/23/2012,0.43382,,,2/23/2012,1.2996,2/23/2012,0.72846,,,2/23/2012,0.79937,2/23/2012,0.6008,2/23/2012,0.3874,,,2/23/2012,0.21403,8/8/2012,0.0406,,,2/23/2012,0.24755,,,2/23/2012,0.29525,,,3/27/2012,0.23568,2/23/2012,0.1444,,,,,2/23/2012,0.2656,,
2/24/2012,0.83698,2/24/2012,0.4307,2/24/2012,3.12093,2/24/2012,0.7983,2/24/2012,8.66638,2/24/2012,0.6513,2/24/2012,1.3459,2/24/2012,0.44131,,,2/24/2012,1.3154,2/24/2012,0.72736,,,2/24/2012,0.80216,2/24/2012,0.6061,2/24/2012,0.4101,,,2/24/2012,0.22053,8/9/2012,0.0426,,,2/24/2012,0.26438,,,2/24/2012,0.30307,,,3/28/2012,0.22797,2/24/2012,0.1457,,,,,2/24/2012,0.27469,,
2/27/2012,0.82268,2/27/2012,0.4242,2/27/2012,3.03026,2/27/2012,0.7814,2/27/2012,8.51053,2/27/2012,0.6473,2/27/2012,1.3014,2/27/2012,0.43511,,,2/27/2012,1.3256,2/27/2012,0.71566,,,2/27/2012,0.78916,2/27/2012,0.5893,2/27/2012,0.4017,,,2/27/2012,0.21405,8/10/2012,0.0413,,,2/27/2012,0.26305,,,2/27/2012,0.30045,,,3/29/2012,0.22797,2/27/2012,0.1431,,,,,2/27/2012,0.26047,,
2/28/2012,0.83815,2/28/2012,0.4333,2/28/2012,3.08825,2/28/2012,0.8162,2/28/2012,8.62002,2/28/2012,0.6550,2/28/2012,1.3161,2/28/2012,0.44985,,,2/28/2012,1.3256,2/28/2012,0.72468,,,2/28/2012,0.77754,2/28/2012,0.5970,2/28/2012,0.4088,,,2/28/2012,0.21534,8/13/2012,0.0406,,,2/28/2012,0.25015,,,2/28/2012,0.30044,,,3/30/2012,0.23827,2/28/2012,0.1406,,,,,2/28/2012,0.2695,,
2/29/2012,0.84068,2/29/2012,0.4358,2/29/2012,3.12033,2/29/2012,0.8265,2/29/2012,8.74852,2/29/2012,0.6576,2/29/2012,1.3481,2/29/2012,0.43139,,,2/29/2012,1.3203,2/29/2012,0.7298,,,2/29/2012,0.76074,2/29/2012,0.5815,2/29/2012,0.3993,,,2/29/2012,0.21404,8/14/2012,0.0406,,,2/29/2012,0.23854,,,2/29/2012,0.30301,,,4/2/2012,0.24209,2/29/2012,0.1444,,,,,2/29/2012,0.26433,,
3/1/2012,0.83557,3/1/2012,0.4281,3/1/2012,3.05601,3/1/2012,0.8033,3/1/2012,8.47818,3/1/2012,0.6486,3/1/2012,1.3556,3/1/2012,0.39331,,,3/1/2012,1.2147,3/1/2012,0.70404,,,3/1/2012,0.70146,3/1/2012,0.5390,3/1/2012,0.3862,,,3/1/2012,0.2076,8/15/2012,0.0413,,,3/1/2012,0.22437,,,3/1/2012,0.29013,,,4/3/2012,0.23955,3/1/2012,0.1367,,,,,3/1/2012,0.24113,,
3/2/2012,0.84549,3/2/2012,0.4331,3/2/2012,3.09971,3/2/2012,0.8197,3/2/2012,8.53225,3/2/2012,0.6573,3/2/2012,1.4017,3/2/2012,0.4091,,,3/2/2012,1.2412,3/2/2012,0.73078,,,3/2/2012,0.74496,3/2/2012,0.5658,3/2/2012,0.3968,,,3/2/2012,0.21524,8/16/2012,0.0419,,,3/2/2012,0.23586,,,3/2/2012,0.31319,,,4/5/2012,0.24471,3/2/2012,0.1405,,,,,3/2/2012,0.25519,,
3/5/2012,0.82826,3/5/2012,0.4251,3/5/2012,2.96266,3/5/2012,0.8025,3/5/2012,8.26968,3/5/2012,0.6466,3/5/2012,1.3517,3/5/2012,0.41009,,,3/5/2012,1.2482,3/5/2012,0.71619,,,3/5/2012,0.7265,3/5/2012,0.5539,3/5/2012,0.3894,,,3/5/2012,0.21254,8/17/2012,0.0419,,,3/5/2012,0.22542,,,3/5/2012,0.30915,,,4/10/2012,0.24083,3/5/2012,0.1378,,,,,3/5/2012,0.25633,,
3/6/2012,0.80254,3/6/2012,0.4161,3/6/2012,2.85332,3/6/2012,0.7832,3/6/2012,7.96094,3/6/2012,0.6377,3/6/2012,1.2779,3/6/2012,0.40274,,,3/6/2012,1.2276,3/6/2012,0.70592,,,3/6/2012,0.7085,3/6/2012,0.5346,3/6/2012,0.3787,,,3/6/2012,0.20096,8/20/2012,0.0413,,,3/6/2012,0.21641,,,3/6/2012,0.2937,,,4/11/2012,0.24212,3/6/2012,0.1314,,,,,3/6/2012,0.24604,,
3/7/2012,0.79084,3/7/2012,0.4109,3/7/2012,2.67907,3/7/2012,0.7728,3/7/2012,7.63791,3/7/2012,0.6286,3/7/2012,1.2506,3/7/2012,0.40269,,,3/7/2012,1.2481,3/7/2012,0.69166,,,3/7/2012,0.71227,3/7/2012,0.5204,3/7/2012,0.3668,,,3/7/2012,0.19964,8/21/2012,0.0413,,,3/7/2012,0.21639,,,3/7/2012,0.2898,,,4/12/2012,0.24986,3/7/2012,0.1340,,,,,3/7/2012,0.24472,,
3/8/2012,0.80718,3/8/2012,0.4191,3/8/2012,2.72068,3/8/2012,0.7878,3/8/2012,8.03956,3/8/2012,0.6383,3/8/2012,1.3013,3/8/2012,0.40559,,,3/8/2012,1.2765,3/8/2012,0.695,,,3/8/2012,0.744,3/8/2012,0.5338,3/8/2012,0.3696,,,3/8/2012,0.2076,8/22/2012,0.0406,,,3/8/2012,0.22178,,,3/8/2012,0.29657,,,4/13/2012,0.25517,3/8/2012,0.1341,,,,,3/8/2012,0.25788,,
3/9/2012,0.81095,3/9/2012,0.4216,3/9/2012,2.70103,3/9/2012,0.7955,3/9/2012,8.08375,3/9/2012,0.6511,3/9/2012,1.2938,3/9/2012,0.40677,,,3/9/2012,1.3022,3/9/2012,0.69621,,,3/9/2012,0.7452,3/9/2012,0.5376,3/9/2012,0.3684,,,3/9/2012,0.20757,8/23/2012,0.0413,,,3/9/2012,0.22047,,,3/9/2012,0.29911,,,4/16/2012,0.25521,3/9/2012,0.1367,,,,,3/9/2012,0.26946,,
3/12/2012,0.8108,3/12/2012,0.4228,3/12/2012,2.66828,3/12/2012,0.7902,3/12/2012,8.15953,3/12/2012,0.6458,3/12/2012,1.2590,3/12/2012,0.39809,,,3/12/2012,1.2942,3/12/2012,0.69478,,,3/12/2012,0.75279,3/12/2012,0.5285,3/12/2012,0.3719,,,3/12/2012,0.20496,8/24/2012,0.0393,,,3/12/2012,0.21656,,,3/12/2012,0.29648,,,4/17/2012,0.24487,3/12/2012,0.1341,,,,,3/12/2012,0.28101,,
3/13/2012,0.81834,3/13/2012,0.4292,3/13/2012,2.72566,3/13/2012,0.8016,3/13/2012,8.23496,3/13/2012,0.6534,3/13/2012,1.2858,3/13/2012,0.40783,,,3/13/2012,1.2990,3/13/2012,0.70236,,,3/13/2012,0.77968,3/13/2012,0.5361,3/13/2012,0.3706,,,3/13/2012,0.20877,8/27/2012,0.0393,,,3/13/2012,0.22037,,,3/13/2012,0.30414,,,4/18/2012,0.25255,3/13/2012,0.1392,,,,,3/13/2012,0.27708,,
3/14/2012,0.81298,3/14/2012,0.4316,3/14/2012,2.7314,3/14/2012,0.7975,3/14/2012,8.09112,3/14/2012,0.6519,3/14/2012,1.2806,3/14/2012,0.41264,,,3/14/2012,1.2807,3/14/2012,0.68156,,,3/14/2012,0.75629,3/14/2012,0.5282,3/14/2012,0.3669,,,3/14/2012,0.20743,8/28/2012,0.0419,,,3/14/2012,0.2216,,,3/14/2012,0.30277,,,4/19/2012,0.2499,3/14/2012,0.1353,,,,,3/14/2012,0.277,,
3/15/2012,0.80524,3/15/2012,0.4277,3/15/2012,2.69915,3/15/2012,0.7975,3/15/2012,8.16187,3/15/2012,0.6532,3/15/2012,1.2879,3/15/2012,0.39421,,,3/15/2012,1.2871,3/15/2012,0.70603,,,3/15/2012,0.74855,3/15/2012,0.5231,3/15/2012,0.3657,,,3/15/2012,0.20614,8/29/2012,0.0400,,,3/15/2012,0.21645,,,3/15/2012,0.2989,,,4/20/2012,0.24996,3/15/2012,0.1327,,,,,3/15/2012,0.26798,,
3/16/2012,0.80772,3/16/2012,0.4264,3/16/2012,2.70528,3/16/2012,0.8142,3/16/2012,8.01278,3/16/2012,0.6467,3/16/2012,1.2681,3/16/2012,0.39171,,,3/16/2012,1.2406,3/16/2012,0.72012,,,3/16/2012,0.75619,3/16/2012,0.5333,3/16/2012,0.3681,,,3/16/2012,0.20354,8/30/2012,0.0400,,,3/16/2012,0.21771,,,3/16/2012,0.295,,,4/23/2012,0.25382,3/16/2012,0.1327,,,,,3/16/2012,0.26409,,
3/19/2012,0.79356,3/19/2012,0.4187,3/19/2012,2.66667,3/19/2012,0.7807,3/19/2012,7.83253,3/19/2012,0.6364,3/19/2012,1.2533,3/19/2012,0.3868,,,3/19/2012,1.2032,3/19/2012,0.70725,,,3/19/2012,0.69823,3/19/2012,0.5037,3/19/2012,0.3562,,,3/19/2012,0.20097,8/31/2012,0.0406,,,3/19/2012,0.2087,,,3/19/2012,0.28986,,,4/24/2012,0.25129,3/19/2012,0.1340,,,,,3/19/2012,0.25507,,
3/20/2012,0.78962,3/20/2012,0.4161,3/20/2012,2.59558,3/20/2012,0.7729,3/20/2012,7.7803,3/20/2012,0.6247,3/20/2012,1.2557,3/20/2012,0.3794,,,3/20/2012,1.1980,3/20/2012,0.72135,,,3/20/2012,0.68786,3/20/2012,0.4934,3/20/2012,0.3597,,,3/20/2012,0.19708,9/3/2012,0.0406,,,3/20/2012,0.2061,,,3/20/2012,0.29241,,,4/25/2012,0.25773,3/20/2012,0.1314,,,,,3/20/2012,0.24732,,
3/21/2012,0.78303,3/21/2012,0.4134,3/21/2012,2.57576,3/21/2012,0.7753,3/21/2012,7.74016,3/21/2012,0.6195,3/21/2012,1.2530,3/21/2012,0.37319,,,3/21/2012,1.1604,3/21/2012,0.71864,,,3/21/2012,0.67742,3/21/2012,0.4778,3/21/2012,0.3585,,,3/21/2012,0.19318,9/4/2012,0.0419,,,3/21/2012,0.2125,,,3/21/2012,0.28591,,,4/26/2012,0.25904,3/21/2012,0.1301,,,,,3/21/2012,0.24599,,
3/22/2012,0.78549,3/22/2012,0.4121,3/22/2012,2.60112,3/22/2012,0.7636,3/22/2012,7.68745,3/22/2012,0.6181,3/22/2012,1.2479,3/22/2012,0.3719,,,3/22/2012,1.1757,3/22/2012,0.70307,,,3/22/2012,0.68505,3/22/2012,0.4661,3/22/2012,0.3655,,,3/22/2012,0.19186,9/5/2012,0.0413,,,3/22/2012,0.20088,,,3/22/2012,0.28071,,,4/27/2012,0.25775,3/22/2012,0.1339,,,,,3/22/2012,0.2408,,
3/23/2012,0.7711,3/23/2012,0.4068,3/23/2012,2.59394,3/23/2012,0.7492,3/23/2012,7.6724,3/23/2012,0.6063,3/23/2012,1.2180,3/23/2012,0.36934,,,3/23/2012,1.1663,3/23/2012,0.69773,,,3/23/2012,0.67455,3/23/2012,0.4686,3/23/2012,0.3654,,,3/23/2012,0.20468,9/6/2012,0.0406,,,3/23/2012,0.1931,,,3/23/2012,0.26776,,,4/30/2012,0.25779,3/23/2012,0.1339,,,,,3/23/2012,0.23172,,
3/26/2012,0.76207,3/26/2012,0.3991,3/26/2012,2.60031,3/26/2012,0.7441,3/26/2012,7.69152,3/26/2012,0.5999,3/26/2012,1.2106,3/26/2012,0.36811,,,3/26/2012,1.1689,3/26/2012,0.70801,,,3/26/2012,0.67711,3/26/2012,0.4634,3/26/2012,0.3761,,,3/26/2012,0.19309,9/7/2012,0.0406,,,3/26/2012,0.19309,,,3/26/2012,0.27934,,,5/2/2012,0.25265,3/26/2012,0.1377,,,,,3/26/2012,0.2227,,
3/27/2012,0.78173,3/27/2012,0.4083,3/27/2012,2.67232,3/27/2012,0.7534,3/27/2012,7.79801,3/27/2012,0.6143,3/27/2012,1.2160,3/27/2012,0.37932,,,3/27/2012,1.2093,3/27/2012,0.72378,,,3/27/2012,0.70575,3/27/2012,0.4817,3/27/2012,0.3798,,,3/27/2012,0.19447,9/10/2012,0.0406,,,3/27/2012,0.20219,,,3/27/2012,0.28719,,,5/3/2012,0.25389,3/27/2012,0.1391,,,,,3/27/2012,0.23568,,
3/28/2012,0.78309,3/28/2012,0.4044,3/28/2012,2.62104,3/28/2012,0.7470,3/28/2012,7.7472,3/28/2012,0.6092,3/28/2012,1.2137,3/28/2012,0.37813,,,3/28/2012,1.1734,3/28/2012,0.73672,,,3/28/2012,0.67233,3/28/2012,0.4766,3/28/2012,0.3763,,,3/28/2012,0.18804,9/11/2012,0.0406,,,3/28/2012,0.19964,,,3/28/2012,0.28207,,,5/4/2012,0.25768,3/28/2012,0.1391,,,,,3/28/2012,0.22797,,
3/29/2012,0.76891,3/29/2012,0.3967,3/29/2012,2.58881,3/29/2012,0.7522,3/29/2012,7.5217,3/29/2012,0.5950,3/29/2012,1.1669,3/29/2012,0.37076,,,3/29/2012,1.1592,3/29/2012,0.7277,,,3/29/2012,0.64785,3/29/2012,0.4675,3/29/2012,0.3680,,,3/29/2012,0.18675,9/12/2012,0.0406,,,3/29/2012,0.20092,,,3/29/2012,0.2782,,,5/7/2012,0.24737,3/29/2012,0.1391,,,,,3/29/2012,0.22668,,
3/30/2012,0.77278,3/30/2012,0.4031,3/30/2012,2.59524,3/30/2012,0.7560,3/30/2012,7.56034,3/30/2012,0.6015,3/30/2012,1.1374,3/30/2012,0.36585,,,3/30/2012,1.1914,3/30/2012,0.72512,,,3/30/2012,0.6311,3/30/2012,0.4753,3/30/2012,0.3727,,,3/30/2012,0.18547,9/13/2012,0.0393,,,3/30/2012,0.20092,,,3/30/2012,0.28206,,,5/8/2012,0.24737,3/30/2012,0.1391,,,,,3/30/2012,0.22282,,
4/2/2012,0.77392,4/2/2012,0.4043,4/2/2012,2.62694,4/2/2012,0.7572,4/2/2012,7.58463,4/2/2012,0.5924,4/2/2012,1.1728,4/2/2012,0.38051,,,4/2/2012,1.2053,4/2/2012,0.72627,,,4/2/2012,0.64257,4/2/2012,0.4674,4/2/2012,0.3739,,,4/2/2012,0.18028,9/14/2012,0.0400,,,4/2/2012,0.20088,,,4/2/2012,0.27943,,,5/9/2012,0.24602,4/2/2012,0.1455,,,,,4/2/2012,0.22149,,
4/3/2012,0.7882,4/3/2012,0.4121,4/3/2012,2.64022,4/3/2012,0.7637,4/3/2012,7.69528,4/3/2012,0.6040,4/3/2012,1.1816,4/3/2012,0.39652,,,4/3/2012,1.2866,4/3/2012,0.72638,,,4/3/2012,0.71222,4/3/2012,0.4868,4/3/2012,0.3822,,,4/3/2012,0.18675,9/17/2012,0.0393,,,4/3/2012,0.20091,,,4/3/2012,0.30137,,,5/10/2012,0.24601,4/3/2012,0.1430,,,,,4/3/2012,0.23826,,
4/5/2012,0.77277,4/5/2012,0.4057,4/5/2012,2.64029,4/5/2012,0.7393,4/5/2012,7.75344,4/5/2012,0.5937,4/5/2012,1.1607,4/5/2012,0.40267,,,4/5/2012,1.3137,4/5/2012,0.74572,,,4/5/2012,0.72898,4/5/2012,0.4959,4/5/2012,0.3917,,,4/5/2012,0.19062,9/18/2012,0.0400,,,4/5/2012,0.20865,,,4/5/2012,0.29752,,,5/11/2012,0.23824,4/5/2012,0.1430,,,,,4/5/2012,0.25501,,
4/10/2012,0.76756,4/10/2012,0.4031,4/10/2012,2.57569,4/10/2012,0.7354,4/10/2012,7.61761,4/10/2012,0.5886,4/10/2012,1.1163,4/10/2012,0.3965,,,4/10/2012,1.3007,4/10/2012,0.75081,,,4/10/2012,0.70703,4/10/2012,0.4804,4/10/2012,0.3822,,,4/10/2012,0.18674,9/19/2012,0.0406,,,4/10/2012,0.21507,,,4/10/2012,0.30136,,,5/14/2012,0.23951,4/10/2012,0.1404,,,,,4/10/2012,0.24727,,
4/11/2012,0.76372,4/11/2012,0.4018,4/11/2012,2.55003,4/11/2012,0.7315,4/11/2012,7.55995,4/11/2012,0.5834,4/11/2012,1.0967,4/11/2012,0.38915,,,4/11/2012,1.2827,4/11/2012,0.756,,,4/11/2012,0.69804,4/11/2012,0.4765,4/11/2012,0.3834,,,4/11/2012,0.18288,9/20/2012,0.0400,,,4/11/2012,0.20993,,,4/11/2012,0.29622,,,5/15/2012,0.23816,4/11/2012,0.1378,,,,,4/11/2012,0.24341,,
4/12/2012,0.78048,4/12/2012,0.4096,4/12/2012,2.59514,4/12/2012,0.7444,4/12/2012,7.66308,4/12/2012,0.5886,4/12/2012,1.0979,4/12/2012,0.39407,,,4/12/2012,1.3085,4/12/2012,0.76373,,,4/12/2012,0.73282,4/12/2012,0.4868,4/12/2012,0.3834,,,4/12/2012,0.19061,9/21/2012,0.0400,,,4/12/2012,0.20864,,,4/12/2012,0.30652,,,5/16/2012,0.23558,4/12/2012,0.1391,,,,,4/12/2012,0.24986,,
4/13/2012,0.8003,4/13/2012,0.4214,4/13/2012,2.64189,4/13/2012,0.7642,4/13/2012,7.99655,4/13/2012,0.6250,4/13/2012,1.1380,4/13/2012,0.41888,,,4/13/2012,1.3274,4/13/2012,0.7655,,,4/13/2012,0.73071,4/13/2012,0.5116,4/13/2012,0.3931,,,4/13/2012,0.19202,9/24/2012,0.0400,,,4/13/2012,0.20748,,,4/13/2012,0.31316,,,5/17/2012,0.24198,4/13/2012,0.1418,,,,,4/13/2012,0.26806,,
4/16/2012,0.78755,4/16/2012,0.4163,4/16/2012,2.63592,4/16/2012,0.7592,4/16/2012,7.97221,4/16/2012,0.6187,4/16/2012,1.1210,4/16/2012,0.40053,,,4/16/2012,1.2877,4/16/2012,0.76177,,,4/16/2012,0.72568,4/16/2012,0.4975,4/16/2012,0.3897,,,4/16/2012,0.1869,9/25/2012,0.0393,,,4/16/2012,0.20752,,,4/16/2012,0.30291,,,5/18/2012,0.2395,4/16/2012,0.1418,,,,,4/16/2012,0.2565,,
4/17/2012,0.772,4/17/2012,0.4176,4/17/2012,2.62917,4/17/2012,0.7591,4/17/2012,7.92618,4/17/2012,0.6122,4/17/2012,1.1714,4/17/2012,0.40417,,,4/17/2012,1.3017,4/17/2012,0.75911,,,4/17/2012,0.72173,4/17/2012,0.4859,4/17/2012,0.3837,,,4/17/2012,0.1843,9/26/2012,0.0387,,,4/17/2012,0.21265,,,4/17/2012,0.299,,,5/21/2012,0.24467,4/17/2012,0.1392,,,,,4/17/2012,0.2423,,
4/18/2012,0.77054,4/18/2012,0.4188,4/18/2012,2.62859,4/18/2012,0.7641,4/18/2012,8.02752,4/18/2012,0.6146,4/18/2012,1.1945,4/18/2012,0.40654,,,4/18/2012,1.2692,4/18/2012,0.77312,,,4/18/2012,0.70869,4/18/2012,0.4896,4/18/2012,0.3883,,,4/18/2012,0.18812,9/27/2012,0.0400,,,4/18/2012,0.2023,,,4/18/2012,0.3028,,,5/22/2012,0.24727,4/18/2012,0.1417,,,,,4/18/2012,0.24869,,
4/19/2012,0.7832,4/19/2012,0.4225,4/19/2012,2.7309,4/19/2012,0.7703,4/19/2012,8.26356,4/19/2012,0.6170,4/19/2012,1.2151,4/19/2012,0.40274,,,4/19/2012,1.2701,4/19/2012,0.7832,,,4/19/2012,0.72008,4/19/2012,0.4869,4/19/2012,0.3835,,,4/19/2012,0.19194,9/28/2012,0.0406,,,4/19/2012,0.19967,,,4/19/2012,0.30401,,,5/23/2012,0.24083,4/19/2012,0.1430,,,,,4/19/2012,0.24604,,
4/20/2012,0.78337,4/20/2012,0.4226,4/20/2012,2.74439,4/20/2012,0.7666,4/20/2012,8.24604,4/20/2012,0.6223,4/20/2012,1.2067,4/20/2012,0.40406,,,4/20/2012,1.2627,4/20/2012,0.75503,,,4/20/2012,0.71509,4/20/2012,0.4754,4/20/2012,0.3824,,,4/20/2012,0.19456,10/3/2012,0.0387,,,4/20/2012,0.20229,,,4/20/2012,0.3015,,,5/24/2012,0.24086,4/20/2012,0.1417,,,,,4/20/2012,0.24609,,
4/23/2012,0.76275,4/23/2012,0.4149,4/23/2012,2.66704,4/23/2012,0.7434,4/23/2012,7.97537,4/23/2012,0.6069,4/23/2012,1.1722,4/23/2012,0.39914,,,4/23/2012,1.2472,4/23/2012,0.75888,,,4/23/2012,0.6906,4/23/2012,0.4638,4/23/2012,0.3729,,,4/23/2012,0.19069,10/4/2012,0.0400,,,4/23/2012,0.19971,,,4/23/2012,0.29376,,,5/25/2012,0.24089,4/23/2012,0.1417,,,,,4/23/2012,0.23707,,
4/24/2012,0.76676,4/24/2012,0.4150,4/24/2012,2.674,4/24/2012,0.7474,4/24/2012,8.02845,4/24/2012,0.6134,4/24/2012,1.1786,4/24/2012,0.40413,,,4/24/2012,1.2474,4/24/2012,0.7629,,,4/24/2012,0.69589,4/24/2012,0.4614,4/24/2012,0.3741,,,4/24/2012,0.18944,10/5/2012,0.0400,,,4/24/2012,0.19974,,,4/24/2012,0.29768,,,5/28/2012,0.24089,4/24/2012,0.1418,,,,,4/24/2012,0.23712,,
4/25/2012,0.76287,4/25/2012,0.4137,4/25/2012,2.64168,4/25/2012,0.7448,4/25/2012,8.01526,4/25/2012,0.6121,4/25/2012,1.1798,4/25/2012,0.41025,,,4/25/2012,1.2964,4/25/2012,0.77575,,,4/25/2012,0.7023,4/25/2012,0.4626,4/25/2012,0.3765,,,4/25/2012,0.19072,10/8/2012,0.0387,,,4/25/2012,0.21005,,,4/25/2012,0.30154,,,5/29/2012,0.2473,4/25/2012,0.1405,,,,,4/25/2012,0.24355,,
4/26/2012,0.76553,4/26/2012,0.4176,4/26/2012,2.68065,4/26/2012,0.7552,4/26/2012,8.21595,4/26/2012,0.6148,4/26/2012,1.1861,4/26/2012,0.41153,,,4/26/2012,1.3120,4/26/2012,0.79389,,,4/26/2012,0.71012,4/26/2012,0.4704,4/26/2012,0.3801,,,4/26/2012,0.18816,10/9/2012,0.0393,,,4/26/2012,0.20105,,,4/26/2012,0.30802,,,5/30/2012,0.2447,4/26/2012,0.1418,,,,,4/26/2012,0.25002,,
4/27/2012,0.76166,4/27/2012,0.4111,4/27/2012,2.67418,4/27/2012,0.7462,4/27/2012,8.22229,4/27/2012,0.6173,4/27/2012,1.1849,4/27/2012,0.40415,,,4/27/2012,1.3197,4/27/2012,0.78099,,,4/27/2012,0.70109,4/27/2012,0.4665,4/27/2012,0.3801,,,4/27/2012,0.18558,10/10/2012,0.0393,,,4/27/2012,0.20491,,,4/27/2012,0.30801,,,5/31/2012,0.25124,4/27/2012,0.1405,,,,,4/27/2012,0.25775,,
4/30/2012,0.77853,4/30/2012,0.4189,4/30/2012,2.70681,4/30/2012,0.7734,4/30/2012,8.36534,4/30/2012,0.6368,4/30/2012,1.1986,4/30/2012,0.41405,,,4/30/2012,1.3354,4/30/2012,0.77724,,,4/30/2012,0.69733,4/30/2012,0.4666,4/30/2012,0.3861,,,4/30/2012,0.18561,10/11/2012,0.0393,,,4/30/2012,0.20366,,,4/30/2012,0.27584,,,6/1/2012,0.24353,4/30/2012,0.1405,,,,,4/30/2012,0.26166,,
5/2/2012,0.79404,5/2/2012,0.4202,5/2/2012,2.76496,5/2/2012,0.7786,5/2/2012,8.54624,5/2/2012,0.6497,5/2/2012,1.2245,5/2/2012,0.4112,,,5/2/2012,1.3483,5/2/2012,0.77857,,,5/2/2012,0.71412,5/2/2012,0.4589,5/2/2012,0.3980,,,5/2/2012,0.1882,10/12/2012,0.0394,,,5/2/2012,0.21269,,,5/2/2012,0.27456,,,6/4/2012,0.23586,5/2/2012,0.1444,,,,,5/2/2012,0.26167,,
5/3/2012,0.7694,5/3/2012,0.4073,5/3/2012,2.7902,5/3/2012,0.7642,5/3/2012,8.65413,5/3/2012,0.6405,5/3/2012,1.2612,5/3/2012,0.41756,,,5/3/2012,1.3738,5/3/2012,0.78229,,,5/3/2012,0.71785,5/3/2012,0.4601,5/3/2012,0.4003,,,5/3/2012,0.19074,10/15/2012,0.0394,,,5/3/2012,0.21265,,,5/3/2012,0.27064,,,6/5/2012,0.23456,5/3/2012,0.1456,,,,,5/3/2012,0.26291,,
