,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
2/25/2011,77.94,2/25/2011,39.04,2/25/2011,36.83,2/25/2011,16.771,2/25/2011,31.755,2/25/2011,26.45,2/25/2011,32.31,2/25/2011,29.55,2/25/2011,39.1125,,,,,,,
2/28/2011,78.54,2/28/2011,39.46,2/28/2011,37.01,2/28/2011,16.85,2/28/2011,32.11,2/28/2011,26.56,2/28/2011,32.669,2/28/2011,29.72,2/28/2011,39.41,,,,,,,
3/1/2011,77.07,3/1/2011,38.49,3/1/2011,36.225,3/1/2011,16.49,3/1/2011,31.785,3/1/2011,26.05,3/1/2011,32.4125,3/1/2011,29.49,3/1/2011,38.66,,,,,,,
3/2/2011,77.51,3/2/2011,38.63,3/2/2011,36.395,3/2/2011,16.39,3/2/2011,31.84,3/2/2011,26.21,3/2/2011,32.51,3/2/2011,29.41,3/2/2011,38.81,,,,,,,
3/3/2011,78.84,3/3/2011,39.41,3/3/2011,37.275,3/3/2011,16.725,3/3/2011,32.2,3/3/2011,26.63,3/3/2011,33.18,3/3/2011,29.71,3/3/2011,39.5,,,,,,,
3/4/2011,78.34,3/4/2011,39.05,3/4/2011,36.841,3/4/2011,16.52,3/4/2011,32.005,3/4/2011,26.415,3/4/2011,33.135,3/4/2011,29.58,3/4/2011,39.21,,,,,,,
3/7/2011,77.79,3/7/2011,38.38,3/7/2011,36.5,3/7/2011,16.41,3/7/2011,32.13,3/7/2011,26.08,3/7/2011,32.88,3/7/2011,29.5,3/7/2011,38.82,,,,,,,
3/8/2011,77.15,3/8/2011,38.82,3/8/2011,37.07,3/8/2011,16.77,3/8/2011,32.49,3/8/2011,26.2975,3/8/2011,33.06,3/8/2011,29.76,3/8/2011,39.13,,,,,,,
3/9/2011,76.619,3/9/2011,38.19,3/9/2011,36.99,3/9/2011,16.7665,3/9/2011,32.82,3/9/2011,26.19,3/9/2011,33.11,3/9/2011,29.91,3/9/2011,39.22,,,,,,,
3/10/2011,73.83,3/10/2011,37.355,3/10/2011,36.245,3/10/2011,16.43,3/10/2011,32.4475,3/10/2011,25.7,3/10/2011,32.5925,3/10/2011,29.71,3/10/2011,38.77,,,,,,,
