"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"ATLEDGE.SS.Equity",2.84038362418084,1.0739240105937,1.5399111281306,1.5399111281306
"ATLRIVR.KY.Equity",0.323166434538064,1.17011578774805,1.28758002513965,1.28758002513965
"ATLSTAA.SS.Equity",Inf,1.21196714031972,2.16932726465364,2.16932726465364
"ATMOSBE.KY.Equity",1.66554372862782,1.38143954844613,1.57573883205565,1.57573883205565
"ATSHARA.SS.Equity",1.80817669909434,0.789604878837756,1.31705146952192,1.31705146952192
"ATTMFTF.US.Equity",5.02389911522424,1.11371587087366,1.01241536076982,1.01241536076982
"AUCTGDP.US.Equity",0.63943661971831,1.16826215022091,1.25524658971668,1.25524658971668
"AUSDIVA.CN.Equity",0.382682666169372,1.09090336573704,0.908331669306245,0.908331669306245
"AUSEXTW.AU.Equity",4.12545832314837,1.15740126851515,1.57938464199613,1.57938464199613
"AVACEGA.KY.Equity",1.46566755711174,2.02412381536261,2.75469704435821,2.75469704435821
"AVISCGA.ID.Equity",4.27910875692487,1.52341380173845,2.2027309629207,2.2027309629207
"AVWORLD.US.Equity",2.81001554732337,1.28976169183798,1.47000582845586,1.47000582845586
"AXSYSAR.US.Equity",Inf,1.95900714554344,2.25701976441856,2.25701976441856
"AZALISE.IM.Equity",6.12388863251807,1.35283468499278,1.58917031964079,1.58917031964079
"BAG0908.KY.Equity",0.690071176392848,1.20729557312897,1.05075813414763,1.05075813414763
"BAOBABG.VI.Equity",1.05344826101558,1.09652548906643,1.70960590211238,1.70960590211238
"BARCOEP.US.Equity",0.547358400761542,1.45470977470462,1.82191870427155,1.82191870427155
"BARYONE.EK.Equity",3.2787157645441,1.42019554409353,1.66697114392987,1.66697114392987
