,6301 JP Equity,,TPX Index,,.GOVTUSJP Index
10/31/2013,-0.5576,10/31/2013,-0.85,10/18/2013,0.0903
11/1/2013,-1.4486,11/1/2013,-0.94,10/21/2013,-0.957
11/5/2013,-1.5647,11/5/2013,-0.04,10/22/2013,4.3084
11/6/2013,1.3969,11/6/2013,0.81,10/23/2013,-0.2205
11/7/2013,-0.5701,11/7/2013,-0.62,10/24/2013,-0.6918
11/8/2013,-0.1433,11/8/2013,-0.7,10/25/2013,0.8325
11/11/2013,1.244,11/11/2013,0.78,10/28/2013,-0.7145
11/12/2013,2.0794,11/12/2013,1.67,10/29/2013,0.7318
11/13/2013,0.5093,11/13/2013,-0.1,10/30/2013,-2.8313
11/14/2013,0.3685,11/14/2013,1.19,10/31/2013,-0.5341
11/15/2013,-0.1836,11/15/2013,1.68,11/1/2013,-3.4651
11/18/2013,0.2759,11/18/2013,0.21,11/4/2013,0.9056
11/19/2013,-2.5218,11/19/2013,-0.39,11/5/2013,-2.7551
11/20/2013,0.2822,11/20/2013,-0.28,11/6/2013,1.5837
11/21/2013,1.1257,11/21/2013,1.04,11/7/2013,1.0947
11/22/2013,-0.1855,11/22/2013,0.18,11/8/2013,-7.632
11/25/2013,0.4647,11/25/2013,0.88,11/11/2013,0.0464
11/26/2013,0.37,11/26/2013,-0.52,11/12/2013,-0.752
11/27/2013,-0.2304,11/27/2013,-0.47,11/13/2013,3.6101
11/28/2013,-0.4619,11/28/2013,1.12,11/14/2013,0.2678
11/29/2013,-1.2065,11/29/2013,-0.19,11/15/2013,0.9899
12/2/2013,-0.9394,12/2/2013,0.02,11/18/2013,1.8681
12/3/2013,-0.9009,12/3/2013,0.29,11/19/2013,-2.6713
12/4/2013,-1.6268,12/4/2013,-1.71,11/20/2013,-4.6555
12/5/2013,-1.5564,12/5/2013,-0.91,11/21/2013,1.3074
12/6/2013,1.7292,12/6/2013,0.5,11/22/2013,1.9316
12/9/2013,0.8256,12/9/2013,1.58,11/25/2013,1.1585
12/10/2013,0.1445,12/10/2013,0.08,11/26/2013,0.0326
12/11/2013,-1.3949,12/11/2013,-0.47,11/27/2013,-2.145
12/12/2013,-1.0244,12/12/2013,-0.66,11/28/2013,0
12/13/2013,-0.1971,12/13/2013,-0.27,11/29/2013,-0.3381
12/16/2013,-0.8889,12/16/2013,-1.29,12/2/2013,-1.8584
12/17/2013,1.8934,12/17/2013,0.77,12/3/2013,1.5501
12/18/2013,2.1516,12/18/2013,1.48,12/4/2013,-2.4672
12/19/2013,1.2925,12/19/2013,1.01,12/5/2013,-1.662
12/20/2013,-0.6616,12/20/2013,-0.11,12/6/2013,1.8119
12/24/2013,0.7136,12/24/2013,-0.32,12/9/2013,0.1103
12/25/2013,-0.6141,12/25/2013,0.05,12/10/2013,2.2067
12/26/2013,0.7129,12/26/2013,1.68,12/11/2013,-2.9417
12/27/2013,0.0944,12/27/2013,0.84,12/12/2013,-1.0824
12/30/2013,0.7544,12/30/2013,0.95,12/13/2013,1.877
1/6/2014,-2.1993,1/6/2014,-0.78,12/16/2013,-0.6311
1/7/2014,-1.6268,1/7/2014,-0.69,12/17/2013,0.9564
