"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"NAVASIA.KY.Equity",3.72640100788577,1.42391722105803,1.47255575511864,1.47255575511864
"NAVYILD.KY.Equity",1.19419215032818,1.04506343239751,1.44489668575812,1.44489668575812
"NEWHBAS.KY.Equity",4.43544431803817,1.11423046160496,1.55281304623423,1.55281304623423
"NHINDIA.MP.Equity",1.76799117389031,1.30565253879716,1.81352713655737,1.81352713655737
"NORASXD.KY.Equity",0.982284042043202,1.75774563981274,1.42438149070886,1.42438149070886
"NTADUSA.KY.Equity",2.4179050266096,0.924070965586107,1.70283137495475,1.70283137495475
"NTASIAN.KY.Equity",2.42000789577576,0.922300812944518,1.70834328071412,1.70834328071412
"OCMFUND.KY.Equity",8.28920637001114,1.42483955730915,2.47657159173726,2.47657159173726
"OCTAPAF.KY.Equity",2.47384536587538,1.91516320435033,1.92046533253259,1.92046533253259
"OPAFFRA.VI.Equity",2.3754,0.533600074254308,1.0026731437378,1.0026731437378
"OZASIAM.KY.Equity",4.13121375724855,2.32389064654823,2.24215069000499,2.24215069000499
"PANGOLN.KY.Equity",2.89074144029671,1.23012801278867,1.64010275852084,1.64010275852084
"PANNOTI.VI.Equity",1.88400822572353,1.24544903195708,1.45517488252806,1.45517488252806
"PARAMEE.BM.Equity",Inf,Inf,Inf,Inf
"PASINLD.KY.Equity",2.59117647058823,1.59865576041572,2.05284906170167,2.05284906170167
"PASINLP.US.Equity",2.55781818181818,1.65021275367415,2.0129572586753,2.0129572586753
"PELAALA.NA.Equity",1.27966686117447,1.20980463827782,1.30645046835084,1.30645046835084
"PENASEF.AU.Equity",0.695881731784583,0.837525355599666,0.993181635872617,0.993181635872617
"PENASEU.KY.Equity",2.14603347229775,1.16675180008055,1.65575244580856,1.65575244580856
"PERUEQU.KY.Equity",2.85941235059761,1.03561878061555,0.871490247023315,0.871490247023315
"PHALJAM.US.Equity",2.340625,1.62179701866023,1.63637917940684,1.63637917940684
"PPASIAS.KY.Equity",19.7753424657534,3.16170596122688,2.75181451000638,2.75181451000638
"PPCHINA.KY.Equity",13.7228160411476,2.37252826379957,2.42363092944636,2.42363092944636
