7201 JP,,JPY,,NKY,,Industry,,Production,,Anti-Japanese
11/14/2012,684,9/28/2012,0.45,11/14/2012,0.04,12/27/2012,-0.451929412,,,
11/15/2012,702,10/1/2012,0.04,11/15/2012,1.9,12/28/2012,0.606641176,,,
11/16/2012,738,10/2/2012,0.22,11/16/2012,2.2,1/4/2013,-1.135770588,,,
11/19/2012,751,10/3/2012,0.42,11/19/2012,1.43,1/7/2013,0.132364706,,,
11/20/2012,750,10/4/2012,-0.01,11/20/2012,-0.12,1/8/2013,1.178152941,,,
11/21/2012,766,10/5/2012,0.24,11/21/2012,0.87,1/9/2013,-0.137294118,,,
11/22/2012,788,10/8/2012,-0.43,11/22/2012,1.56,1/10/2013,0.338270588,,,
11/26/2012,806,10/9/2012,-0.09,11/26/2012,0.24,1/11/2013,-0.807905882,,,
11/27/2012,783,10/10/2012,-0.1,11/27/2012,0.37,1/15/2013,1.331282353,,,
11/28/2012,773,10/11/2012,0.2,11/28/2012,-1.22,1/16/2013,-0.6373,,,
11/29/2012,792,10/12/2012,0.13,11/29/2012,0.99,1/17/2013,0.849576471,,,
11/30/2012,799,10/15/2012,0.27,11/30/2012,0.48,1/18/2013,1.060411765,,,
12/3/2012,807,10/16/2012,0.31,12/3/2012,0.13,1/21/2013,0.588823529,,,
12/4/2012,777,10/17/2012,0.05,12/4/2012,-0.27,1/22/2013,0.408911765,,,
12/5/2012,780,10/18/2012,0.44,12/5/2012,0.39,1/23/2013,0.622523529,,,
12/6/2012,775,10/19/2012,0.05,12/6/2012,0.81,1/24/2013,-0.791058824,,,
12/7/2012,776,10/22/2012,0.78,12/7/2012,-0.19,1/25/2013,2.340488235,,,
12/10/2012,770,10/23/2012,-0.11,12/10/2012,0.07,1/28/2013,0.300029412,,,
12/11/2012,765,10/24/2012,-0.05,12/11/2012,-0.09,1/29/2013,-0.832547059,,,
12/12/2012,771,10/25/2012,0.61,12/12/2012,0.59,1/30/2013,-0.436082353,,,
12/13/2012,788,10/26/2012,-0.81,12/13/2012,1.68,1/31/2013,0.1276,,,
12/14/2012,785,10/29/2012,0.19,12/14/2012,-0.05,2/1/2013,-0.465511765,,,
12/17/2012,799,10/30/2012,-0.21,12/17/2012,0.94,2/4/2013,-0.257376471,,,
12/18/2012,800,10/31/2012,0.18,12/18/2012,0.96,2/5/2013,0.719405882,,,
12/19/2012,844,11/1/2012,0.44,12/19/2012,2.39,2/6/2013,0.551252941,,,
12/20/2012,782,11/2/2012,0.39,12/20/2012,-1.19,2/7/2013,0.254082353,,,
12/21/2012,763,11/5/2012,-0.17,12/21/2012,-0.99,2/8/2013,-1.009452941,,,
12/25/2012,766,11/6/2012,0.07,12/25/2012,1.41,2/14/2013,-0.194176471,,,
12/26/2012,782,11/7/2012,-0.44,12/26/2012,1.49,2/15/2013,1.549417647,,,
12/27/2012,798,11/8/2012,-0.66,12/27/2012,0.91,2/18/2013,-0.813976471,,,
12/28/2012,811,11/9/2012,0.03,12/28/2012,0.7,2/19/2013,-0.763047059,,,
1/4/2013,854,11/12/2012,0.01,1/4/2013,2.82,2/20/2013,1.640088235,,,
1/7/2013,851,11/13/2012,-0.15,1/7/2013,-0.83,2/21/2013,-0.381841176,,,
1/8/2013,842,11/14/2012,1.1,1/8/2013,-0.86,2/22/2013,-0.329064706,,,
1/9/2013,847,11/15/2012,1.15,1/9/2013,0.67,2/25/2013,0.075029412,,,
1/10/2013,854,11/16/2012,0.18,1/10/2013,0.7,2/26/2013,1.241041176,,,
1/11/2013,873,11/19/2012,0.11,1/11/2013,1.4,2/27/2013,0.098417647,,,
1/15/2013,883,11/20/2012,0.33,1/15/2013,0.72,2/28/2013,2.2791,,,
1/16/2013,866,11/21/2012,1.03,1/16/2013,-2.56,3/1/2013,0.248141176,,,
1/17/2013,868,11/22/2012,-0.05,1/17/2013,0.09,3/4/2013,-1.201082353,,,
1/18/2013,878,11/23/2012,-0.1,1/18/2013,2.86,3/5/2013,0.222041176,,,
1/21/2013,865,11/26/2012,-0.39,1/21/2013,-1.52,3/6/2013,-0.256347059,,,
1/22/2013,866,11/27/2012,0.09,1/22/2013,-0.35,3/7/2013,0.202441176,,,
1/23/2013,842,11/28/2012,-0.09,1/23/2013,-2.08,3/8/2013,-0.977605882,,,
1/24/2013,852,11/29/2012,0.05,1/24/2013,1.28,3/11/2013,0.414882353,,,
1/25/2013,874,11/30/2012,0.44,1/25/2013,2.88,3/12/2013,0.1685,,,
1/28/2013,895,12/3/2012,-0.28,1/28/2013,-0.94,3/13/2013,-1.345841176,,,
1/29/2013,934,12/4/2012,-0.43,1/29/2013,0.39,3/14/2013,0.449194118,,,
1/30/2013,932,12/5/2012,0.7,1/30/2013,2.28,3/15/2013,-0.524217647,,,
1/31/2013,936,12/6/2012,-0.08,1/31/2013,0.22,3/18/2013,-0.084505882,,,
2/1/2013,935,12/7/2012,0.11,2/1/2013,0.47,3/19/2013,-0.142352941,,,
2/4/2013,975,12/10/2012,-0.16,2/4/2013,0.62,3/21/2013,-1.161647059,,,
2/5/2013,955,12/11/2012,0.19,2/5/2013,-1.9,3/22/2013,-1.179988235,,,
2/6/2013,996,12/12/2012,0.9,2/6/2013,3.77,3/25/2013,1.8936,,,
2/7/2013,993,12/13/2012,0.47,2/7/2013,-0.93,3/26/2013,0.3571,,,
2/8/2013,987,12/14/2012,-0.16,2/8/2013,-1.8,3/27/2013,1.380782353,,,
2/12/2013,950,12/17/2012,0.44,2/12/2013,1.94,3/28/2013,1.558270588,,,
2/13/2013,950,12/18/2012,0.38,2/13/2013,-1.04,4/2/2013,-0.0437,,,
2/14/2013,933,12/19/2012,0.24,2/14/2013,0.5,4/3/2013,0.729188235,,,
2/15/2013,932,12/20/2012,-0.02,2/15/2013,-1.18,4/5/2013,1.997735294,,,
2/18/2013,950,12/21/2012,-0.18,2/18/2013,2.09,4/8/2013,-0.265164706,,,
2/19/2013,940,12/24/2012,0.83,2/19/2013,-0.31,4/9/2013,-0.677270588,,,
2/20/2013,938,12/25/2012,-0.2,2/20/2013,0.84,4/10/2013,-0.642905882,,,
2/21/2013,940,12/26/2012,1.01,2/21/2013,-1.39,4/11/2013,-0.297652941,,,
2/22/2013,939,12/27/2012,0.55,2/22/2013,0.68,4/12/2013,-1.0935,,,
2/25/2013,940,12/28/2012,-0.16,2/25/2013,2.43,,,,,
2/26/2013,916,12/31/2012,0.92,2/26/2013,-2.26,,,,,
2/27/2013,902,1/1/2013,-0.06,2/27/2013,-1.27,,,,,
2/28/2013,937,1/2/2013,0.74,2/28/2013,2.71,,,,,
3/1/2013,944,1/3/2013,-0.11,3/1/2013,0.41,,,,,
3/4/2013,945,1/4/2013,1.04,3/4/2013,0.4,,,,,
3/5/2013,943,1/7/2013,-0.41,3/5/2013,0.27,,,,,
3/6/2013,947,1/8/2013,-0.84,3/6/2013,2.13,,,,,
3/7/2013,934,1/9/2013,0.95,3/7/2013,0.3,,,,,
3/8/2013,962,1/10/2013,1.02,3/8/2013,2.64,,,,,
3/11/2013,993,1/11/2013,0.45,3/11/2013,0.53,,,,,
3/12/2013,993,1/14/2013,0.34,3/12/2013,-0.28,,,,,
3/13/2013,999,1/15/2013,-0.77,3/13/2013,-0.61,,,,,
3/14/2013,992,1/16/2013,-0.46,3/14/2013,1.16,,,,,
3/15/2013,985,1/17/2013,1.7,3/15/2013,1.45,,,,,
3/18/2013,951,1/18/2013,0.24,3/18/2013,-2.71,,,,,
3/19/2013,957,1/21/2013,-0.55,3/19/2013,2.03,,,,,
3/21/2013,975,1/22/2013,-0.99,3/21/2013,1.34,,,,,
3/22/2013,946,1/23/2013,-0.11,3/22/2013,-2.35,,,,,
3/25/2013,945,1/24/2013,1.94,3/25/2013,1.69,,,,,
3/26/2013,927,1/25/2013,0.64,3/26/2013,-0.6,,,,,
3/27/2013,922,1/28/2013,-0.05,3/27/2013,0.18,,,,,
3/28/2013,907,1/29/2013,-0.14,3/28/2013,-1.26,,,,,
3/29/2013,905,1/30/2013,0.39,3/29/2013,0.5,,,,,
4/1/2013,887,1/31/2013,0.69,4/1/2013,-2.12,,,,,
4/2/2013,856,2/1/2013,1.16,4/2/2013,-1.08,,,,,
4/3/2013,889,2/4/2013,-0.42,4/3/2013,2.99,,,,,
4/4/2013,912,2/5/2013,1.35,4/4/2013,2.2,,,,,
4/5/2013,968,2/6/2013,0.01,4/5/2013,1.58,,,,,
4/8/2013,979,2/7/2013,-0.01,4/8/2013,2.8,,,,,
4/9/2013,987,2/8/2013,-1.01,4/9/2013,0,,,,,
4/10/2013,999,2/11/2013,1.77,4/10/2013,0.73,,,,,
4/11/2013,1043,2/12/2013,-0.89,4/11/2013,1.96,,,,,
4/12/2013,1052,2/13/2013,-0.1,4/12/2013,-0.47,,,,,
,,2/14/2013,-0.55,,,,,,,
,,2/15/2013,0.67,,,,,,,
,,2/18/2013,0.49,,,,,,,
,,2/19/2013,-0.42,,,,,,,
,,2/20/2013,0,,,,,,,
,,2/21/2013,-0.49,,,,,,,
,,2/22/2013,0.33,,,,,,,
,,2/25/2013,-1.71,,,,,,,
,,2/26/2013,0.17,,,,,,,
,,2/27/2013,0.28,,,,,,,
,,2/28/2013,0.35,,,,,,,
,,3/1/2013,1.11,,,,,,,
,,3/4/2013,-0.12,,,,,,,
,,3/5/2013,-0.2,,,,,,,
,,3/6/2013,0.84,,,,,,,
,,3/7/2013,0.8,,,,,,,
,,3/8/2013,1.24,,,,,,,
,,3/11/2013,0.29,,,,,,,
,,3/12/2013,-0.21,,,,,,,
,,3/13/2013,0.05,,,,,,,
,,3/14/2013,-0.02,,,,,,,
,,3/15/2013,-0.86,,,,,,,
,,3/18/2013,-0.07,,,,,,,
,,3/19/2013,-0.05,,,,,,,
,,3/20/2013,0.89,,,,,,,
,,3/21/2013,-1.16,,,,,,,
,,3/22/2013,-0.46,,,,,,,
,,3/25/2013,-0.31,,,,,,,
,,3/26/2013,0.29,,,,,,,
,,3/27/2013,0.02,,,,,,,
,,3/28/2013,-0.33,,,,,,,
,,3/29/2013,0.07,,,,,,,
,,4/1/2013,-1.05,,,,,,,
,,4/2/2013,0.23,,,,,,,
,,4/3/2013,-0.43,,,,,,,
,,4/4/2013,3.55,,,,,,,
,,4/5/2013,1.28,,,,,,,
,,4/8/2013,1.83,,,,,,,
,,4/9/2013,-0.34,,,,,,,
,,4/10/2013,0.77,,,,,,,
,,4/11/2013,-0.1,,,,,,,
,,4/12/2013,-0.72,,,,,,,
