,ann.ret.5,ann.std.5,downrisk.5,drawdown.5,sharpe.5,sortino.5,inforatio.5,alpha.5,beta.5,corr.bhf.5,corr.bidx.5,omega.5,wl.5,skewness.5,kurtosis.5
PSLATON.US.Equity,0.160255437,0.065531623,0.02296918,-0.053248693,2.369168207,6.759293896,1.183375948,0.011712051,0.12277763,0.253607561,0.184775382,5.994657479,0.75,0.453771264,-0.098601384
PXPVEEF.KY.Equity,0.173555193,0.144391994,0.060828865,-0.119881835,1.167344455,2.770973811,0.946405037,0.010287738,0.528020573,0.385347366,0.360647992,2.339953061,0.6,0.244381966,-0.596614893
QIEFMLB.MP.Equity,0.099429472,0.196435681,0.129570416,-0.294373624,0.480714458,0.72878883,0.488477993,0.001071528,1.131301597,NA,0.567170057,1.566627695,0.6,-0.026931749,1.115063167
QUACHFA.KY.Equity,0.182370106,0.265757299,0.206212476,-0.456705209,0.667413863,0.860132756,0.385230555,0.007098314,1.303282723,0.611000694,0.483647809,1.956197006,0.633333333,0.28070228,3.757223934
QUPANEF.VI.Equity,0.071723972,0.113441745,0.08369371,-0.192373566,0.588178294,0.797239983,0.07830318,0.001915355,0.584917426,0.584949136,0.508507602,1.653384292,0.616666667,-0.524177842,0.467619967
REALRTA.ID.Equity,0.074597066,0.112572365,0.077689147,-0.238918928,0.618242907,0.895840259,0.425422928,0.003049541,0.466842987,NA,0.408408076,1.720857586,0.65,-0.024817345,1.33290109
ROCIMAS.KY.Equity,0.06878854,0.181608546,0.156362374,-0.386676726,0.351241949,0.407953257,0.268399343,0.002221469,0.623715978,0.51131026,0.338708718,1.468859284,0.683333333,-0.102532453,4.391260508
RVCCLSA.KY.Equity,0.086682547,0.040417713,0.024732546,-0.043944573,2.020959152,3.302634002,1.003574743,0.00516651,0.245877437,0.625350956,0.599960602,4.890225425,0.833333333,0.048006148,0.998445474
RVCUSCA.KY.Equity,0.085525528,0.040676435,0.025143862,-0.046741579,1.979660436,3.202591904,0.97800296,0.005071597,0.246726813,0.624821034,0.598203925,4.757157058,0.833333333,0.026315077,1.023038401
SALAOPA.KY.Equity,0.110352585,0.085004347,0.053424875,-0.154934373,1.239378804,1.971976249,1.167838383,0.007203157,0.281956783,NA,0.309960759,2.647923889,0.616666667,-0.239432527,0.514326451
SCICTFA.KY.Equity,0.064014825,0.02230031,NA,-0.0407,2.646367981,NA,0.368310237,0.004885513,0.042426357,0.211006649,0.18762929,8.673194103,0.983333333,-6.128038411,41.65268799
