,857 HK Equity,,386 HK Equity,,883 HK Equity,,1088 HK Equity,,2883 HK Equity,,1898 HK Equity,,1171 HK Equity,,384 HK Equity,,3337 HK Equity,,956 HK Equity,,196 HK Equity,,568 HK Equity,,975 HK Equity,,1393 HK Equity,,951 HK Equity,,686 HK Equity,,712 HK Equity,,839 HK Equity,,866 HK Equity,,3303 HK Equity,,842 HK Equity,,,,,,,,,
5/27/2008,1.36298,5/27/2008,0.70,5/27/2008,1.91638,5/27/2008,4.40,5/27/2008,1.87282,5/27/2008,2.19,5/27/2008,2.02398,5/27/2008,0.34,5/27/2008,0.23314,11/3/2010,0.34,5/27/2008,0.44835,5/27/2008,0.58,11/4/2010,1.09513,5/27/2008,1.64224,7/28/2010,0.27,5/27/2008,0.24,11/20/2009,0.2787,5/27/2008,0.29,7/24/2009,0.20193,5/27/2008,0.22,12/7/2010,0.52173,,,,,,,,,
5/28/2008,1.36572,5/28/2008,0.70,5/28/2008,1.81925,5/28/2008,4.43,5/28/2008,1.86025,5/28/2008,2.18,5/28/2008,2.05755,5/28/2008,0.35,5/28/2008,0.2242,11/4/2010,0.33,5/28/2008,0.5099,5/28/2008,0.58,11/5/2010,1.07218,5/28/2008,1.7142,7/29/2010,0.27,5/28/2008,0.24,11/23/2009,0.28129,5/28/2008,0.31,7/27/2009,0.21161,5/28/2008,0.21,12/8/2010,0.5278,,,,,,,,,
5/29/2008,1.37622,5/29/2008,0.73,5/29/2008,1.76064,5/29/2008,4.51,5/29/2008,1.84521,5/29/2008,2.19,5/29/2008,2.13224,5/29/2008,0.35,5/29/2008,0.2204,11/5/2010,0.33,5/29/2008,0.50231,5/29/2008,0.58,11/8/2010,1.0683,5/29/2008,1.70425,7/30/2010,0.27,5/29/2008,0.24,11/24/2009,0.3058,5/29/2008,0.32,7/28/2009,0.22064,5/29/2008,0.21,12/9/2010,0.51197,,,,,,,,,
5/30/2008,1.43771,5/30/2008,0.77,5/30/2008,1.74267,5/30/2008,4.46,5/30/2008,1.94257,5/30/2008,2.24,5/30/2008,2.17834,5/30/2008,0.35,5/30/2008,0.21399,11/8/2010,0.34,5/30/2008,0.49589,5/30/2008,0.58,11/9/2010,1.11336,5/30/2008,1.94769,8/2/2010,0.28,5/30/2008,0.24,11/25/2009,0.29419,5/30/2008,0.31,7/29/2009,0.21484,5/30/2008,0.21,12/10/2010,0.5068,,,,,,,,,
6/2/2008,1.46846,6/2/2008,0.80,6/2/2008,1.80418,6/2/2008,4.66,6/2/2008,1.94513,6/2/2008,2.28,6/2/2008,2.2296,6/2/2008,0.35,6/2/2008,0.20502,11/9/2010,0.35,6/2/2008,0.47027,6/2/2008,0.58,11/10/2010,1.20241,6/2/2008,1.74267,8/3/2010,0.27,6/2/2008,0.24,11/26/2009,0.28773,6/2/2008,0.31,7/30/2009,0.21161,6/2/2008,0.21,12/13/2010,0.51036,,,,,,,,,
6/3/2008,1.40935,6/3/2008,0.78,6/3/2008,1.77066,6/3/2008,4.57,6/3/2008,1.89366,6/3/2008,2.22,6/3/2008,2.18578,6/3/2008,0.35,6/3/2008,0.21653,11/10/2010,0.35,6/3/2008,0.47662,6/3/2008,0.58,11/11/2010,1.15217,6/3/2008,1.69891,8/4/2010,0.27,6/3/2008,0.24,11/27/2009,0.2903,6/3/2008,0.32,7/31/2009,0.21226,6/3/2008,0.21,12/14/2010,0.52103,,,,,,,,,
6/4/2008,1.38843,6/4/2008,0.77,6/4/2008,1.69839,6/4/2008,4.34,6/4/2008,1.84184,6/4/2008,2.09,6/4/2008,1.99042,6/4/2008,0.35,6/4/2008,0.21518,11/11/2010,0.35,6/4/2008,0.4547,6/4/2008,0.58,11/12/2010,1.1198,6/4/2008,1.64203,8/5/2010,0.29,6/4/2008,0.24,11/30/2009,0.30322,6/4/2008,0.32,8/3/2009,0.21032,6/4/2008,0.21,12/15/2010,0.51318,,,,,,,,,
6/5/2008,1.39093,6/5/2008,0.79,6/5/2008,1.66246,6/5/2008,4.25,6/5/2008,1.78798,6/5/2008,2.02,6/5/2008,1.93143,6/5/2008,0.33,6/5/2008,0.21773,11/12/2010,0.35,6/5/2008,0.46108,6/5/2008,0.58,11/15/2010,1.13515,6/5/2008,1.62148,8/6/2010,0.29,6/5/2008,0.24,12/1/2009,0.29806,6/5/2008,0.31,8/4/2009,0.20838,6/5/2008,0.21,12/16/2010,0.51558,,,,,,,,,
6/6/2008,1.40865,6/6/2008,0.81,6/6/2008,1.71343,6/6/2008,4.34,6/6/2008,1.84405,6/6/2008,2.04,6/6/2008,2.00284,6/6/2008,0.34,6/6/2008,0.2177,11/15/2010,0.34,6/6/2008,0.46613,6/6/2008,0.58,11/16/2010,1.12184,6/6/2008,1.63147,8/9/2010,0.31,6/6/2008,0.24,12/2/2009,0.32516,6/6/2008,0.32,8/5/2009,0.20129,6/6/2008,0.21,12/17/2010,0.52205,,,,,,,,,
6/10/2008,1.33164,6/10/2008,0.76,6/10/2008,1.67736,6/10/2008,4.15,6/10/2008,1.77723,6/10/2008,1.92,6/10/2008,1.99746,6/10/2008,0.31,6/10/2008,0.21127,11/16/2010,0.35,6/10/2008,0.46095,6/10/2008,0.55,11/17/2010,1.08284,6/10/2008,1.54932,8/10/2010,0.30,6/10/2008,0.24,12/3/2009,0.3329,6/10/2008,0.31,8/6/2009,0.20709,6/10/2008,0.20,12/20/2010,0.51184,,,,,,,,,
6/11/2008,1.32154,6/11/2008,0.74,6/11/2008,1.69034,6/11/2008,4.16,6/11/2008,1.74668,6/11/2008,1.91,6/11/2008,1.95925,6/11/2008,0.30,6/11/2008,0.21385,11/17/2010,0.34,6/11/2008,0.46996,6/11/2008,0.56,11/18/2010,1.13113,6/11/2008,1.57509,8/11/2010,0.29,6/11/2008,0.24,12/4/2009,0.35741,6/11/2008,0.30,8/7/2009,0.19676,6/11/2008,0.20,12/21/2010,0.51068,,,,,,,,,
6/12/2008,1.30793,6/12/2008,0.73,6/12/2008,1.69698,6/12/2008,4.17,6/12/2008,1.68674,6/12/2008,1.90,6/12/2008,1.97341,6/12/2008,0.29,6/12/2008,0.21628,11/18/2010,0.34,6/12/2008,0.462,6/12/2008,0.55,11/19/2010,1.1259,6/12/2008,1.64323,8/12/2010,0.29,6/12/2008,0.22,12/7/2009,0.36902,6/12/2008,0.29,8/10/2009,0.19805,6/12/2008,0.19,12/22/2010,0.53475,,,,,,,,,
6/13/2008,1.27574,6/13/2008,0.71,6/13/2008,1.64809,6/13/2008,4.05,6/13/2008,1.66345,6/13/2008,1.85,6/13/2008,1.98334,6/13/2008,0.29,6/13/2008,0.20985,11/19/2010,0.34,6/13/2008,0.44273,6/13/2008,0.56,11/22/2010,1.13472,6/13/2008,1.6225,8/13/2010,0.29,6/13/2008,0.20,12/8/2009,0.34966,6/13/2008,0.29,8/11/2009,0.19353,6/13/2008,0.19,12/23/2010,0.54395,,,,,,,,,
6/16/2008,1.31124,6/16/2008,0.74,6/16/2008,1.67747,6/16/2008,4.20,6/16/2008,1.72869,6/16/2008,1.90,6/16/2008,2.01552,6/16/2008,0.30,6/16/2008,0.20616,11/22/2010,0.33,6/16/2008,0.44049,6/16/2008,0.56,11/23/2010,1.08139,6/16/2008,1.70051,8/16/2010,0.29,6/16/2008,0.18,12/9/2009,0.34578,6/16/2008,0.28,8/12/2009,0.18708,6/16/2008,0.18,12/24/2010,0.54237,,,,,,,,,
6/17/2008,1.31884,6/17/2008,0.76,6/17/2008,1.6876,6/17/2008,4.20,6/17/2008,1.75162,6/17/2008,1.92,6/17/2008,2.01795,6/17/2008,0.30,6/17/2008,0.20743,11/23/2010,0.33,6/17/2008,0.44303,6/17/2008,0.56,11/24/2010,1.0956,6/17/2008,1.75418,8/17/2010,0.30,6/17/2008,0.18,12/10/2009,0.33417,6/17/2008,0.27,8/13/2009,0.18837,6/17/2008,0.18,12/28/2010,0.53981,,,,,,,,,
6/18/2008,1.36555,6/18/2008,0.82,6/18/2008,1.70885,6/18/2008,4.28,6/18/2008,1.80621,6/18/2008,1.95,6/18/2008,1.98043,6/18/2008,0.29,6/18/2008,0.20752,11/24/2010,0.32,6/18/2008,0.44707,6/18/2008,0.56,11/25/2010,1.09542,6/18/2008,1.71142,8/18/2010,0.30,6/18/2008,0.18,12/11/2009,0.35095,6/18/2008,0.27,8/14/2009,0.18192,6/18/2008,0.19,12/29/2010,0.53065,,,,,,,,,
6/19/2008,1.31918,6/19/2008,0.79,6/19/2008,1.66754,6/19/2008,4.16,6/19/2008,1.77,6/19/2008,1.91,6/19/2008,1.91089,6/19/2008,0.29,6/19/2008,0.21132,11/25/2010,0.32,6/19/2008,0.43289,6/19/2008,0.54,11/26/2010,1.0728,6/19/2008,1.65986,8/19/2010,0.31,6/19/2008,0.18,12/14/2009,0.35219,6/19/2008,0.27,8/17/2009,0.17417,6/19/2008,0.18,12/30/2010,0.52689,,,,,,,,,
6/20/2008,1.34025,6/20/2008,0.80,6/20/2008,1.61702,6/20/2008,3.98,6/20/2008,1.72977,6/20/2008,1.84,6/20/2008,1.76821,6/20/2008,0.29,6/20/2008,0.21654,11/26/2010,0.30,6/20/2008,0.44205,6/20/2008,0.54,11/29/2010,1.10353,6/20/2008,1.60164,8/20/2010,0.33,6/20/2008,0.20,12/15/2009,0.34179,6/20/2008,0.27,8/18/2009,0.16835,6/20/2008,0.18,12/31/2010,0.53134,,,,,,,,,
6/23/2008,1.33735,6/23/2008,0.78,6/23/2008,1.64222,6/23/2008,3.93,6/23/2008,1.72933,6/23/2008,1.79,6/23/2008,1.71652,6/23/2008,0.29,6/23/2008,0.21008,11/29/2010,0.31,6/23/2008,0.42272,6/23/2008,0.56,11/30/2010,1.09712,6/23/2008,1.54999,8/23/2010,0.31,6/23/2008,0.19,12/16/2009,0.35084,6/23/2008,0.26,8/19/2009,0.1677,6/23/2008,0.18,1/3/2011,0.54836,,,,,,,,,
6/24/2008,1.31668,6/24/2008,0.75,6/24/2008,1.66507,6/24/2008,3.87,6/24/2008,1.7496,6/24/2008,1.75,6/24/2008,1.75472,6/24/2008,0.28,6/24/2008,0.21005,11/30/2010,0.31,6/24/2008,0.39065,6/24/2008,0.61,12/1/2010,1.10363,6/24/2008,1.47294,8/24/2010,0.31,6/24/2008,0.19,12/17/2009,0.33394,6/24/2008,0.24,8/20/2009,0.17287,6/24/2008,0.18,1/4/2011,0.58433,,,,,,,,,
6/25/2008,1.33716,6/25/2008,0.75,6/25/2008,1.7214,6/25/2008,3.94,6/25/2008,1.76495,6/25/2008,1.78,6/25/2008,1.80593,6/25/2008,0.29,6/25/2008,0.21005,12/1/2010,0.29,6/25/2008,0.39961,6/25/2008,0.64,12/2/2010,1.12022,6/25/2008,1.58563,8/25/2010,0.30,6/25/2008,0.19,12/18/2009,0.31066,6/25/2008,0.25,8/21/2009,0.16964,6/25/2008,0.17,1/5/2011,0.59325,,,,,,,,,
6/26/2008,1.31968,6/26/2008,0.75,6/26/2008,1.68868,6/26/2008,3.93,6/26/2008,1.7425,6/26/2008,1.77,6/26/2008,1.80656,6/26/2008,0.28,6/26/2008,0.205,12/2/2010,0.30,6/26/2008,0.42666,6/26/2008,0.61,12/3/2010,1.11707,6/26/2008,1.67843,8/26/2010,0.30,6/26/2008,0.19,12/21/2009,0.32362,6/26/2008,0.24,8/24/2009,0.16838,6/26/2008,0.17,1/6/2011,0.58921,,,,,,,,,
6/27/2008,1.28678,6/27/2008,0.72,6/27/2008,1.67897,6/27/2008,3.84,6/27/2008,1.74562,6/27/2008,1.71,6/27/2008,1.77125,6/27/2008,0.27,6/27/2008,0.19866,12/3/2010,0.30,6/27/2008,0.43961,6/27/2008,0.53,12/6/2010,1.09397,6/27/2008,1.71998,8/27/2010,0.29,6/27/2008,0.18,12/22/2009,0.32242,6/27/2008,0.23,8/25/2009,0.17225,6/27/2008,0.17,1/7/2011,0.60346,,,,,,,,,
6/30/2008,1.2952,6/30/2008,0.72,6/30/2008,1.72095,6/30/2008,3.92,6/30/2008,1.79533,6/30/2008,1.75,6/30/2008,1.85945,6/30/2008,0.27,6/30/2008,0.19749,12/6/2010,0.30,6/30/2008,0.4296,6/30/2008,0.51,12/7/2010,1.11946,6/30/2008,1.74404,8/30/2010,0.30,6/30/2008,0.19,12/23/2009,0.32501,6/30/2008,0.22,8/26/2009,0.17031,6/30/2008,0.17,1/10/2011,0.59917,,,,,,,,,
7/2/2008,1.26555,7/2/2008,0.69,7/2/2008,1.8028,7/2/2008,3.85,7/2/2008,1.74638,7/2/2008,1.72,7/2/2008,1.87716,7/2/2008,0.26,7/2/2008,0.19361,12/7/2010,0.30,7/2/2008,0.42698,7/2/2008,0.50,12/8/2010,1.14185,7/2/2008,1.73099,8/31/2010,0.29,7/2/2008,0.19,12/24/2009,0.33133,7/2/2008,0.22,8/27/2009,0.16577,7/2/2008,0.16,1/11/2011,0.58009,,,,,,,,,
7/3/2008,1.22455,7/3/2008,0.67,7/3/2008,1.73104,7/3/2008,3.64,7/3/2008,1.72591,7/3/2008,1.64,7/3/2008,1.80797,7/3/2008,0.26,7/3/2008,0.18464,12/8/2010,0.30,7/3/2008,0.43596,7/3/2008,0.51,12/9/2010,1.11656,7/3/2008,1.5746,9/1/2010,0.30,7/3/2008,0.18,12/28/2009,0.34426,7/3/2008,0.20,8/28/2009,0.1316,7/3/2008,0.16,1/12/2011,0.57498,,,,,,,,,
7/4/2008,1.24,7/4/2008,0.69,7/4/2008,1.70035,7/4/2008,3.63,7/4/2008,1.71317,7/4/2008,1.60,7/4/2008,1.72343,7/4/2008,0.26,7/4/2008,0.18209,12/9/2010,0.30,7/4/2008,0.42958,7/4/2008,0.52,12/10/2010,1.11523,7/4/2008,1.54647,9/2/2010,0.31,7/4/2008,0.18,12/29/2009,0.34557,7/4/2008,0.20,8/31/2009,0.11999,7/4/2008,0.17,1/13/2011,0.56472,,,,,,,,,
7/7/2008,1.28169,7/7/2008,0.72,7/7/2008,1.72259,7/7/2008,3.77,7/7/2008,1.71234,7/7/2008,1.73,7/7/2008,1.77642,7/7/2008,0.26,7/7/2008,0.17303,12/10/2010,0.30,7/7/2008,0.43193,7/7/2008,0.52,12/13/2010,1.10171,7/7/2008,1.64056,9/3/2010,0.31,7/7/2008,0.18,12/30/2009,0.35979,7/7/2008,0.20,9/1/2009,0.12902,7/7/2008,0.16,1/14/2011,0.56984,,,,,,,,,
7/8/2008,1.23425,7/8/2008,0.70,7/8/2008,1.66361,7/8/2008,3.66,7/8/2008,1.62773,7/8/2008,1.66,7/8/2008,1.76102,7/8/2008,0.25,7/8/2008,0.16662,12/13/2010,0.31,7/8/2008,0.42295,7/8/2008,0.52,12/14/2010,1.11024,7/8/2008,1.58927,9/6/2010,0.31,7/8/2008,0.17,12/31/2009,0.36371,7/8/2008,0.22,9/2/2009,0.12579,7/8/2008,0.17,1/17/2011,0.54786,,,,,,,,,
7/9/2008,1.2739,7/9/2008,0.73,7/9/2008,1.67119,7/9/2008,3.82,7/9/2008,1.66094,7/9/2008,1.73,7/9/2008,1.89676,7/9/2008,0.24,7/9/2008,0.16276,12/14/2010,0.30,7/9/2008,0.42677,7/9/2008,0.51,12/15/2010,1.12283,7/9/2008,1.64044,9/7/2010,0.31,7/9/2008,0.17,1/4/2010,0.35201,7/9/2008,0.23,9/3/2009,0.12514,7/9/2008,0.17,1/18/2011,0.54258,,,,,,,,,
7/10/2008,1.27257,7/10/2008,0.73,7/10/2008,1.666,7/10/2008,3.86,7/10/2008,1.65319,7/10/2008,1.77,7/10/2008,1.91206,7/10/2008,0.24,7/10/2008,0.16788,12/15/2010,0.30,7/10/2008,0.42291,7/10/2008,0.51,12/16/2010,1.13145,7/10/2008,1.666,9/8/2010,0.31,7/10/2008,0.16,1/5/2010,0.34678,7/10/2008,0.24,9/4/2009,0.12193,7/10/2008,0.17,1/19/2011,0.51942,,,,,,,,,
7/11/2008,1.28128,7/11/2008,0.73,7/11/2008,1.6836,7/11/2008,4.00,7/11/2008,1.66566,7/11/2008,1.84,7/11/2008,1.97573,7/11/2008,0.26,7/11/2008,0.17938,12/16/2010,0.29,7/11/2008,0.41898,7/11/2008,0.51,12/17/2010,1.11353,7/11/2008,1.71691,9/9/2010,0.31,7/11/2008,0.17,1/6/2010,0.35075,7/11/2008,0.26,9/7/2009,0.12128,7/11/2008,0.17,1/20/2011,0.52415,,,,,,,,,
7/14/2008,1.28657,7/14/2008,0.72,7/14/2008,1.67869,7/14/2008,4.02,7/14/2008,1.64025,7/14/2008,1.84,7/14/2008,1.96573,7/14/2008,0.25,7/14/2008,0.17812,12/17/2010,0.28,7/14/2008,0.41391,7/14/2008,0.50,12/20/2010,1.09441,7/14/2008,1.68125,9/10/2010,0.31,7/14/2008,0.16,1/7/2010,0.34044,7/14/2008,0.26,9/8/2009,0.11871,7/14/2008,0.17,1/21/2011,0.51478,,,,,,,,,
7/15/2008,1.23899,7/15/2008,0.69,7/15/2008,1.62889,7/15/2008,3.83,7/15/2008,1.57759,7/15/2008,1.75,7/15/2008,1.93159,7/15/2008,0.24,7/15/2008,0.17058,12/20/2010,0.28,7/15/2008,0.3976,7/15/2008,0.50,12/21/2010,1.13584,7/15/2008,1.65968,9/13/2010,0.31,7/15/2008,0.16,1/8/2010,0.3417,7/15/2008,0.27,9/9/2009,0.11741,7/15/2008,0.17,1/24/2011,0.5169,,,,,,,,,
7/16/2008,1.23979,7/16/2008,0.71,7/16/2008,1.57442,7/16/2008,3.83,7/16/2008,1.56929,7/16/2008,1.74,7/16/2008,1.92572,7/16/2008,0.24,7/16/2008,0.16796,12/21/2010,0.28,7/16/2008,0.4013,7/16/2008,0.51,12/22/2010,1.14149,7/16/2008,1.65391,9/14/2010,0.31,7/16/2008,0.16,1/11/2010,0.34428,7/16/2008,0.24,9/10/2009,0.11741,7/16/2008,0.17,1/25/2011,0.49926,,,,,,,,,
7/17/2008,1.27977,7/17/2008,0.74,7/17/2008,1.56701,7/17/2008,4.00,7/17/2008,1.5388,7/17/2008,1.80,7/17/2008,1.97222,7/17/2008,0.24,7/17/2008,0.17311,12/22/2010,0.28,7/17/2008,0.39496,7/17/2008,0.50,12/23/2010,1.13163,7/17/2008,1.66703,9/15/2010,0.31,7/17/2008,0.16,1/12/2010,0.33525,7/17/2008,0.23,9/11/2009,0.11806,7/17/2008,0.17,1/26/2011,0.50729,,,,,,,,,
7/18/2008,1.28749,7/18/2008,0.74,7/18/2008,1.52345,7/18/2008,3.96,7/18/2008,1.53627,7/18/2008,1.80,7/18/2008,1.8543,7/18/2008,0.25,7/18/2008,0.16671,12/23/2010,0.28,7/18/2008,0.3783,7/18/2008,0.50,12/24/2010,1.12972,7/18/2008,1.56961,9/16/2010,0.31,7/18/2008,0.16,1/13/2010,0.32488,7/18/2008,0.23,9/14/2009,0.11613,7/18/2008,0.17,1/27/2011,0.51362,,,,,,,,,
7/21/2008,1.31587,7/21/2008,0.76,7/21/2008,1.5339,7/21/2008,4.08,7/21/2008,1.56981,7/21/2008,1.84,7/21/2008,1.92123,7/21/2008,0.25,7/21/2008,0.16545,12/24/2010,0.28,7/21/2008,0.37193,7/21/2008,0.50,12/28/2010,1.13232,7/21/2008,1.53903,9/17/2010,0.32,7/21/2008,0.16,1/14/2010,0.32613,7/21/2008,0.23,9/15/2009,0.11419,7/21/2008,0.17,1/28/2011,0.52354,,,,,,,,,
7/22/2008,1.31857,7/22/2008,0.76,7/22/2008,1.54432,7/22/2008,4.10,7/22/2008,1.57767,7/22/2008,1.86,7/22/2008,1.91629,7/22/2008,0.25,7/22/2008,0.16546,12/28/2010,0.27,7/22/2008,0.37197,7/22/2008,0.49,12/29/2010,1.16024,7/22/2008,1.53663,9/20/2010,0.32,7/22/2008,0.18,1/15/2010,0.32473,7/22/2008,0.23,9/16/2009,0.11161,7/22/2008,0.17,1/31/2011,0.51322,,,,,,,,,
7/23/2008,1.36679,7/23/2008,0.80,7/23/2008,1.52834,7/23/2008,4.21,7/23/2008,1.57706,7/23/2008,1.92,7/23/2008,1.92325,7/23/2008,0.24,7/23/2008,0.16796,12/29/2010,0.27,7/23/2008,0.3885,7/23/2008,0.49,12/30/2010,1.15402,7/23/2008,1.52065,9/21/2010,0.32,7/23/2008,0.19,1/18/2010,0.30915,7/23/2008,0.22,9/17/2009,0.13742,7/23/2008,0.17,2/1/2011,0.52232,,,,,,,,,
7/24/2008,1.34634,7/24/2008,0.80,7/24/2008,1.49508,7/24/2008,4.00,7/24/2008,1.58227,7/24/2008,1.85,7/24/2008,1.83616,7/24/2008,0.23,7/24/2008,0.16797,12/30/2010,0.29,7/24/2008,0.38467,7/24/2008,0.49,12/31/2010,1.16689,7/24/2008,1.43097,9/22/2010,0.31,7/24/2008,0.18,1/19/2010,0.30917,7/24/2008,0.22,9/18/2009,0.14193,7/24/2008,0.16,2/2/2011,0.51879,,,,,,,,,
7/25/2008,1.30513,7/25/2008,0.79,7/25/2008,1.44103,7/25/2008,3.73,7/25/2008,1.53077,7/25/2008,1.79,7/25/2008,1.72564,7/25/2008,0.23,7/25/2008,0.16538,12/31/2010,0.28,7/25/2008,0.37564,7/25/2008,0.47,1/3/2011,1.2705,7/25/2008,1.37949,9/24/2010,0.32,7/25/2008,0.18,1/20/2010,0.3025,7/25/2008,0.22,9/21/2009,0.13483,7/25/2008,0.16,2/7/2011,0.51777,,,,,,,,,
7/28/2008,1.31279,7/28/2008,0.79,7/28/2008,1.44612,7/28/2008,3.76,7/28/2008,1.53842,7/28/2008,1.79,7/28/2008,1.76919,7/28/2008,0.24,7/28/2008,0.16666,1/3/2011,0.28,7/28/2008,0.37948,7/28/2008,0.48,1/4/2011,1.28192,7/28/2008,1.45124,9/27/2010,0.32,7/28/2008,0.18,1/21/2010,0.28311,7/28/2008,0.22,9/22/2009,0.13483,7/28/2008,0.16,2/8/2011,0.51392,,,,,,,,,
7/29/2008,1.28928,7/29/2008,0.78,7/29/2008,1.45076,7/29/2008,3.61,7/29/2008,1.50459,7/29/2008,1.74,7/29/2008,1.78141,7/29/2008,0.24,7/29/2008,0.16404,1/4/2011,0.29,7/29/2008,0.37679,7/29/2008,0.47,1/5/2011,1.3332,7/29/2008,1.45589,9/28/2010,0.30,7/29/2008,0.18,1/22/2010,0.27155,7/29/2008,0.22,9/23/2009,0.13096,7/29/2008,0.17,2/9/2011,0.51253,,,,,,,,,
7/30/2008,1.3199,7/30/2008,0.82,7/30/2008,1.45061,7/30/2008,3.68,7/30/2008,1.48649,7/30/2008,1.78,7/30/2008,1.79404,7/30/2008,0.24,7/30/2008,0.16403,1/5/2011,0.28,7/30/2008,0.37675,7/30/2008,0.47,1/6/2011,1.35081,7/30/2008,1.48649,9/29/2010,0.30,7/30/2008,0.18,1/25/2010,0.28836,7/30/2008,0.22,9/24/2009,0.13096,7/30/2008,0.16,2/10/2011,0.50707,,,,,,,,,
7/31/2008,1.33554,7/31/2008,0.80,7/31/2008,1.50472,7/31/2008,3.74,7/31/2008,1.49703,7/31/2008,1.81,7/31/2008,1.83028,7/31/2008,0.23,7/31/2008,0.16278,1/6/2011,0.28,7/31/2008,0.37169,7/31/2008,0.47,1/7/2011,1.34332,7/31/2008,1.4996,9/30/2010,0.29,7/31/2008,0.18,1/26/2010,0.27911,7/31/2008,0.21,9/25/2009,0.13354,7/31/2008,0.16,2/11/2011,0.49512,,,,,,,,,
8/1/2008,1.34797,8/1/2008,0.82,8/1/2008,1.49149,8/1/2008,3.69,8/1/2008,1.47867,8/1/2008,1.77,8/1/2008,1.79388,8/1/2008,0.23,8/1/2008,0.15889,1/7/2011,0.28,8/1/2008,0.36775,8/1/2008,0.47,1/10/2011,1.29606,8/1/2008,1.49661,10/4/2010,0.30,8/1/2008,0.18,1/27/2010,0.27648,8/1/2008,0.20,9/28/2009,0.12709,8/1/2008,0.16,2/14/2011,0.50155,,,,,,,,,
8/4/2008,1.33521,8/4/2008,0.80,8/4/2008,1.47617,8/4/2008,3.58,8/4/2008,1.44541,8/4/2008,1.74,8/4/2008,1.7632,8/4/2008,0.23,8/4/2008,0.15505,1/10/2011,0.28,8/4/2008,0.36007,8/4/2008,0.47,1/11/2011,1.2991,8/4/2008,1.42747,10/5/2010,0.30,8/4/2008,0.18,1/28/2010,0.2794,8/4/2008,0.19,9/29/2009,0.12709,8/4/2008,0.16,2/15/2011,0.50167,,,,,,,,,
8/5/2008,1.30178,8/5/2008,0.80,8/5/2008,1.38378,8/5/2008,3.26,8/5/2008,1.37353,8/5/2008,1.61,8/5/2008,1.6426,8/5/2008,0.22,8/5/2008,0.15119,1/11/2011,0.27,8/5/2008,0.33826,8/5/2008,0.46,1/12/2011,1.35319,8/5/2008,1.29153,10/6/2010,0.30,8/5/2008,0.17,1/29/2010,0.27174,8/5/2008,0.17,9/30/2009,0.12258,8/5/2008,0.15,2/16/2011,0.50062,,,,,,,,,
8/7/2008,1.30955,8/7/2008,0.80,8/7/2008,1.37106,8/7/2008,3.26,8/7/2008,1.33518,8/7/2008,1.59,8/7/2008,1.63758,8/7/2008,0.23,8/7/2008,0.14351,1/12/2011,0.27,8/7/2008,0.33315,8/7/2008,0.47,1/13/2011,1.35584,8/7/2008,1.27239,10/7/2010,0.31,8/7/2008,0.14,2/1/2010,0.26137,8/7/2008,0.17,10/2/2009,0.12064,8/7/2008,0.15,2/17/2011,0.50465,,,,,,,,,
8/8/2008,1.29795,8/8/2008,0.82,8/8/2008,1.35171,8/8/2008,3.19,8/8/2008,1.30563,8/8/2008,1.55,8/8/2008,1.61796,8/8/2008,0.23,8/8/2008,0.14592,1/13/2011,0.27,8/8/2008,0.33281,8/8/2008,0.47,1/14/2011,1.30948,8/8/2008,1.20963,10/8/2010,0.30,8/8/2008,0.14,2/2/2010,0.26777,8/8/2008,0.19,10/5/2009,0.12064,8/8/2008,0.15,2/18/2011,0.50484,,,,,,,,,
8/11/2008,1.30369,8/11/2008,0.83,8/11/2008,1.30881,8/11/2008,3.07,8/11/2008,1.22685,8/11/2008,1.56,8/11/2008,1.54189,8/11/2008,0.23,8/11/2008,0.14599,1/14/2011,0.27,8/11/2008,0.3509,8/11/2008,0.46,1/17/2011,1.28863,8/11/2008,1.12696,10/11/2010,0.30,8/11/2008,0.11,2/3/2010,0.27425,8/11/2008,0.20,10/6/2009,0.12258,8/11/2008,0.15,2/21/2011,0.50489,,,,,,,,,
8/12/2008,1.27297,8/12/2008,0.79,8/12/2008,1.28066,8/12/2008,3.04,8/12/2008,1.23455,8/12/2008,1.54,8/12/2008,1.51374,8/12/2008,0.23,8/12/2008,0.13959,1/17/2011,0.26,8/12/2008,0.34194,8/12/2008,0.45,1/18/2011,1.33717,8/12/2008,1.05014,10/12/2010,0.30,8/12/2008,0.12,2/4/2010,0.26775,8/12/2008,0.19,10/7/2009,0.13161,8/12/2008,0.14,2/22/2011,0.49021,,,,,,,,,
8/13/2008,1.25885,8/13/2008,0.78,8/13/2008,1.33441,8/13/2008,2.99,8/13/2008,1.21659,8/13/2008,1.52,8/13/2008,1.54699,8/13/2008,0.23,8/13/2008,0.13318,1/18/2011,0.26,8/13/2008,0.3304,8/13/2008,0.45,1/19/2011,1.38598,8/13/2008,1.11414,10/13/2010,0.30,8/13/2008,0.11,2/5/2010,0.26252,8/13/2008,0.18,10/8/2009,0.12968,8/13/2008,0.13,2/23/2011,0.49004,,,,,,,,,
