,151 HK Equity,,322 HK Equity,,1044 HK Equity,,220 HK Equity,,1112 HK Equity,,1025 HK Equity,,1230 HK Equity,,829 HK Equity,,1117 HK Equity,,1700 HK Equity,,1068 HK Equity,,1886 HK Equity,,980 HK Equity,,1006 HK Equity,,1007 HK Equity,,1717 HK Equity,,1338 HK Equity,,2218 HK Equity,,814 HK Equity,,,,
9/21/2009,0.55351,9/21/2009,1.92,9/21/2009,5.95,9/21/2009,0.59737,5/10/2012,2.63,9/21/2009,1.55859,3/19/2012,0.18,2/24/2011,0.60283,4/18/2012,0.29,3/8/2012,0.69887,9/21/2009,2.05,9/21/2009,0.69,9/21/2009,1.21,5/6/2011,0.66,3/15/2012,0.26283,2/21/2011,0.32,11/12/2010,0.45,9/21/2009,0.44513,9/21/2009,0.62,,,,
9/22/2009,0.55482,9/22/2009,1.93,9/22/2009,5.86,9/22/2009,0.56127,5/11/2012,2.62,9/22/2009,1.58187,3/20/2012,0.17,2/25/2011,0.61454,4/19/2012,0.29,3/9/2012,0.70265,9/22/2009,2.07,9/22/2009,0.68,9/22/2009,1.17,5/9/2011,0.66,3/16/2012,0.26151,2/22/2011,0.30,11/15/2010,0.44,9/22/2009,0.4516,9/22/2009,0.63,,,,
9/23/2009,0.58447,9/23/2009,1.95,9/23/2009,5.87,9/23/2009,0.55222,5/14/2012,2.61,9/23/2009,1.53537,3/21/2012,0.17,2/28/2011,0.61822,4/20/2012,0.29,3/12/2012,0.7167,9/23/2009,2.19,9/23/2009,0.67,9/23/2009,1.18,5/11/2011,0.66,3/19/2012,0.23961,2/23/2011,0.29,11/16/2010,0.43,9/23/2009,0.44513,9/23/2009,0.63,,,,
9/24/2009,0.56643,9/24/2009,1.98,9/24/2009,5.85,9/24/2009,0.54708,5/15/2012,2.61,9/24/2009,1.54833,3/22/2012,0.16,3/1/2011,0.6162,4/23/2012,0.28,3/13/2012,0.73457,9/24/2009,2.19,9/24/2009,0.65,9/24/2009,1.17,5/12/2011,0.66,3/20/2012,0.21898,2/24/2011,0.28,11/17/2010,0.42,9/24/2009,0.43224,9/24/2009,0.62,,,,
9/25/2009,0.58192,9/25/2009,2.06,9/25/2009,5.95,9/25/2009,0.58579,5/16/2012,2.50,9/25/2009,1.54835,3/23/2012,0.16,3/2/2011,0.61611,4/24/2012,0.28,3/14/2012,0.73567,9/25/2009,2.11,9/25/2009,0.64,9/25/2009,1.20,5/13/2011,0.66,3/21/2012,0.21636,2/25/2011,0.28,11/18/2010,0.43,9/25/2009,0.43225,9/25/2009,0.62,,,,
9/28/2009,0.56513,9/28/2009,2.06,9/28/2009,5.66,9/28/2009,0.59094,5/17/2012,2.40,9/28/2009,1.48896,3/26/2012,0.16,3/3/2011,0.6143,4/25/2012,0.28,3/15/2012,0.73695,9/28/2009,2.05,9/28/2009,0.63,9/28/2009,1.16,5/16/2011,0.67,3/22/2012,0.21633,2/28/2011,0.29,11/19/2010,0.44,9/28/2009,0.43224,9/28/2009,0.57,,,,
9/29/2009,0.57676,9/29/2009,2.06,9/29/2009,5.94,9/29/2009,0.5974,5/18/2012,2.38,9/29/2009,1.47867,3/27/2012,0.16,3/4/2011,0.61442,4/26/2012,0.29,3/16/2012,0.73944,9/29/2009,2.12,9/29/2009,0.64,9/29/2009,1.28,5/17/2011,0.68,3/23/2012,0.21627,3/1/2011,0.29,11/22/2010,0.43,9/29/2009,0.4387,9/29/2009,0.59,,,,
9/30/2009,0.58838,9/30/2009,2.06,9/30/2009,6.05,9/30/2009,0.5858,5/21/2012,2.45,9/30/2009,1.48901,3/28/2012,0.16,3/7/2011,0.60556,4/27/2012,0.29,3/19/2012,0.69694,9/30/2009,2.15,9/30/2009,0.64,9/30/2009,1.24,5/18/2011,0.68,3/26/2012,0.21626,3/2/2011,0.28,11/23/2010,0.41,9/30/2009,0.4258,9/30/2009,0.61,,,,
10/2/2009,0.58579,10/2/2009,2.08,10/2/2009,5.98,10/2/2009,0.56515,5/22/2012,2.52,10/2/2009,1.5019,3/29/2012,0.16,3/8/2011,0.60283,4/30/2012,0.28,3/20/2012,0.70718,10/2/2009,2.22,10/2/2009,0.63,10/2/2009,1.22,5/19/2011,0.68,3/27/2012,0.21636,3/3/2011,0.29,11/24/2010,0.39,10/2/2009,0.40644,10/2/2009,0.59,,,,
10/5/2009,0.57416,10/5/2009,2.08,10/5/2009,6.18,10/5/2009,0.56126,5/23/2012,2.53,10/5/2009,1.55089,3/30/2012,0.16,3/9/2011,0.60489,5/2/2012,0.28,3/21/2012,0.70833,10/5/2009,2.19,10/5/2009,0.63,10/5/2009,1.23,5/20/2011,0.67,3/28/2012,0.21638,3/4/2011,0.29,11/25/2010,0.40,10/5/2009,0.40643,10/5/2009,0.58,,,,
