,X2600.HK.Equity,X486.HK.Equity,AA.Equity,AWC.AU.Equity,HNDL.IN.Equity,Y
1929,0.8439,0.6424,-1.2301,1.4837,2.5549,1
1930,-1.046,-0.2128,-0.7326,0.5848,-3.4386,0
1931,-0.6342,2.1322,0.5904,1.4535,-2.9797,0
1932,9.3617,-0.4175,0.0734,-1.1461,2.9588,1
1933,1.1673,-0.2096,-0.7331,-1.1594,-0.3274,1
1934,1.1673,-0.2096,-0.7331,-1.1594,-0.3274,1
1935,1.1673,-0.2096,-0.7331,-1.1594,-0.3274,1
1936,-5.7692,0,-1.034,1.173,1.5328,0
1937,1.2245,-0.6303,-2.3881,-0.2899,0.6111,1
1938,-1.6129,-3.1712,-0.0765,0.5814,-0.7145,0
1939,-1.2295,-1.5284,-0.5356,0,0.108,0
1940,2.2822,-1.7738,-0.4615,-0.289,-1.5816,1
1941,2.2822,-1.7738,-0.4615,-0.289,-1.5816,1
1942,2.2822,-1.7738,-0.4615,-0.289,-1.5816,1
1943,2.2822,-1.7738,-0.4615,0,-1.7531,1
1944,0.8114,0.6772,-1.391,-1.1594,-0.1487,1
1945,-1.6097,-2.0179,0.2351,-0.2933,-0.5585,0
1946,-4.499,-1.373,-0.86,0.2941,-1.4601,0
1947,0,-1.6241,-1.4196,3.8123,-1.7857,1
1948,0,-1.6241,-1.4196,3.8123,-1.7857,1
1949,0,-1.6241,-1.4196,3.8123,-1.7857,1
1950,1.0707,-1.6509,-0.64,0.8475,-0.6963,1
1951,-3.3898,1.4388,1.6103,-4.7619,-3.9735,0
1952,-0.4386,-0.7092,-0.0792,0,-1.0548,0
1953,0,-1.9048,-0.8723,-4.1176,-0.533,1
1954,-0.4405,-0.7282,-0.64,0.9202,-0.9481,0
1955,-0.4405,-0.7282,-0.64,0.9202,-0.9481,0
1956,-0.4405,-0.7282,-0.64,0.9202,-0.9481,0
1957,2.4336,3.423,-1.3688,0.9202,-1.623,1
1958,-6.6955,-0.9456,-0.4898,-3.3435,1.6074,0
1959,0.2315,1.6706,-0.1641,1.2579,0.1665,1
1960,-0.9238,-1.4085,-0.6574,2.1739,-0.9144,0
1961,2.5641,-0.4762,-0.2481,-0.304,-2.0554,1
1962,2.5641,-0.4762,-0.2481,-0.304,-2.0554,1
1963,2.5641,-0.4762,-0.2481,-0.304,-2.0554,1
1964,-1.1364,-0.4785,-0.4975,-3.6585,-2.0985,0
1965,-4.8276,2.4038,0.1667,-0.9494,0.6124,0
1966,1.6908,-0.4695,-0.4992,-0.9585,3.087,1
1967,-2.1378,0.7075,-0.3344,-1.2903,1.2231,0
1968,-1.9417,1.6393,0.0839,0.9804,0.6667,0
1969,-1.9417,1.6393,0.0839,0.9804,0.6667,0
1970,-1.9417,1.6393,0.0839,0.9804,0.6667,0
1971,-1.2376,0.2304,-1.425,0.9709,0.3311,0
1972,1.5038,-5.2874,-0.1701,2.2436,0.33,1
1973,0.4938,-0.2427,0,1.5674,-3.5773,1
1974,-0.9828,-2.6764,-1.448,-3.3951,0.6397,0
1975,-2.2333,-2.25,1.0372,-3.1949,-0.8475,0
1976,-2.2333,-2.25,1.0372,-3.1949,-0.8475,0
1977,-2.2333,-2.25,1.0372,-3.1949,-0.8475,0
1978,-2.0305,0.2558,-2.9085,-0.9901,-3.547,0
1979,1.2953,-1.5306,-1.7621,2,-0.8418,1
1980,1.2953,-1.5306,-0.7175,-1.3072,1.0277,1
1981,-2.5575,-4.9223,0.271,1.9868,-1.7691,0
1982,-7.3491,1.3624,0.271,-4.5455,-0.4052,0
1983,-7.3491,1.3624,0.271,-4.5455,-0.4052,0
1984,-7.3491,1.3624,0.271,-4.5455,-0.4052,0
1985,-5.949,-4.5699,-0.6306,-2.7211,-1.4014,0
1986,-12.0482,-5.3521,0.272,0.6993,-1.7423,0
1987,-8.5616,-7.4405,-5.0633,-1.0417,-4.9463,0
1988,9.3633,5.4662,0.8571,4.2105,2.1109,1
1989,10.274,6.4024,0.3777,-1.3468,0.5769,1
1990,10.274,6.4024,0.3777,-1.3468,0.5769,1
1991,10.274,6.4024,0.3777,-1.3468,0.5769,1
1992,1.2422,2.2923,1.7874,0.3413,1.9598,1
1993,-4.2945,7.8431,-0.4621,2.0408,-1.9222,0
1994,-3.8462,4.6753,-1.857,-1,0.9082,0
1995,0,-0.7444,-0.5676,-0.3367,1.0895,1
1996,3.3333,-1,-0.1903,-0.6757,0.4686,1
1997,3.3333,-1,-0.1903,-0.6757,0.4686,1
1998,3.3333,-1,-0.1903,-0.6757,0.4686,1
1999,-0.9677,-1.5152,-2.7645,0,2.0522,0
2000,-0.6515,0.7692,0.2941,1.3605,-1.1883,0
2001,-2.623,1.0178,-2.346,0.3356,-0.37,0
2002,3.367,-2.267,-0.3003,-1.0033,0.9285,1
2003,-2.2801,0.5155,-1.506,-0.3378,0.598,0
